"id_ship","local_name_ru","local_name_en","rank","faction_id","faction_name_ru","ship_class_id","ship_class_name_ru","class_name_ru","role_id","role_name_ru","catalog_scope","branch_id","branch_name_ru","tree_tier","tree_row","parent_ship_id","required_technology","hull_id","claudium_loop_id","special_module_id","upgrade_hull_id","upgrade_claudium_loop_id","upgrade_special_module_id","visual_model_id","visual_shape_id","visual_color_hex","cost_currency_item","cost_amount","research_cost_amount","firepower","armor","durability","speed","maneuverability","cargo","cargo_capacity_tons","utility","summary_ru","defense","mobility","stealth","warfare","mining","harvesting","hunting","hacking","salvage","survey","repair","lore_ru"
"capital_recon_frigate_r09","Горизонт","Горизонт","9","capital","Империя","frigate","Frigate","Frigate","recon","Recon","development","recon_frigate","ReconFrigate","9","1","capital_recon_frigate_r08","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","3750000","92000","39","28","28","82","82","37","50","80","ReconFrigate R9.","29","89","80","40","","","","38","","82","","Горизонт развивает линию «торпедная разведка»: разведывательный фрегат с X-Ray, дымами и торпедами, которые лучше работают по исследованной цели. Девятый ранг почти доводит идею до предела, оставляя финалу последнюю сборку и полировку доктрины. В характеристиках сейчас сильнее всего видны мобильность и сканирование; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_recon_frigate_r10","Аргус","Аргус","10","capital","Империя","frigate","Frigate","Frigate","recon","Recon","development","recon_frigate","ReconFrigate","10","1","capital_recon_frigate_r09","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","8400000","205000","39","28","28","88","88","39","52","80","ReconFrigate R10.","30","90","82","42","","","","42","","86","","Аргус - финальный T1-образец линии «торпедная разведка»: разведывательный фрегат с X-Ray, дымами и торпедами, которые лучше работают по исследованной цели, доведенный до столичного стандарта. Сканирование и маскировка растут быстрее пушек, а торпеды дают опасность без тяжелого корпуса. Поэтому в цифрах первыми читаются мобильность и сканирование, а широкая имперская школа заметна в отсутствии совсем провальных вторичных систем."
"capital_cargo_frigate_r02","Возчик","Возчик","2","capital","Империя","frigate","Frigate","Frigate","cargo","Cargo","development","cargo_frigate","CargoFrigate","2","2","capital_starter","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","11000","160","0","18","18","64","64","39","52","14","CargoFrigate R2.","18","60","48","","15","","","","12","","","Возчик развивает линию «ремонтный грузовик»: грузовой фрегат с двумя магнитами и ремонтным лучом, который таскает коробки, рудные обломки и поддерживает союзника. Это ранний серийный корабль после «Пионера», еще простой, но уже построенный по столичным стандартам. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_cargo_frigate_r03","Тягун","Тягун","3","capital","Империя","frigate","Frigate","Frigate","cargo","Cargo","development","cargo_frigate","CargoFrigate","3","2","capital_cargo_frigate_r02","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","29000","520","0","17","17","59","59","44","60","17","CargoFrigate R3.","20","62","54","","18","","","","14","","10","Тягун развивает линию «ремонтный грузовик»: грузовой фрегат с двумя магнитами и ремонтным лучом, который таскает коробки, рудные обломки и поддерживает союзника. На третьем ранге Империя исправляет первые эксплуатационные жалобы, не меняя общую школу корпуса. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_cargo_frigate_r04","Купец","Купец","4","capital","Империя","frigate","Frigate","Frigate","cargo","Cargo","development","cargo_frigate","CargoFrigate","4","2","capital_cargo_frigate_r03","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","70000","1450","8","26","26","49","49","49","66","19","CargoFrigate R4.","24","58","56","8","22","","","","20","","18","Купец развивает линию «ремонтный грузовик»: грузовой фрегат с двумя магнитами и ремонтным лучом, который таскает коробки, рудные обломки и поддерживает союзника. Четвертый ранг приносит взрослый модуль или новую схему вооружения, которую потом будут развивать дальше. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_cargo_frigate_r05","Подкова","Подкова","5","capital","Империя","frigate","Frigate","Frigate","cargo","Cargo","development","cargo_frigate","CargoFrigate","5","2","capital_cargo_frigate_r04","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","160000","3700","10","24","24","64","64","53","72","26","CargoFrigate R5.","26","64","52","10","26","","","","26","","26","Подкова развивает линию «ремонтный грузовик»: грузовой фрегат с двумя магнитами и ремонтным лучом, который таскает коробки, рудные обломки и поддерживает союзника. Пятый ранг стал ответом на более плотные миссии и первые столкновения с чужими фракционными приемами. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_cargo_frigate_r06","Артель","Артель","6","capital","Империя","frigate","Frigate","Frigate","cargo","Cargo","development","cargo_frigate","CargoFrigate","6","2","capital_cargo_frigate_r05","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","365000","9000","14","26","26","60","60","56","76","33","CargoFrigate R6.","28","66","60","14","32","","","","28","","32","Артель развивает линию «ремонтный грузовик»: грузовой фрегат с двумя магнитами и ремонтным лучом, который таскает коробки, рудные обломки и поддерживает союзника. Шестой ранг собирает опыт дальних рейдов: корабль становится надежнее, но еще не перегружен старшими узлами. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_cargo_frigate_r07","Снабженец","Снабженец","7","capital","Империя","frigate","Frigate","Frigate","cargo","Cargo","development","cargo_frigate","CargoFrigate","7","2","capital_cargo_frigate_r06","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","850000","21000","17","34","34","70","70","59","80","37","CargoFrigate R7.","31","70","62","17","34","","","","32","","40","Снабженец развивает линию «ремонтный грузовик»: грузовой фрегат с двумя магнитами и ремонтным лучом, который таскает коробки, рудные обломки и поддерживает союзника. С этого места линия уже выглядит как зрелая имперская программа, а не как увеличенный ранний корпус. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_cargo_frigate_r08","Пристав","Пристав","8","capital","Империя","frigate","Frigate","Frigate","cargo","Cargo","development","cargo_frigate","CargoFrigate","8","2","capital_cargo_frigate_r07","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","1950000","49000","20","25","25","63","63","62","84","47","CargoFrigate R8.","33","68","64","20","37","","","","34","","48","Пристав развивает линию «ремонтный грузовик»: грузовой фрегат с двумя магнитами и ремонтным лучом, который таскает коробки, рудные обломки и поддерживает союзника. Восьмой ранг получает дорогие заимствованные решения, потому что столица может покупать и адаптировать почти все. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_cargo_frigate_r09","Кладовщик","Кладовщик","9","capital","Империя","frigate","Frigate","Frigate","cargo","Cargo","development","cargo_frigate","CargoFrigate","9","2","capital_cargo_frigate_r08","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","4400000","108000","15","26","26","56","56","64","86","52","CargoFrigate R9.","34","72","65","21","40","","","","38","","54","Кладовщик развивает линию «ремонтный грузовик»: грузовой фрегат с двумя магнитами и ремонтным лучом, который таскает коробки, рудные обломки и поддерживает союзника. Девятый ранг почти доводит идею до предела, оставляя финалу последнюю сборку и полировку доктрины. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_cargo_frigate_r10","Опора","Опора","10","capital","Империя","frigate","Frigate","Frigate","cargo","Cargo","development","cargo_frigate","CargoFrigate","10","2","capital_cargo_frigate_r09","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","9900000","238000","20","33","33","83","83","67","90","52","CargoFrigate R10.","36","76","66","22","42","","","","42","","58","Опора - финальный T1-образец линии «ремонтный грузовик»: грузовой фрегат с двумя магнитами и ремонтным лучом, который таскает коробки, рудные обломки и поддерживает союзника, доведенный до столичного стандарта. Груз, ремонт и утилитарная добыча растут вместо прямого урона. Поэтому в цифрах первыми читаются мобильность и маскировка, а широкая имперская школа заметна в отсутствии совсем провальных вторичных систем."
"capital_artillery_cruiser_r02","Барбет","Барбет","2","capital","Империя","cruiser","Cruiser","Cruiser","artillery","Artillery","development","artillery_cruiser","ArtilleryCruiser","2","3","capital_starter","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","15000","210","30","32","32","44","44","39","317","0","ArtilleryCruiser R2.","34","44","38","34","","","","","","","","Барбет развивает линию «классическая артиллерия»: тяжелый крейсер с крупными башнями, хорошей ПМК и понятной имперской броней носа и кормы. Это ранний серийный корабль после «Пионера», еще простой, но уже построенный по столичным стандартам. В характеристиках сейчас сильнее всего видны мобильность и маскировка; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_artillery_cruiser_r03","Калибр","Калибр","3","capital","Империя","cruiser","Cruiser","Cruiser","artillery","Artillery","development","artillery_cruiser","ArtilleryCruiser","3","3","capital_artillery_cruiser_r02","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","40000","720","44","37","37","37","37","41","335","0","ArtilleryCruiser R3.","40","42","35","46","","","","","","","","Калибр развивает линию «классическая артиллерия»: тяжелый крейсер с крупными башнями, хорошей ПМК и понятной имперской броней носа и кормы. На третьем ранге Империя исправляет первые эксплуатационные жалобы, не меняя общую школу корпуса. В характеристиках сейчас сильнее всего видны вооружение и мобильность; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_artillery_cruiser_r04","Бастион","Бастион","4","capital","Империя","cruiser","Cruiser","Cruiser","artillery","Artillery","development","artillery_cruiser","ArtilleryCruiser","4","3","capital_artillery_cruiser_r03","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","102000","2100","48","49","49","49","49","43","350","0","ArtilleryCruiser R4.","48","48","38","52","","","","","","","","Бастион развивает линию «классическая артиллерия»: тяжелый крейсер с крупными башнями, хорошей ПМК и понятной имперской броней носа и кормы. Четвертый ранг приносит взрослый модуль или новую схему вооружения, которую потом будут развивать дальше. В характеристиках сейчас сильнее всего видны вооружение и мобильность; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_artillery_cruiser_r05","Громобой","Громобой","5","capital","Империя","cruiser","Cruiser","Cruiser","artillery","Artillery","development","artillery_cruiser","ArtilleryCruiser","5","3","capital_artillery_cruiser_r04","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","238000","5600","65","57","57","46","46","48","390","7","ArtilleryCruiser R5.","55","46","34","64","","","","","","7","","Громобой развивает линию «классическая артиллерия»: тяжелый крейсер с крупными башнями, хорошей ПМК и понятной имперской броней носа и кормы. Пятый ранг стал ответом на более плотные миссии и первые столкновения с чужими фракционными приемами. В характеристиках сейчас сильнее всего видны вооружение и живучесть; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_artillery_cruiser_r06","Держава","Держава","6","capital","Империя","cruiser","Cruiser","Cruiser","artillery","Artillery","development","artillery_cruiser","ArtilleryCruiser","6","3","capital_artillery_cruiser_r05","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","555000","13500","56","57","57","49","49","52","425","9","ArtilleryCruiser R6.","58","50","40","60","","","","","","10","","Держава развивает линию «классическая артиллерия»: тяжелый крейсер с крупными башнями, хорошей ПМК и понятной имперской броней носа и кормы. Шестой ранг собирает опыт дальних рейдов: корабль становится надежнее, но еще не перегружен старшими узлами. В характеристиках сейчас сильнее всего видны вооружение и живучесть; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
"capital_artillery_cruiser_r07","Редут","Редут","7","capital","Империя","cruiser","Cruiser","Cruiser","artillery","Artillery","development","artillery_cruiser","ArtilleryCruiser","7","3","capital_artillery_cruiser_r06","basic_airship","","","","","","","placeholder_square","square","#5B84D6","freight","1320000","32000","64","71","71","42","42","55","450","11","ArtilleryCruiser R7.","64","47","42","70","","","","","","12","","Редут развивает линию «классическая артиллерия»: тяжелый крейсер с крупными башнями, хорошей ПМК и понятной имперской броней носа и кормы. С этого места линия уже выглядит как зрелая имперская программа, а не как увеличенный ранний корпус. В характеристиках сейчас сильнее всего видны вооружение и живучесть; Империя держит корабль универсальнее соседей, но не дает ему забрать чужую узкую специализацию."
