id_item,local_name_ru,local_name_en,mass_kg_per_unit
wind_course_gyro,Курсовой гироблок,Course Gyroblock,1
wind_launch_cup,Пусковой стакан,Launch Cup,1
mist_gas_membrane,Газовая мембрана,Gas Membrane,1
mist_separator_cassette,Сепараторная кассета,Separator Cassette,1
mist_polymer_cell,Полимерная сотка,Polymer Cell,1
mist_pyrophoric_paste,Пирофорная паста,Pyrophoric Paste,1
mist_cartridge,Туманный картридж,Mist Cartridge,1
stone_crushing_crown,Дробильный венец,Crushing Crown,1
stone_throat_grate,Жерловая решетка,Throat Grate,1
stone_armor_wedge,Броневой клин,Armor Wedge,1
stone_gun_cradle,Орудийная люлька,Gun Cradle,1
stone_quarry_insert,Карьерный вкладыш,Quarry Insert,1
ark_precision_drive,Точный привод,Precision Drive,1
ark_servo_ring,Сервокольцо,Servo Ring,1
ark_counting_cell,Счетная ячейка,Counting Cell,1
ark_repair_lens,Ремонтная линза,Repair Lens,1
ark_hangar_cradle,Ангарная люлька,Hangar Cradle,1
dev_harpoon_winch,Гарпунная лебедка,Harpoon Winch,1
dev_tension_drum,Натяжной барабан,Tension Drum,1
dev_hook_chain,Крюковая цепь,Hook Chain,1
dev_bone_cutter,Костяной резец,Bone Cutter,1
dev_bomb_cowling,Бомбовый кожух,Bomb Cowling,1
water,Вода,Water,1
tools,Инструменты,Tools,1
weapon,Оружие,Weapons,1
paper,Бумага,Paper,1
cloth,Ткань,Cloth,1
mechanisms,Механизмы,Mechanisms,1
design_experience,Очки освоения,Mastery Points,1
fundamental_experience,Архивные фрагменты,Archive Fragments,1
rock_info,Информация о глыбах,Rock Survey Data,1
airframe_kit,Набор корпуса,Airframe Kit,1
module_kit,Набор модуля,Module Kit,1
munition_bundle,Боевой комплект,Munition Bundle,1
chemical_batch,Химическая партия,Chemical Batch,1


