mission_profile,rank,primary_activity,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
danger,10,combat,22,3521005.01,2273563.23,503000.72,1509002.15,1509002.15,3521005.01,17519093.55,104359970.18,87595467.73,7.67,38.36,4.96,24.77,0.51,2.56,7.52,37.57,4.85,24.26
danger,10,courier,8,2851625.98,1217721.36,231212.92,1310206.53,1310206.53,2851625.98,13941727.75,74243599.00,69708638.75,11.64,58.22,4.97,24.86,0.78,3.88,11.50,57.50,4.91,24.55
danger,10,gas,3,2402786.44,1976485.62,1472675.56,465055.44,465055.44,2402786.44,17310113.67,103836409.33,86550568.33,8.67,43.34,7.13,35.65,0.58,2.89,8.18,40.89,6.73,33.63
danger,10,hunting,3,2605710.57,2124656.31,1403074.92,601317.82,601317.82,2605710.57,17600960.33,106403450.67,88004801.67,8.22,41.12,6.70,33.53,0.55,2.74,7.92,39.61,6.46,32.30
danger,10,mining,6,2567259.25,2153185.18,1573481.48,496888.89,496888.89,2567259.25,18205162.67,111954233.33,91025813.33,8.40,41.98,7.04,35.21,0.56,2.80,8.16,40.80,6.85,34.22
danger,10,relic,1,2689201.56,883021.41,1324532.11,682334.72,682334.72,2689201.56,16851352.00,94220848.00,84256760.00,19.08,95.42,6.27,31.33,1.27,6.36,19.08,95.42,6.27,31.33
danger,10,repair,5,3504987.01,1142074.42,433200.64,1535893.18,1535893.18,3504987.01,17422828.40,104983273.60,87114142.00,15.19,75.98,4.95,24.76,1.01,5.06,14.74,73.72,4.80,24.02
danger,10,salvage,3,2983306.29,2350483.74,1536854.76,723225.76,723225.76,2983306.29,20428316.67,129337650.67,102141583.33,8.59,42.94,6.76,33.83,0.57,2.86,9.07,45.34,7.14,35.72
elite,2,combat,9,1140499.39,736436.75,162928.48,488785.45,488785.45,1140499.39,8901.11,17802.22,11571.44,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
elite,2,courier,39,385841.58,164764.78,31284.45,177278.56,177278.56,385841.58,6309.74,12619.49,8202.67,0.10,0.13,0.04,0.06,0.01,0.01,0.05,0.07,0.02,0.03
elite,2,hunting,1,361188.58,294507.61,194486.16,83351.21,83351.21,361188.58,9960.00,19920.00,12948.00,0.03,0.04,0.03,0.04,0.00,0.00,0.03,0.04,0.03,0.04
elite,2,mining,1,721974.10,605526.66,442500.25,139736.92,139736.92,721974.10,9210.00,18420.00,11973.00,0.02,0.02,0.01,0.02,0.00,0.00,0.02,0.02,0.01,0.02
elite,2,salvage,1,394411.30,310748.29,203181.58,95614.86,95614.86,394411.30,9920.00,19840.00,12896.00,0.03,0.04,0.03,0.03,0.00,0.00,0.03,0.04,0.03,0.03
elite,3,combat,11,1860379.18,1201273.41,265768.45,797305.36,797305.36,1860379.18,22270.00,44540.00,33405.00,0.02,0.03,0.01,0.02,0.00,0.00,0.02,0.03,0.01,0.02
elite,3,courier,34,664064.77,283573.60,53843.09,305110.84,305110.84,664064.77,15790.29,31580.59,23685.44,0.15,0.23,0.07,0.10,0.01,0.02,0.05,0.08,0.02,0.03
elite,3,gas,1,1329611.28,1093712.50,814923.04,257344.12,257344.12,1329611.28,25980.00,51960.00,38970.00,0.02,0.04,0.02,0.03,0.00,0.00,0.02,0.04,0.02,0.03
elite,3,hunting,2,1170971.73,954792.33,630523.23,270224.24,270224.24,1170971.73,22340.00,44680.00,33510.00,0.02,0.04,0.02,0.03,0.00,0.00,0.02,0.04,0.02,0.03
elite,3,mining,2,1101950.56,924216.60,675389.05,213280.76,213280.76,1101950.56,20920.00,41840.00,31380.00,0.02,0.03,0.02,0.03,0.00,0.00,0.02,0.03,0.02,0.03
elite,3,salvage,1,1530036.27,1205483.12,788200.50,370917.88,370917.88,1530036.27,27320.00,54640.00,40980.00,0.02,0.03,0.02,0.03,0.00,0.00,0.02,0.03,0.02,0.03
elite,4,combat,17,2195069.06,1417387.45,313581.30,940743.89,940743.89,2195069.06,50826.47,199047.06,91487.65,0.04,0.07,0.03,0.05,0.00,0.01,0.04,0.06,0.02,0.04
elite,4,courier,22,1041891.80,444915.96,84477.71,478707.04,478707.04,1041891.80,36624.09,144260.00,65923.36,0.19,0.34,0.08,0.15,0.02,0.03,0.08,0.15,0.03,0.06
elite,4,gas,2,2135646.15,1756741.18,1308944.41,413350.86,413350.86,2135646.15,55164.00,215236.00,99295.20,0.04,0.06,0.03,0.04,0.00,0.01,0.04,0.06,0.03,0.04
elite,4,hunting,2,1896289.28,1546205.10,1021078.84,437605.22,437605.22,1896289.28,53563.00,205532.00,96413.40,0.04,0.06,0.03,0.05,0.00,0.01,0.04,0.06,0.03,0.05
elite,4,mining,4,2024851.59,1698262.63,1241038.07,391906.76,391906.76,2024851.59,54630.75,205623.00,98335.35,0.03,0.06,0.03,0.05,0.00,0.01,0.03,0.06,0.03,0.05
elite,4,relic,1,2547477.74,836485.23,1254727.84,646374.95,646374.95,2547477.74,44803.00,179212.00,80645.40,0.05,0.10,0.02,0.03,0.01,0.01,0.05,0.10,0.02,0.03
elite,4,salvage,3,1307722.23,1030326.60,673675.09,317023.57,317023.57,1307722.23,56669.33,219984.00,102004.80,0.32,0.58,0.25,0.46,0.03,0.06,0.05,0.09,0.04,0.07
elite,5,combat,18,2723022.73,1758294.68,389003.25,1167009.74,1167009.74,2723022.73,124089.50,490478.00,272996.90,0.08,0.17,0.05,0.11,0.01,0.01,0.07,0.15,0.04,0.10
elite,5,courier,15,1477820.14,631069.14,119823.25,678998.44,678998.44,1477820.14,88705.27,354143.73,195151.59,0.32,0.69,0.13,0.30,0.03,0.06,0.15,0.33,0.06,0.14
elite,5,gas,2,2727312.73,2243434.66,1671578.77,527866.98,527866.98,2727312.73,139445.50,552042.00,306780.10,0.06,0.14,0.05,0.11,0.01,0.01,0.06,0.14,0.05,0.11
elite,5,hunting,3,2099991.76,1712300.98,1130764.80,484613.48,484613.48,2099991.76,120533.67,469721.33,265174.07,0.08,0.17,0.06,0.14,0.01,0.01,0.07,0.16,0.06,0.13
elite,5,mining,5,2401496.11,2014158.03,1471884.72,464805.70,464805.70,2401496.11,123675.40,481565.60,272085.88,0.06,0.13,0.05,0.11,0.01,0.01,0.06,0.14,0.05,0.12
elite,5,relic,1,2916496.29,957655.50,1436483.25,740006.52,740006.52,2916496.29,112208.00,448832.00,246857.60,0.12,0.26,0.04,0.08,0.01,0.02,0.12,0.26,0.04,0.08
elite,5,repair,4,2045750.00,666592.69,252845.51,896452.25,896452.25,2045750.00,103237.00,407998.00,227121.40,0.17,0.36,0.05,0.12,0.01,0.03,0.17,0.36,0.05,0.12
elite,5,salvage,3,1828836.42,1440901.42,942127.85,443354.29,443354.29,1828836.42,132941.33,527365.33,292470.93,0.18,0.40,0.15,0.32,0.02,0.03,0.09,0.19,0.07,0.15
elite,6,combat,19,3263782.11,2107470.73,466254.59,1398763.76,1398763.76,3263782.11,314762.95,1968583.79,818383.66,0.15,0.40,0.10,0.26,0.01,0.03,0.15,0.38,0.09,0.25
elite,6,courier,13,1636374.72,698776.23,132679.03,751847.84,751847.84,1636374.72,216173.15,1323653.85,562050.20,0.84,2.17,0.36,0.93,0.07,0.18,0.32,0.82,0.13,0.35
elite,6,gas,2,2919189.90,2401269.10,1789180.91,565004.49,565004.49,2919189.90,356664.50,2272200.00,927327.70,0.15,0.39,0.12,0.32,0.01,0.04,0.15,0.39,0.12,0.32
elite,6,hunting,3,2518475.39,2053526.08,1356102.13,581186.63,581186.63,2518475.39,305614.67,1916377.33,794598.13,0.16,0.41,0.13,0.33,0.01,0.03,0.16,0.40,0.13,0.33
elite,6,mining,6,2580831.95,2164568.73,1581800.23,499515.86,499515.86,2580831.95,307385.00,1969769.33,799201.00,0.14,0.36,0.12,0.31,0.01,0.03,0.14,0.35,0.11,0.29
elite,6,relic,1,2912611.58,956379.92,1434569.88,739020.85,739020.85,2912611.58,273518.00,1586224.00,711146.80,0.29,0.74,0.09,0.24,0.02,0.06,0.29,0.74,0.09,0.24
elite,6,repair,4,2884512.45,939897.31,356512.77,1263999.83,1263999.83,2884512.45,264041.25,1634108.00,686507.25,0.30,0.78,0.10,0.26,0.03,0.07,0.27,0.71,0.09,0.23
elite,6,salvage,3,2392631.44,1885103.56,1232567.71,580031.86,580031.86,2392631.44,344646.33,2169050.67,896080.47,0.22,0.58,0.18,0.45,0.02,0.05,0.17,0.45,0.14,0.35
elite,7,combat,21,3476657.31,2244927.29,496665.33,1489995.99,1489995.99,3476657.31,754079.00,4745902.10,2413052.80,0.34,1.09,0.22,0.70,0.03,0.09,0.34,1.10,0.22,0.71
elite,7,courier,11,2174648.90,928633.86,176322.88,999163.01,999163.01,2174648.90,562554.09,3453035.64,1800173.09,0.68,2.18,0.29,0.93,0.06,0.18,0.64,2.03,0.27,0.87
elite,7,gas,3,2551622.98,2098915.68,1563897.95,493862.51,493862.51,2551622.98,771407.67,4941461.33,2468504.53,0.37,1.19,0.31,0.97,0.03,0.10,0.40,1.27,0.33,1.04
elite,7,hunting,3,2746226.30,2239230.67,1478737.24,633744.53,633744.53,2746226.30,769451.00,4862453.33,2462243.20,0.35,1.11,0.28,0.90,0.03,0.09,0.37,1.18,0.30,0.96
elite,7,mining,5,2906168.51,2437431.66,1781200.06,562484.23,562484.23,2906168.51,824068.80,5344020.00,2637020.16,0.33,1.07,0.28,0.90,0.03,0.09,0.31,1.01,0.26,0.85
elite,7,relic,1,3017077.22,990682.07,1486023.11,765527.06,765527.06,3017077.22,705210.00,4068280.00,2256672.00,0.71,2.28,0.23,0.75,0.06,0.19,0.71,2.28,0.23,0.75
elite,7,repair,4,3465036.46,1129056.83,428262.93,1518386.76,1518386.76,3465036.46,683172.00,4207706.00,2186150.40,0.62,1.98,0.20,0.65,0.05,0.16,0.60,1.93,0.20,0.63
elite,7,salvage,3,2640699.92,2080551.45,1360360.56,640169.68,640169.68,2640699.92,867999.67,5475944.00,2777598.93,0.46,1.48,0.36,1.16,0.04,0.12,0.39,1.26,0.31,0.99
elite,8,combat,20,3782397.02,2442347.79,540342.43,1621027.29,1621027.29,3782397.02,1933551.90,16699566.00,7347497.22,0.80,3.02,0.51,1.95,0.05,0.20,0.78,2.96,0.50,1.92
elite,8,courier,10,2343808.31,1000869.49,190038.51,1076884.90,1076884.90,2343808.31,1449011.50,12434928.80,5506243.70,1.57,5.98,0.67,2.55,0.11,0.40,1.61,6.13,0.69,2.62
elite,8,gas,3,2613641.34,2149930.78,1601909.21,505866.06,505866.06,2613641.34,1917399.00,16629528.00,7286116.20,0.89,3.36,0.73,2.76,0.06,0.22,0.90,3.41,0.74,2.80
elite,8,hunting,3,2892048.31,2358131.70,1557256.78,667395.76,667395.76,2892048.31,1950598.67,16912493.33,7412274.93,0.82,3.11,0.67,2.54,0.05,0.21,0.80,3.04,0.65,2.48
elite,8,mining,6,2932926.29,2459873.66,1797599.98,567663.15,567663.15,2932926.29,2082979.67,18177673.33,7915322.73,0.83,3.15,0.70,2.65,0.06,0.21,0.79,3.01,0.67,2.53
elite,8,relic,1,3090872.44,1014913.34,1522370.01,784251.22,784251.22,3090872.44,1889969.00,15449864.00,7181882.20,1.86,7.08,0.61,2.32,0.12,0.47,1.86,7.08,0.61,2.32
elite,8,repair,5,3930704.61,1280791.39,485817.42,1722443.59,1722443.59,3930704.61,1953762.00,16938979.20,7424295.60,1.52,5.79,0.50,1.89,0.10,0.39,1.48,5.63,0.48,1.83
elite,8,salvage,3,2895272.19,2281123.55,1491503.86,701884.17,701884.17,2895272.19,2348749.67,20296746.67,8925248.73,1.07,4.05,0.84,3.19,0.07,0.27,1.00,3.81,0.79,3.00
elite,9,combat,21,4043230.01,2610771.38,577604.29,1732812.86,1732812.86,4043230.01,4830001.10,42081738.29,21252004.82,1.84,8.09,1.19,5.22,0.12,0.54,1.78,7.82,1.15,5.05
elite,9,courier,9,2599936.22,1110243.04,210805.64,1194565.29,1194565.29,2599936.22,3543036.33,30437872.89,15589359.87,3.50,15.42,1.50,6.58,0.23,1.03,3.31,14.57,1.41,6.22
elite,9,gas,3,2808030.27,2309831.35,1721050.81,543489.73,543489.73,2808030.27,4816589.00,42488829.33,21192991.60,2.06,9.05,1.69,7.44,0.14,0.60,1.89,8.32,1.56,6.84
elite,9,hunting,3,3053595.52,2489854.80,1644243.74,704675.89,704675.89,3053595.52,4892805.00,42969333.33,21528342.00,1.93,8.48,1.57,6.91,0.13,0.57,1.80,7.93,1.47,6.46
elite,9,mining,6,2919714.63,2448792.92,1789502.51,565106.06,565106.06,2919714.63,4950802.67,43634753.33,21783531.73,1.98,8.72,1.66,7.31,0.13,0.58,1.89,8.31,1.58,6.97
elite,9,relic,1,3126315.43,1026551.34,1539827.00,793244.21,793244.21,3126315.43,4289543.00,35255760.00,18873989.20,4.18,18.39,1.37,6.04,0.28,1.23,4.18,18.39,1.37,6.04
elite,9,repair,5,4109490.54,1339047.48,507914.56,1800787.99,1800787.99,4109490.54,4859258.60,42736576.00,21380737.84,3.61,15.88,1.18,5.18,0.24,1.06,3.42,15.04,1.11,4.90
elite,9,salvage,3,2985207.26,2351981.48,1537834.04,723686.61,723686.61,2985207.26,5423218.67,47593946.67,23862162.13,2.29,10.08,1.81,7.95,0.15,0.67,2.32,10.21,1.83,8.05
elite,10,combat,22,4144301.08,2676034.41,592043.01,1776129.04,1776129.04,4144301.08,17519093.55,104359970.18,87595467.73,6.55,32.74,4.23,21.14,0.44,2.18,6.38,31.91,4.12,20.60
elite,10,courier,8,2629381.51,1122816.97,213193.10,1208094.21,1208094.21,2629381.51,13941727.75,74243599.00,69708638.75,13.28,66.39,5.67,28.35,0.89,4.43,13.38,66.87,5.71,28.55
elite,10,gas,3,3462022.73,2847792.89,2121884.90,670068.91,670068.91,3462022.73,17310113.67,103836409.33,86550568.33,6.08,30.39,5.00,25.00,0.41,2.03,6.08,30.39,5.00,25.00
elite,10,hunting,3,3520192.07,2870310.45,1895488.03,812352.02,812352.02,3520192.07,17600960.33,106403450.67,88004801.67,6.13,30.66,5.00,25.00,0.41,2.04,6.13,30.66,5.00,25.00
elite,10,mining,6,3641032.53,3053769.22,2231600.58,704715.97,704715.97,3641032.53,18205162.67,111954233.33,91025813.33,5.96,29.81,5.00,25.00,0.40,1.99,5.96,29.81,5.00,25.00
elite,10,relic,1,3370270.40,1106655.95,1659983.93,855143.24,855143.24,3370270.40,16851352.00,94220848.00,84256760.00,15.23,76.14,5.00,25.00,1.02,5.08,15.23,76.14,5.00,25.00
elite,10,repair,5,4103477.04,1337088.03,507171.32,1798152.86,1798152.86,4103477.04,17422828.40,104983273.60,87114142.00,13.09,65.43,4.26,21.32,0.87,4.36,12.61,63.05,4.11,20.55
elite,10,salvage,3,3875421.53,3053362.42,1996429.27,939496.13,939496.13,3875421.53,20428316.67,129337650.67,102141583.33,6.95,34.72,5.47,27.36,0.46,2.32,6.35,31.73,5.00,25.00
normal,2,combat,9,1790638.17,1156240.65,255805.45,767416.36,767416.36,1790638.17,8901.11,17802.22,11571.44,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
