mission_profile,mission_profile_ru,ship_id,local_name_ru,rank,faction_id,faction_name_ru,ship_class_id,role_id,branch_id,primary_activity,primary_activity_ru,primary_activity_score,combat_score,mining_score,gas_score,hunting_score,salvage_score,relic_score,repair_score,courier_score,effectiveness_multiplier,class_income_multiplier,mission_scope,mission_archetype,mission_base_fe,mission_required_power,ship_power_estimate,mission_success_factor,requirement_details,mission_capacity_multiplier,five_sortie_floor_fe,five_sortie_floor_applied,variance_multiplier,gross_total_value_fe,accumulated_total_value_fe,material_value_fe,intangible_value_fe,extraction_intangible_multiplier,extraction_intangible_bonus_fe,destroyed_total_value_fe,destroyed_liquid_fe,extracted_total_value_fe,extracted_liquid_fe,total_value_fe,freight_fe,extracted_freight_fe,resource_fe,profile_currency_fe,reputation_fe,extracted_reputation_fe,info_fe,liquid_fe,base_ship_xp,destroyed_ship_xp,extracted_ship_xp,ship_xp,base_mastery_points,destroyed_mastery_points,extracted_mastery_points,mastery_points,craft_full_eff_fe,craft_raw_fe,buy_estimate_fe,base_sorties,craft_payback_sorties,raw_craft_payback_sorties,buy_payback_sorties,craft_total_value_payback_sorties,raw_craft_total_value_payback_sorties,buy_total_value_payback_sorties,craft_lifetimes_to_payback,raw_craft_lifetimes_to_payback,buy_lifetimes_to_payback,activity_capacity_fe,activity_capacity_note,capacity_target_fe,capacity_vs_material_value,capacity_vs_required_value,capacity_vs_total_value,capacity_vs_liquid_value,capacity_vs_five_sortie_craft_target
elite,Элитная,capital_repair_cruiser_r10,Милосерд,10,capital,Империя,cruiser,repair,repair_cruiser,repair,Ремонт,86.00,36.00,0.00,0.00,0.00,0.00,16.80,86.00,68.78,1.2383,1.00,fixed_world_difficulty,elite_repair,1950000.00,7200.00,7234.56,1.0000,repair 86/80; defense 58/60; mobility 62/40; stealth 60/35; cargo 76/25,1.60,3476929.00,no,1.0109,2441085.16,2441085.16,537038.74,1904046.43,2.00,1904046.43,1904046.43,439395.33,4345131.59,1415829.39,4345131.59,439395.33,878790.66,439395.33,97643.41,1122899.17,2245798.35,0.00,1415829.39,14080,14080,28160,28160,28,28,56,56,17384645.00,104909120.00,86923225.00,15,12.28,74.10,61.39,4.00,24.14,20.00,0.82,4.94,4.09,11731855.28,"лимит задается плотностью целей/контрактом, не трюмом",4345131.59,21.85,2.70,2.70,8.29,3.37
elite,Элитная,devourers_bomb_cruiser_r10,Бомбардир,10,devourers,Пожиратели,cruiser,bomb,bomb_cruiser,combat,Бой,88.00,88.00,36.00,0.00,56.00,0.00,0.00,0.00,53.20,1.2037,1.00,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7387.20,1.0000,warfare 88/80; defense 58/55; mobility 50/40; stealth 34/35,1.60,3504163.20,no,1.0577,2482747.17,2482747.17,620686.79,1862060.38,2.00,1862060.38,1862060.38,1092408.76,4344807.56,2805504.31,4344807.56,1092408.76,2184817.51,496549.43,124137.36,74482.42,148964.83,0.00,2805504.31,76032,76032,152064,152064,20,20,40,40,17520816.00,104347076.00,87604080.00,15,6.25,37.19,31.23,4.03,24.02,20.16,0.42,2.48,2.08,11817876.55,"лимит задается плотностью целей/контрактом, не трюмом",4344807.56,19.04,2.72,2.72,4.21,3.37
elite,Элитная,devourers_brawler_frigate_r10,Бойня,10,devourers,Пожиратели,frigate,brawler,brawler_frigate,combat,Бой,80.00,80.00,0.00,0.00,30.00,0.00,0.00,0.00,54.25,1.1758,0.92,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7374.24,1.0000,warfare 80/80; defense 46/55; mobility 76/40; stealth 45/35,1.60,2745811.40,no,0.9885,2085078.55,2085078.55,521269.64,1563808.92,2.00,1563808.92,1563808.92,917434.56,3648887.47,2356138.77,3648887.47,917434.56,1834869.13,417015.71,104253.93,62552.36,125104.71,0.00,2356138.77,76032,76032,152064,152064,20,20,40,40,13729057.00,72272404.00,68645285.00,15,5.83,30.67,29.13,3.76,19.81,18.81,0.39,2.04,1.94,9633062.92,"лимит задается плотностью целей/контрактом, не трюмом",3648887.47,18.48,2.64,2.64,4.09,3.51
elite,Элитная,devourers_harpoon_cruiser_r10,Удержник,10,devourers,Пожиратели,cruiser,harpoon,harpoon_cruiser,hunting,Левиафаны,96.00,66.00,0.00,0.00,96.00,28.00,0.00,0.00,57.46,1.2598,1.00,fixed_world_difficulty,elite_hunting,1950000.00,7200.00,7398.72,1.0000,hunting 96/75; warfare 66/45; defense 70/55; cargo 60/55; mobility 62/35,1.60,3258884.80,yes,0.9485,2329987.93,2506834.46,1754784.12,752050.34,2.00,752050.34,752050.34,451230.20,3258884.80,2657244.53,3258884.80,451230.20,902460.41,1554237.37,200546.76,50136.69,100273.38,0.00,2657244.53,33792,33792,67584,67584,24,24,48,48,16294424.00,94942856.00,81472120.00,15,6.13,35.73,30.66,5.00,29.13,25.00,0.41,2.38,2.04,81648000.00,armored_whale / 300 т,1754784.12,46.53,46.53,25.05,30.73,25.05
elite,Элитная,devourers_harpoon_frigate_r10,Крюк,10,devourers,Пожиратели,frigate,harpoon,harpoon_frigate,hunting,Левиафаны,82.00,55.00,0.00,0.00,82.00,0.00,0.00,0.00,57.04,1.1932,0.92,fixed_world_difficulty,elite_hunting,1950000.00,7200.00,7273.44,0.9788,hunting 82/75; warfare 55/45; defense 34/55; cargo 38/55; mobility 96/35,1.60,2900608.40,yes,1.0598,2268601.91,2231237.23,1561866.06,669371.17,2.00,669371.17,669371.17,401622.70,2900608.40,2365111.46,2900608.40,401622.70,803245.40,1383367.08,178498.98,44624.74,89249.49,0.00,2365111.46,33792,33792,67584,67584,23,23,46,46,14503042.00,79812072.00,72515210.00,15,6.13,33.75,30.66,5.00,27.52,25.00,0.41,2.25,2.04,11829600.00,sail_ray / 45 т,1561866.06,7.57,7.57,4.08,5.00,4.08
elite,Элитная,devourers_leviathan_hunter_battleship_r10,Левиафан,10,devourers,Пожиратели,battleship,leviathan_hunter,leviathan_hunter_battleship,combat,Бой,100.00,100.00,0.00,0.00,88.00,0.00,0.00,0.00,49.69,1.2932,1.12,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7503.84,1.0000,warfare 100/80; defense 76/55; mobility 42/40; stealth 23/35,1.60,4564406.80,no,1.0326,2916538.56,2916538.56,729134.64,2187403.92,2.00,2187403.92,2187403.92,1283276.96,5103942.47,3295688.57,5103942.47,1283276.96,2566553.93,583307.71,145826.93,87496.16,174992.31,0.00,3295688.57,76032,76032,152064,152064,20,20,40,40,22822034.00,151170688.00,114110170.00,15,6.92,45.87,34.62,4.47,29.62,22.36,0.46,3.06,2.31,14495196.63,"лимит задается плотностью целей/контрактом, не трюмом",5103942.47,19.88,2.84,2.84,4.40,3.18
elite,Элитная,devourers_leviathan_processor_battleship_r10,Мясокомбинат,10,devourers,Пожиратели,battleship,leviathan_processor,leviathan_processor_battleship,hunting,Левиафаны,100.00,50.00,38.00,0.00,100.00,52.00,0.00,0.00,57.92,1.2574,1.12,fixed_world_difficulty,elite_hunting,1950000.00,7200.00,7292.16,1.0000,hunting 100/75; warfare 50/45; defense 82/55; cargo 80/55; mobility 34/35,1.60,4401083.00,yes,0.9547,2621667.27,3385448.46,2369813.92,1015634.54,2.00,1015634.54,1015634.54,609380.72,4401083.00,3588575.37,4401083.00,609380.72,1218761.45,2098978.05,270835.88,67708.97,135417.94,0.00,3588575.37,33792,33792,67584,67584,24,24,48,48,22005415.00,144455424.00,110027075.00,15,6.13,40.25,30.66,5.00,32.82,25.00,0.41,2.68,2.04,469200000.00,sky_whale / 1500 т,2369813.92,197.99,197.99,106.61,130.75,106.61
elite,Элитная,devourers_ore_hauler_frigate_r10,Обоз,10,devourers,Пожиратели,frigate,ore_hauler,ore_hauler_frigate,mining,Руда,64.00,26.00,64.00,0.00,0.00,28.00,0.00,0.00,61.94,1.1253,0.92,fixed_world_difficulty,elite_ore,1950000.00,7200.00,7050.24,0.9633,mining 64/75; cargo 68/65; defense 36/35; mobility 66/30; stealth 42/25,1.60,2624237.00,yes,0.9783,1974985.17,2116320.16,1608403.32,507916.84,2.00,507916.84,507916.84,296284.82,2624237.00,2200972.97,2624237.00,296284.82,592569.65,1439097.71,169305.61,42326.40,84652.81,0.00,2200972.97,25344,25344,50688,50688,23,23,46,46,13121185.00,68812096.00,65605925.00,15,5.96,31.26,29.81,5.00,26.22,25.00,0.40,2.08,1.99,3944734.75,murky_monazite / 65.7 т сырья,1608403.32,2.45,2.45,1.50,1.79,1.50
elite,Элитная,devourers_ripper_cruiser_r10,Риппер,10,devourers,Пожиратели,cruiser,ripper,ripper_cruiser,combat,Бой,88.00,88.00,0.00,0.00,64.00,42.00,0.00,0.00,59.92,1.2298,1.00,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7513.92,1.0000,warfare 88/80; defense 70/55; mobility 70/40; stealth 34/35,1.60,3498463.00,no,1.0581,2537335.06,2537335.06,634333.77,1903001.30,2.00,1903001.30,1903001.30,1116427.43,4440336.36,2867188.62,4440336.36,1116427.43,2232854.85,507467.01,126866.75,76120.05,152240.10,0.00,2867188.62,76032,76032,152064,152064,20,20,40,40,17492315.00,103396260.00,87461575.00,15,6.10,36.06,30.50,3.94,23.29,19.70,0.41,2.40,2.03,12077714.89,"лимит задается плотностью целей/контрактом, не трюмом",4440336.36,19.04,2.72,2.72,4.21,3.45
elite,Элитная,factory_ark_assault_cruiser_r10,Авангард,10,factory_ark,Заводные Ковчеги,cruiser,assault,assault_cruiser,repair,Ремонт,84.00,72.00,0.00,0.00,0.00,40.00,0.00,84.00,54.31,1.2194,1.00,fixed_world_difficulty,elite_repair,1950000.00,7200.00,7391.52,1.0000,repair 84/80; defense 68/60; mobility 50/40; stealth 45/35; cargo 58/25,1.60,3312700.20,no,0.9523,2264520.90,2264520.90,498194.60,1766326.30,2.00,1766326.30,1766326.30,407613.76,4030847.21,1313422.12,4030847.21,407613.76,815227.53,407613.76,90580.84,1041679.62,2083359.23,0.00,1313422.12,14080,14080,28160,28160,28,28,56,56,16563501.00,96548888.00,82817505.00,15,12.61,73.51,63.05,4.11,23.95,20.55,0.84,4.90,4.20,10802670.52,"лимит задается плотностью целей/контрактом, не трюмом",4030847.21,21.68,2.68,2.68,8.22,3.26
elite,Элитная,factory_ark_automaton_factory_battleship_r10,Фабрика,10,factory_ark,Заводные Ковчеги,battleship,automaton_factory,automaton_factory_battleship,salvage,Сальваж,100.00,46.00,68.00,48.00,0.00,100.00,76.80,78.00,57.86,1.2855,1.12,fixed_world_difficulty,elite_salvage,1950000.00,7200.00,7257.60,1.0000,salvage 100/75; warfare 46/50; defense 82/45; cargo 83/55; survey 80/35,1.60,4698435.40,yes,1.0469,2939326.33,3559420.76,2420406.12,1139014.64,2.00,1139014.64,1139014.64,640695.74,4698435.40,3701797.59,4698435.40,640695.74,1281391.47,1993275.62,427130.49,71188.42,142376.83,0.00,3701797.59,30976,30976,61952,61952,25,25,50,50,23492177.00,154258176.00,117460885.00,15,6.35,41.67,31.73,5.00,32.83,25.00,0.42,2.78,2.12,22982400000.00,точные узлы автоматонов / 5985.0 т,2420406.12,9495.27,9495.27,4891.50,6208.44,4891.50
elite,Элитная,factory_ark_automaton_tender_frigate_r10,Тендер,10,factory_ark,Заводные Ковчеги,frigate,automaton_tender,automaton_tender_frigate,salvage,Сальваж,80.00,28.00,42.00,30.00,0.00,80.00,12.00,0.00,54.60,1.1736,0.92,fixed_world_difficulty,elite_salvage,1950000.00,7200.00,7067.52,0.7641,salvage 80/75; warfare 28/50; defense 34/45; cargo 50/55; survey 20/35,1.60,0.00,no,1.0505,2211803.61,1690093.02,1149263.25,540829.77,2.00,540829.77,540829.77,304216.74,2230922.79,1757696.74,2230922.79,304216.74,608433.49,946452.09,202811.16,33801.86,67603.72,0.00,1757696.74,30976,30976,61952,61952,19,19,38,38,14308241.00,77373184.00,71541205.00,15,8.14,44.02,40.70,6.41,34.68,32.07,0.54,2.93,2.71,221952000.00,точные узлы автоматонов / 57.8 т,1149263.25,193.13,193.13,99.49,126.27,77.56
elite,Элитная,factory_ark_combat_ark_cruiser_r10,Армада,10,factory_ark,Заводные Ковчеги,cruiser,combat_ark,combat_ark_cruiser,combat,Бой,88.00,88.00,0.00,0.00,0.00,46.00,31.20,0.00,55.78,1.2124,1.00,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7433.28,1.0000,warfare 88/80; defense 60/55; mobility 54/40; stealth 50/35,1.60,3495528.40,no,1.0557,2495795.41,2495795.41,623948.85,1871846.56,2.00,1871846.56,1871846.56,1098149.98,4367641.97,2820248.81,4367641.97,1098149.98,2196299.96,499159.08,124789.77,74873.86,149747.72,0.00,2820248.81,76032,76032,152064,152064,20,20,40,40,17477642.00,102660688.00,87388210.00,15,6.20,36.40,30.99,4.00,23.50,20.01,0.41,2.43,2.07,11879986.15,"лимит задается плотностью целей/контрактом, не трюмом",4367641.97,19.04,2.72,2.72,4.21,3.40
elite,Элитная,factory_ark_escort_frigate_r10,Эскорт,10,factory_ark,Заводные Ковчеги,frigate,escort,escort_frigate,repair,Ремонт,72.00,36.00,0.00,0.00,0.00,0.00,18.60,72.00,46.80,1.1260,0.92,fixed_world_difficulty,elite_repair,1950000.00,7200.00,7102.08,0.8485,repair 72/80; defense 32/60; mobility 68/40; stealth 60/35; cargo 33/25,1.60,0.00,no,0.9646,1948432.42,1653215.39,363707.39,1289508.00,2.00,1289508.00,1289508.00,297578.77,2942723.39,958864.93,2942723.39,297578.77,595157.54,297578.77,66128.62,760479.08,1520958.16,0.00,958864.93,14080,14080,28160,28160,24,24,48,48,13612649.00,71430456.00,68063245.00,15,14.20,74.49,70.98,4.63,24.27,23.13,0.95,4.97,4.73,7533371.88,"лимит задается плотностью целей/контрактом, не трюмом",2942723.39,20.71,2.56,2.56,7.86,2.77
elite,Элитная,factory_ark_mechanized_citadel_battleship_r10,Архимашина,10,factory_ark,Заводные Ковчеги,battleship,mechanized_citadel,mechanized_citadel_battleship,combat,Бой,100.00,100.00,0.00,0.00,0.00,84.00,44.40,0.00,45.49,1.2849,1.12,fixed_world_difficulty,elite_combat,1950000.00,7200.00,7524.00,1.0000,warfare 100/80; defense 86/55; mobility 30/40; stealth 21/35,1.60,4376992.60,no,0.9753,2736948.20,2736948.20,684237.05,2052711.15,2.00,2052711.15,2052711.15,1204257.21,4789659.35,3092751.46,4789659.35,1204257.21,2408514.41,547389.64,136847.41,82108.45,164216.89,0.00,3092751.46,76032,76032,152064,152064,20,20,40,40,21884963.00,142264984.00,109424815.00,15,7.08,46.00,35.38,4.57,29.70,22.85,0.47,3.07,2.36,13602632.54,"лимит задается плотностью целей/контрактом, не трюмом",4789659.35,19.88,2.84,2.84,4.40,3.11
elite,Элитная,factory_ark_modular_survey_cruiser_r10,Синтакс,10,factory_ark,Заводные Ковчеги,cruiser,modular_survey,modular_survey_cruiser,relic,Реликты,92.00,36.00,0.00,0.00,0.00,66.00,92.00,0.00,61.80,1.2523,1.00,fixed_world_difficulty,elite_relic,1950000.00,7200.00,7231.68,1.0000,survey 92/75; hacking 92/55; stealth 66/55; mobility 58/40; cargo 63/35,1.60,3370270.40,yes,0.9868,2409723.11,2515127.16,1659983.93,855143.24,2.00,855143.24,855143.24,226361.44,3370270.40,1106655.95,3370270.40,226361.44,452722.89,503025.43,150907.63,100605.09,201210.17,1006050.87,1106655.95,30976,30976,61952,61952,30,30,60,60,16851352.00,94220848.00,84256760.00,15,15.23,85.14,76.14,5.00,27.96,25.00,1.02,5.68,5.08,13824000.00,12 вскрытий дорогих реликтов,1659983.93,8.33,8.33,4.10,12.49,4.10
elite,Элитная,factory_ark_x_ray_scout_frigate_r10,Спектр,10,factory_ark,Заводные Ковчеги,frigate,x_ray_scout,x_ray_scout_frigate,courier,Курьерка,55.28,50.00,0.00,0.00,0.00,30.00,51.60,0.00,55.28,1.0827,0.92,fixed_world_difficulty,elite_courier,1950000.00,7200.00,7205.76,0.5363,cargo 39/75; mobility 80/75; stealth 74/65; defense 30/35; survey 86/30,1.60,0.00,no,0.9544,1853635.46,994049.33,149107.40,844941.93,2.00,844941.93,844941.93,318095.79,1838991.26,785298.97,1838991.26,318095.79,636191.57,119285.92,29821.48,417500.72,835001.44,0.00,785298.97,11264,11264,22528,22528,14,14,28,28,13384194.00,67347816.00,66920970.00,15,17.04,85.76,85.22,7.28,36.62,36.39,1.14,5.72,5.68,4400338.29,"лимит задается плотностью целей/контрактом, не трюмом",1838991.26,29.51,2.39,2.39,5.60,1.64
elite,Элитная,mist_synod_chemical_cruiser_r10,Формула,10,mist_synod,Туманный Синод,cruiser,chemical,chemical_cruiser,gas,Газ,94.00,32.00,42.00,94.00,0.00,0.00,20.40,0.00,64.48,1.2591,1.00,fixed_world_difficulty,elite_gas,1950000.00,7200.00,7182.72,1.0000,harvesting 94/75; cargo 72/60; stealth 72/45; defense 56/30; mobility 48/30,1.60,3321744.40,yes,0.9739,2391039.07,2678826.13,2035907.86,642918.27,2.00,642918.27,642918.27,348247.40,3321744.40,2732402.65,3321744.40,348247.40,696494.79,1768025.25,267882.61,53576.52,107153.05,0.00,2732402.65,25344,25344,50688,50688,24,24,48,48,16608722.00,98222336.00,83043610.00,15,6.08,35.95,30.39,5.00,29.57,25.00,0.41,2.40,2.03,551107200.00,void_smoke / 574.1 т конденсата,2035907.86,270.69,270.69,165.91,201.69,165.91
