rank,faction_id,economy_level,ship_count,min_total_fe,avg_total_fe,median_total_fe,max_total_fe
4,factory_ark,3,8,67811.00,97367.50,92251.00,147818.00
4,factory_ark,4,8,50615.00,72759.50,68721.00,111405.00
4,factory_ark,5,8,31333.00,45784.00,43311.50,71087.00
4,mist_synod,0,8,120820.00,180761.50,166712.00,263980.00
4,mist_synod,1,8,105604.00,156195.62,144362.00,225778.00
4,mist_synod,2,8,84577.00,124717.50,114610.00,180323.00
4,mist_synod,3,8,64894.00,96655.50,89226.50,140134.00
4,mist_synod,4,8,48656.00,72251.88,66225.00,104832.00
4,mist_synod,5,8,30205.00,45976.62,42183.50,67825.00
4,stone_vault,0,7,112164.00,175160.57,159476.00,259984.00
4,stone_vault,1,7,96682.00,150096.86,136640.00,222320.00
4,stone_vault,2,7,76934.00,120001.71,108932.00,177315.00
4,stone_vault,3,7,60468.00,93729.57,85080.00,138231.00
4,stone_vault,4,7,45072.00,70286.00,63754.00,103256.00
4,stone_vault,5,7,29061.00,45820.14,41703.00,67136.00
4,wind_houses,0,9,119120.00,177155.56,172836.00,258348.00
4,wind_houses,1,9,103486.00,153015.78,149489.00,221618.00
4,wind_houses,2,9,81862.00,121507.67,118527.00,178053.00
4,wind_houses,3,9,63850.00,94742.67,92308.00,138045.00
4,wind_houses,4,9,47140.00,70334.00,68724.00,103854.00
4,wind_houses,5,9,29780.00,45040.00,44359.00,67588.00
5,capital,0,11,289564.00,443937.09,446128.00,646184.00
5,capital,1,11,247986.00,379819.64,382750.00,551713.00
5,capital,2,11,197333.00,301893.36,304059.00,442278.00
5,capital,3,11,152848.00,234839.18,236782.00,341046.00
5,capital,4,11,113684.00,174500.55,175846.00,256244.00
5,capital,5,11,72391.00,112289.73,112320.00,165186.00
5,devourers,0,8,299520.00,437468.50,405304.00,677992.00
5,devourers,1,8,257600.00,376762.12,349756.50,582126.00
5,devourers,2,8,203697.00,298907.00,276847.50,465247.00
5,devourers,3,8,158271.00,233028.38,216909.50,360092.00
5,devourers,4,8,116686.00,172739.75,160318.00,269524.00
5,devourers,5,8,74880.00,111834.62,104026.00,174748.00
5,factory_ark,0,8,299932.00,441408.00,430796.00,651252.00
5,factory_ark,1,8,259667.00,380062.62,370145.50,558224.00
5,factory_ark,2,8,206655.00,303003.62,293870.00,445263.00
5,factory_ark,3,8,160131.00,234380.62,228747.50,344416.00
5,factory_ark,4,8,119135.00,174776.25,169707.50,257036.00
5,factory_ark,5,8,74983.00,110352.00,107699.00,162813.00
5,mist_synod,0,8,306528.00,461574.00,443296.00,665416.00
5,mist_synod,1,8,265962.00,396952.12,381500.50,568835.00
5,mist_synod,2,8,212424.00,316219.75,303321.50,451729.00
5,mist_synod,3,8,163382.00,244588.25,234765.50,349818.00
5,mist_synod,4,8,122172.00,182184.50,174471.00,259432.00
5,mist_synod,5,8,76632.00,116033.50,110824.00,166543.00
5,stone_vault,0,7,292424.00,443338.86,410276.00,629296.00
5,stone_vault,1,7,250174.00,378379.14,350343.00,536985.00
5,stone_vault,2,7,198666.00,301621.00,277805.00,427660.00
5,stone_vault,3,7,155407.00,234732.29,217635.00,332590.00
5,stone_vault,4,7,115430.00,175166.00,161356.00,247836.00
5,stone_vault,5,7,74896.00,113707.57,104839.00,160784.00
5,wind_houses,0,9,311776.00,446052.44,416192.00,688052.00
5,wind_houses,1,9,270779.00,383609.11,356805.00,588902.00
5,wind_houses,2,9,213100.00,304439.00,280119.00,472236.00
5,wind_houses,3,9,166443.00,236578.33,220139.00,363420.00
5,wind_houses,4,9,122644.00,175378.33,160926.00,273086.00
5,wind_houses,5,9,77944.00,112237.56,104048.00,175233.00
6,capital,0,11,1164496.00,1761238.91,1704072.00,2710292.00
6,capital,1,11,1006812.00,1481794.55,1415356.00,2261179.00
6,capital,2,11,747865.00,1085976.82,1039443.00,1645367.00
6,capital,3,11,541474.00,777148.55,757314.00,1159643.00
6,capital,4,11,367588.00,525962.55,516274.00,774680.00
6,capital,5,11,188659.00,280220.64,278409.00,415943.00
6,devourers,0,8,1142344.00,1790690.50,1745784.00,2757980.00
6,devourers,1,8,976735.00,1510220.12,1476086.00,2307441.00
6,devourers,2,8,725482.00,1106678.00,1078137.00,1677886.00
6,devourers,3,8,509411.00,786999.00,770693.50,1186740.00
6,devourers,4,8,350644.00,530872.00,517099.00,791190.00
6,devourers,5,8,181697.00,285080.12,280904.00,426915.00
6,factory_ark,0,8,1074176.00,1718101.00,1637384.00,2633800.00
6,factory_ark,1,8,938615.00,1475285.88,1413691.50,2223853.00
6,factory_ark,2,8,712744.00,1081484.38,1030465.00,1614834.00
6,factory_ark,3,8,521056.00,784913.88,760453.50,1184884.00
6,factory_ark,4,8,368258.00,530153.75,509199.00,791222.00
6,factory_ark,5,8,190177.00,284801.38,276973.00,426776.00
6,mist_synod,0,8,1098424.00,1840627.00,1766816.00,2758704.00
6,mist_synod,1,8,957772.00,1560386.62,1490487.50,2323026.00
6,mist_synod,2,8,740535.00,1134142.00,1080707.00,1666976.00
6,mist_synod,3,8,516424.00,812076.38,778128.00,1193367.00
6,mist_synod,4,8,375118.00,541942.25,518415.00,780394.00
6,mist_synod,5,8,193008.00,290792.25,278676.50,428071.00
6,stone_vault,0,7,1224800.00,1860501.71,1773668.00,2603168.00
6,stone_vault,1,7,1037872.00,1553781.57,1481990.00,2153834.00
6,stone_vault,2,7,762244.00,1127272.00,1072958.00,1557971.00
6,stone_vault,3,7,550686.00,812030.57,783421.00,1115972.00
6,stone_vault,4,7,374978.00,541772.86,517346.00,741348.00
6,stone_vault,5,7,191183.00,290628.57,281133.00,398581.00
6,wind_houses,0,9,1201320.00,1795562.22,1687696.00,2728648.00
6,wind_houses,1,9,1065237.00,1531441.33,1450785.00,2285164.00
6,wind_houses,2,9,778369.00,1120686.67,1074702.00,1655793.00
6,wind_houses,3,9,586295.00,804104.78,770805.00,1172142.00
6,wind_houses,4,9,396262.00,541908.00,526158.00,782608.00
6,wind_houses,5,9,208710.00,291848.33,285740.00,421554.00
7,capital,0,11,3162736.00,4495130.91,4176152.00,7098928.00
7,capital,1,11,2690856.00,3742067.73,3505054.00,5891385.00
7,capital,2,11,1976453.00,2704960.55,2542664.00,4246112.00
7,capital,3,11,1417089.00,1946691.82,1838822.00,3003658.00
7,capital,4,11,938440.00,1288666.55,1222238.00,1975582.00
7,capital,5,11,512291.00,714154.45,685634.00,1082016.00
7,devourers,0,8,2899800.00,4539596.00,4412036.00,6887736.00
7,devourers,1,8,2440543.00,3775574.50,3664331.50,5703094.00
7,devourers,2,8,1771612.00,2734077.62,2657832.00,4124258.00
7,devourers,3,8,1282088.00,1963295.38,1915807.50,2918460.00
7,devourers,4,8,853998.00,1301973.50,1274460.00,1929234.00
7,devourers,5,8,462265.00,718398.25,710192.00,1058945.00
7,factory_ark,0,8,2870816.00,4344585.00,4198264.00,6704432.00
7,factory_ark,1,8,2454012.00,3659035.00,3534709.50,5626396.00
7,factory_ark,2,8,1785393.00,2667129.62,2589143.00,4078539.00
7,factory_ark,3,8,1300218.00,1935218.38,1883634.00,2950106.00
7,factory_ark,4,8,867282.00,1295045.25,1269315.00,1958368.00
7,factory_ark,5,8,477352.00,721529.50,712453.00,1087797.00
7,mist_synod,0,8,2821848.00,4821209.00,4693660.00,7350528.00
7,mist_synod,1,8,2393541.00,4018879.88,3930704.00,6096641.00
7,mist_synod,2,8,1748568.00,2903306.75,2838265.00,4387918.00
7,mist_synod,3,8,1258563.00,2076160.00,2032326.50,3103660.00
7,mist_synod,4,8,843398.00,1372100.25,1338405.00,2037958.00
7,mist_synod,5,8,475251.00,756216.62,736834.50,1114106.00
7,stone_vault,0,7,2992504.00,4594896.57,4513512.00,6474080.00
7,stone_vault,1,7,2487479.00,3800989.86,3716173.00,5338990.00
7,stone_vault,2,7,1820855.00,2743413.43,2676253.00,3841789.00
7,stone_vault,3,7,1280747.00,1956623.43,1920147.00,2736349.00
7,stone_vault,4,7,862838.00,1292181.43,1265930.00,1800156.00
7,stone_vault,5,7,462634.00,709531.29,704723.00,989424.00
7,wind_houses,0,9,2810856.00,4428031.11,4079384.00,7206184.00
7,wind_houses,1,9,2383517.00,3700569.00,3435140.00,5995543.00
7,wind_houses,2,9,1757112.00,2694537.00,2530139.00,4338809.00
7,wind_houses,3,9,1285752.00,1932219.33,1829755.00,3107301.00
7,wind_houses,4,9,868026.00,1292000.22,1223276.00,2058166.00
7,wind_houses,5,9,477701.00,712999.78,687337.00,1128498.00
8,capital,0,11,10726112.00,16222173.09,15361264.00,25866824.00
8,capital,1,11,9542660.00,14326706.18,13659690.00,22537263.00
8,capital,2,11,7207678.00,10535054.45,10060314.00,16032472.00
8,capital,3,11,4782105.00,6947304.55,6499475.00,10441286.00
8,capital,4,11,3362580.00,4730363.09,4445910.00,6823248.00
8,capital,5,11,1269420.00,1869585.73,1788151.00,2949260.00
8,devourers,0,8,11360824.00,15860469.00,14655836.00,23947504.00
8,devourers,1,8,10222347.00,14055605.25,13106240.50,20843062.00
8,devourers,2,8,7610751.00,10131239.00,9406199.00,14737529.00
8,devourers,3,8,5317285.00,7054468.50,6681668.00,9908681.00
8,devourers,4,8,3746962.00,4702866.00,4435836.00,6441802.00
8,devourers,5,8,1328086.00,1833741.25,1712467.00,2732038.00
8,factory_ark,0,8,11584912.00,16047650.00,14788092.00,24871000.00
8,factory_ark,1,8,10537495.00,14306640.62,13263123.50,21763522.00
8,factory_ark,2,8,7928817.00,10455271.62,9744247.50,15315484.00
8,factory_ark,3,8,5665598.00,7340710.12,7033223.50,10513141.00
8,factory_ark,4,8,3959512.00,4970107.50,4775993.00,6782144.00
8,factory_ark,5,8,1348831.00,1884563.62,1761006.50,2886054.00
8,mist_synod,0,8,11096912.00,16381906.00,15117508.00,24605352.00
8,mist_synod,1,8,10065431.00,14505883.75,13484488.00,21515854.00
8,mist_synod,2,8,7615930.00,10605640.50,9889646.00,15279512.00
8,mist_synod,3,8,5201413.00,7078562.75,6725718.00,10030703.00
8,mist_synod,4,8,3670370.00,4787832.50,4564162.00,6544138.00
8,mist_synod,5,8,1304102.00,1883293.00,1745052.50,2808654.00
8,stone_vault,0,7,11508536.00,16871904.00,15774816.00,24286696.00
8,stone_vault,1,7,10229070.00,14782158.57,13935177.00,21052574.00
8,stone_vault,2,7,7386167.00,10631836.57,9900922.00,14888203.00
8,stone_vault,3,7,5295957.00,7247791.43,6811543.00,9812313.00
8,stone_vault,4,7,3547388.00,4809170.29,4451550.00,6546188.00
8,stone_vault,5,7,1314508.00,1934344.86,1809017.00,2795093.00
8,wind_houses,0,9,11157672.00,16244475.56,15333736.00,25290616.00
8,wind_houses,1,9,9970167.00,14410737.78,13798496.00,21807198.00
8,wind_houses,2,9,7499070.00,10619587.56,10054574.00,15835461.00
8,wind_houses,3,9,4881959.00,6902961.67,6420147.00,10397623.00
8,wind_houses,4,9,3476194.00,4708676.22,4322928.00,6964388.00
8,wind_houses,5,9,1303693.00,1894379.11,1842291.00,2848930.00
9,capital,0,11,28511984.00,40767622.55,39068728.00,63056984.00
9,capital,1,11,24781650.00,34724634.64,33310598.00,52950975.00
9,capital,2,11,17104178.00,23967472.55,23086693.00,36285953.00
9,capital,3,11,11313270.00,15924994.00,15393385.00,24230976.00
9,capital,4,11,7102622.00,9987842.73,9602892.00,15054680.00
9,capital,5,11,3172806.00,4673490.55,4589458.00,7113294.00
9,devourers,0,8,26179776.00,39875218.00,39490908.00,59823808.00
9,devourers,1,8,23043723.00,34315201.62,34200524.00,50094553.00
9,devourers,2,8,16039185.00,23687285.12,23875753.00,34144215.00
9,devourers,3,8,10667985.00,15628251.88,15436198.00,22870972.00
9,devourers,4,8,6785328.00,9806450.25,9811305.00,14135438.00
9,devourers,5,8,2966791.00,4551410.88,4518606.00,6770785.00
9,factory_ark,0,8,26706984.00,39297473.00,37606544.00,57404936.00
9,factory_ark,1,8,23720034.00,34407088.38,33182571.00,49250164.00
9,factory_ark,2,8,17143864.00,23524564.00,22561848.00,32942638.00
9,factory_ark,3,8,11208646.00,15954776.62,15380108.50,23011769.00
9,factory_ark,4,8,7100302.00,9891812.25,9461802.00,13827290.00
9,factory_ark,5,8,3222229.00,4577891.12,4455060.00,6498845.00
9,mist_synod,0,8,26525856.00,41960103.00,39723440.00,60300376.00
9,mist_synod,1,8,23539464.00,36055394.62,34418147.50,50731968.00
9,mist_synod,2,8,16378456.00,24498335.38,23294327.00,34151352.00
9,mist_synod,3,8,11207441.00,16562609.62,15771972.00,23427643.00
9,mist_synod,4,8,7131002.00,10183930.00,9690420.00,14168514.00
9,mist_synod,5,8,3131211.00,4771183.25,4514808.50,6750997.00
9,stone_vault,0,7,28341680.00,40780510.86,37726520.00,59489040.00
9,stone_vault,1,7,24854947.00,34480373.71,31832216.00,49486372.00
9,stone_vault,2,7,17282711.00,23885319.14,21837171.00,34362708.00
9,stone_vault,3,7,11485371.00,15819567.00,14659487.00,22513709.00
9,stone_vault,4,7,7277086.00,9974191.14,9130624.00,14215284.00
9,stone_vault,5,7,3238086.00,4634637.57,4334405.00,6682004.00
9,wind_houses,0,9,26510568.00,40510119.11,40740840.00,62204104.00
9,wind_houses,1,9,22909640.00,34483493.22,34524826.00,52607253.00
9,wind_houses,2,9,15910808.00,23673430.11,24083832.00,35738224.00
9,wind_houses,3,9,10940769.00,16017634.78,15990986.00,24293603.00
9,wind_houses,4,9,6654504.00,9989952.22,10150266.00,14941920.00
9,wind_houses,5,9,3043640.00,4661233.22,4812951.00,6921924.00
10,capital,0,11,66488992.00,101423322.55,99467304.00,154228000.00
10,capital,1,11,56819442.00,85532185.36,83996569.00,128465419.00
10,capital,2,11,41195856.00,60833241.09,59980212.00,90416160.00
10,capital,3,11,29934200.00,42764645.55,42377430.00,62069028.00
10,capital,4,11,21014092.00,28957812.55,28773652.00,41048004.00
10,capital,5,11,13156596.00,17121702.09,17163637.00,23187481.00
10,devourers,0,8,68812096.00,102401109.50,99169558.00,151170688.00
10,devourers,1,8,58902839.00,86425218.38,83869078.50,126696081.00
10,devourers,2,8,42466643.00,61424315.38,59501871.50,89284525.00
10,devourers,3,8,30116185.00,43048996.12,42086970.50,61181547.00
10,devourers,4,8,21011240.00,29127499.00,28450285.00,40522764.00
10,devourers,5,8,13121185.00,17186036.00,16893369.50,22822034.00
10,factory_ark,0,8,67347816.00,100763130.00,95384868.00,154258176.00
10,factory_ark,1,8,58611768.00,85453834.62,81181650.50,128291724.00
10,factory_ark,2,8,42598612.00,60616338.62,57374011.50,90104239.00
10,factory_ark,3,8,30099743.00,42895846.12,41380547.50,62326890.00
10,factory_ark,4,8,21176414.00,28945651.75,27871890.00,41061690.00
10,factory_ark,5,8,13384194.00,17196839.88,16707426.50,23492177.00
10,mist_synod,0,8,67935304.00,103289485.50,101429616.00,145351588.00
10,mist_synod,1,8,58969189.00,87270698.88,85454903.50,121791429.00
10,mist_synod,2,8,42495915.00,61799496.62,60574366.50,85553297.00
10,mist_synod,3,8,29894086.00,43431260.12,42574504.50,59172542.00
10,mist_synod,4,8,20830266.00,29242570.00,28710517.00,39099226.00
10,mist_synod,5,8,13193365.00,17241690.00,16974672.50,22128254.00
10,stone_vault,0,7,71443620.00,102940647.43,97843648.00,137935508.00
10,stone_vault,1,7,60793730.00,86077970.00,81343410.00,114633308.00
10,stone_vault,2,7,43911628.00,61044812.14,58476806.00,80323659.00
10,stone_vault,3,7,31278542.00,42992400.00,41044416.00,56094994.00
10,stone_vault,4,7,21841006.00,29017984.00,28180726.00,37014918.00
10,stone_vault,5,7,13493640.00,17173140.29,16722679.00,21292123.00
10,wind_houses,0,9,66209988.00,101288044.89,96718832.00,156381592.00
10,wind_houses,1,9,56668067.00,85443857.00,81172142.00,130891277.00
10,wind_houses,2,9,41769104.00,61007890.11,58544399.00,92222189.00
10,wind_houses,3,9,29733431.00,42658743.89,40580612.00,63131983.00
10,wind_houses,4,9,21214402.00,29012474.22,27926526.00,41764522.00
10,wind_houses,5,9,13211119.00,17180143.33,16804603.00,23484532.00
