rank,ship_class_id,economy_level,ship_count,min_total_fe,avg_total_fe,median_total_fe,max_total_fe,avg_discountable_fe,avg_license_fe
6,cruiser,2,23,1000673.00,1075873.52,1074006.00,1155028.00,1075873.52,0.00
6,cruiser,3,23,720431.00,775523.09,773730.00,831587.00,775523.09,0.00
6,cruiser,4,23,489554.00,520320.35,520014.00,562898.00,520320.35,0.00
6,cruiser,5,23,262824.00,281786.04,282470.00,303571.00,281786.04,0.00
6,frigate,0,16,1074176.00,1219054.75,1214104.00,1356584.00,1219054.75,0.00
6,frigate,1,16,938615.00,1051440.38,1051554.50,1170333.00,1051440.38,0.00
6,frigate,2,16,712744.00,779963.06,770828.00,859971.00,779963.06,0.00
6,frigate,3,16,509411.00,559163.25,558687.50,619523.00,559163.25,0.00
6,frigate,4,16,350644.00,384798.50,385502.00,416110.00,384798.50,0.00
6,frigate,5,16,181697.00,200897.94,198548.00,222620.00,200897.94,0.00
7,battleship,0,12,6099336.00,6771307.00,6778508.00,7350528.00,6771307.00,0.00
7,battleship,1,12,5103649.00,5619028.33,5657865.00,6096641.00,5619028.33,0.00
7,battleship,2,12,3701296.00,4054668.83,4095054.50,4387918.00,4054668.83,0.00
7,battleship,3,12,2655905.00,2885691.25,2906754.00,3107301.00,2885691.25,0.00
7,battleship,4,12,1763648.00,1902944.00,1919510.00,2058166.00,1902944.00,0.00
7,battleship,5,12,973289.00,1042974.08,1041420.50,1128498.00,1042974.08,0.00
7,cruiser,0,23,3972728.00,4392302.26,4385952.00,4967120.00,4392302.26,0.00
7,cruiser,1,23,3294077.00,3658571.96,3662912.00,4115759.00,3658571.96,0.00
7,cruiser,2,23,2387967.00,2652019.91,2656427.00,2969351.00,2652019.91,0.00
7,cruiser,3,23,1707678.00,1913306.09,1920147.00,2119356.00,1913306.09,0.00
7,cruiser,4,23,1127404.00,1271795.48,1269130.00,1398568.00,1271795.48,0.00
7,cruiser,5,23,615538.00,707006.22,705414.00,765720.00,707006.22,0.00
7,frigate,0,16,2810856.00,3051717.50,3031988.00,3393944.00,3051717.50,0.00
7,frigate,1,16,2383517.00,2570450.94,2547889.50,2824610.00,2570450.94,0.00
7,frigate,2,16,1748568.00,1874557.56,1857700.50,2028808.00,1874557.56,0.00
7,frigate,3,16,1258563.00,1353937.69,1353652.50,1462286.00,1353937.69,0.00
7,frigate,4,16,843398.00,907183.25,908073.00,967968.00,907183.25,0.00
7,frigate,5,16,462265.00,501983.69,504096.00,542062.00,501983.69,0.00
8,battleship,0,12,22599008.00,24009786.67,24117100.00,25866824.00,24009786.67,0.00
8,battleship,1,12,19236681.00,20792520.00,20947818.00,22537263.00,20792520.00,0.00
8,battleship,2,12,13872713.00,14840653.50,14812866.00,16032472.00,14840653.50,0.00
8,battleship,3,12,9262858.00,9926067.33,9888259.50,10513141.00,9926067.33,0.00
8,battleship,4,12,6162394.00,6518652.50,6545163.00,6964388.00,6518652.50,0.00
8,battleship,5,12,2564636.00,2736288.50,2750460.50,2949260.00,2736288.50,0.00
8,cruiser,0,23,14119824.00,15447837.57,15333736.00,17659552.00,15447837.57,0.00
8,cruiser,1,23,12617627.00,13782201.74,13659690.00,15893472.00,13782201.74,0.00
8,cruiser,2,23,9071722.00,10078151.83,9990305.00,11771766.00,10078151.83,0.00
8,cruiser,3,23,6125414.00,6762090.52,6803190.00,7688466.00,6762090.52,0.00
8,cruiser,4,23,4124526.00,4572759.83,4574920.00,5274102.00,4572759.83,0.00
8,cruiser,5,23,1639441.00,1804436.39,1788151.00,2028098.00,1804436.39,0.00
8,frigate,0,16,10726112.00,11603125.50,11591520.00,12372888.00,11603125.50,0.00
8,frigate,1,16,9542660.00,10450604.69,10462045.00,11236497.00,10450604.69,0.00
8,frigate,2,16,7207678.00,7846038.62,7845207.00,8515069.00,7846038.62,0.00
8,frigate,3,16,4782105.00,5401911.62,5475314.00,5786383.00,5401911.62,0.00
8,frigate,4,16,3362580.00,3772838.38,3800557.00,4074076.00,3772838.38,0.00
8,frigate,5,16,1269420.00,1351909.56,1349752.00,1435697.00,1351909.56,0.00
9,battleship,0,12,55874680.00,59267370.67,59431724.00,63056984.00,59267370.67,0.00
9,battleship,1,12,47724308.00,49968307.83,49790462.50,52950975.00,49968307.83,0.00
9,battleship,2,12,32686071.00,34052043.58,34066817.00,36285953.00,34052043.58,0.00
9,battleship,3,12,21546402.00,22879968.42,22774054.00,24293603.00,22879968.42,0.00
9,battleship,4,12,13367832.00,14121772.00,14029390.00,15054680.00,14121772.00,0.00
9,battleship,5,12,6305353.00,6677385.92,6675318.00,7113294.00,6677385.92,0.00
9,cruiser,0,23,33763112.00,39586411.13,39605872.00,43635136.00,39586411.13,0.00
9,cruiser,1,23,29176162.00,33962565.48,34087811.00,36973082.00,33962565.48,0.00
9,cruiser,2,23,20036423.00,23361805.09,23539719.00,25223037.00,23361805.09,0.00
9,cruiser,3,23,13358835.00,15592565.13,15452849.00,17048949.00,15592565.13,0.00
9,cruiser,4,23,8336802.00,9734729.04,9875646.00,10568586.00,9734729.04,0.00
9,cruiser,5,23,3872361.00,4569424.13,4570443.00,4922853.00,4569424.13,0.00
9,frigate,0,16,26179776.00,27866559.00,27922168.00,29764088.00,27866559.00,0.00
9,frigate,1,16,22909640.00,24446738.31,24797026.00,25956804.00,24446738.31,0.00
9,frigate,2,16,15910808.00,16977233.69,17184062.00,17983332.00,16977233.69,0.00
9,frigate,3,16,10667985.00,11377943.88,11287660.00,11999065.00,11377943.88,0.00
9,frigate,4,16,6654504.00,7205792.88,7204044.00,7548006.00,7205792.88,0.00
9,frigate,5,16,2966791.00,3236278.38,3230939.00,3425632.00,3236278.38,0.00
10,battleship,0,12,137652848.00,145908960.67,144903506.00,156381592.00,140308960.67,5600000.00
10,battleship,1,12,113978725.00,121726730.58,121022955.00,130891277.00,116126730.58,5600000.00
10,battleship,2,12,80196391.00,85692847.58,85109198.50,92222189.00,80092847.58,5600000.00
10,battleship,3,12,55515963.00,59153165.83,58873813.50,63131983.00,53553165.83,5600000.00
10,battleship,4,12,36797684.00,39167841.50,38962927.00,41764522.00,33567841.50,5600000.00
10,battleship,5,12,21149649.00,22214759.42,22052641.50,23492177.00,16614759.42,5600000.00
10,cruiser,0,23,94220848.00,100263884.35,99382200.00,109924544.00,94663884.35,5600000.00
10,cruiser,1,23,79390204.00,84625107.74,83860621.00,92798071.00,79025107.74,5600000.00
10,cruiser,2,23,56478859.00,60130403.70,59746877.00,65385671.00,54530403.70,5600000.00
10,cruiser,3,23,40076782.00,42455409.83,42298723.00,45734462.00,36855409.83,5600000.00
10,cruiser,4,23,27213834.00,28724203.74,28770258.00,30536418.00,23124203.74,5600000.00
10,cruiser,5,23,16107367.00,17039285.87,17090114.00,17856499.00,11439285.87,5600000.00
10,frigate,0,16,66209988.00,71405401.00,70985544.00,79812072.00,65805401.00,5600000.00
10,frigate,1,16,56668067.00,61155894.50,60459445.00,68143570.00,55555894.50,5600000.00
10,frigate,2,16,41195856.00,44059881.06,43552945.00,48918959.00,38459881.06,5600000.00
10,frigate,3,16,29733431.00,31498937.44,31207208.00,34328540.00,25898937.44,5600000.00
10,frigate,4,16,20830266.00,21914317.25,21728270.00,23681480.00,16314317.25,5600000.00
10,frigate,5,16,13121185.00,13605489.62,13505263.00,14503042.00,8005489.62,5600000.00
