difficulty,mission_archetype,primary_activity,stat_id,required_value,weight,hard_gate,notes_ru
elite,elite_hunting,hunting,mobility,35,0.05,no,Stay with the beast.
elite,elite_salvage,salvage,salvage,75,0.45,yes,Elite salvage expects serious dismantling tools.
elite,elite_salvage,salvage,warfare,50,0.20,no,Suppress defenders.
elite,elite_salvage,salvage,defense,45,0.15,no,Work under pressure.
elite,elite_salvage,salvage,cargo,55,0.15,no,Carry rare machine organs.
elite,elite_salvage,salvage,survey,35,0.05,no,Identify valuable assemblies.
elite,elite_relic,relic,survey,75,0.35,yes,Elite relics expect top scanners.
elite,elite_relic,relic,hacking,55,0.30,yes,Open complex locks.
elite,elite_relic,relic,stealth,55,0.15,no,Stay quiet around ruins.
elite,elite_relic,relic,mobility,40,0.10,no,Move between sites.
elite,elite_relic,relic,cargo,35,0.10,no,Carry heavy artifacts.
elite,elite_courier,courier,cargo,75,0.35,yes,Elite courier is high-value freight under route pressure.
elite,elite_courier,courier,mobility,75,0.30,yes,Speed is the real defense.
elite,elite_courier,courier,stealth,65,0.20,no,Avoid interception.
elite,elite_courier,courier,defense,35,0.10,no,Survive a bad intercept.
elite,elite_courier,courier,survey,30,0.05,no,Read elite routes.
elite,elite_repair,repair,repair,80,0.50,yes,Elite repair expects flagship repair output.
elite,elite_repair,repair,defense,60,0.20,no,Stay alive near the client.
elite,elite_repair,repair,mobility,40,0.15,no,Keep repair beams connected.
elite,elite_repair,repair,stealth,35,0.10,no,Do not become the main target.
elite,elite_repair,repair,cargo,25,0.05,no,Carry support stores.
