recipe_id,ship_id,local_name_ru,rank,faction_id,faction_name_ru,ship_class_id,ship_class_name_ru,role_id,role_name_ru,branch_id,craft_layer,producer_building_id,base_time_min_level5_yard1,time_min_level5_yard30,required_license_item_id,required_license_amount,input_ids_level5,input_amounts_level5,target_material_fe_level5,notes_ru
craft_capital_recon_frigate_r03,capital_recon_frigate_r03,Лучник,3,capital,Империя,frigate,Frigate,recon,Recon,recon_frigate,raw_resources,frigate_yard,3.75,2.50,,0,iron;magnesium;quartz;copper;charcoal;calcite;claudium;aerosil,157;62;59;55;109;24;7;42,12817.49,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_recon_frigate_r04,capital_recon_frigate_r04,Искатель,4,capital,Империя,frigate,Frigate,recon,Recon,recon_frigate,prepared_materials,frigate_yard,9.00,6.00,,0,steel;elektron;invar;siloxane;textolite;glass_ceramic;melchior;orkit;resin;brass,129;60;19;26;10;31;17;12;17;26,31869.85,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_recon_frigate_r05,capital_recon_frigate_r05,Визир,5,capital,Империя,frigate,Frigate,recon,Recon,recon_frigate,prepared_materials,frigate_yard,22.50,15.00,,0,steel;elektron;invar;glass_ceramic;melchior;textolite;siloxane;orkit;resin;brass,326;150;52;86;48;28;63;30;42;65,82513.13,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_recon_frigate_r06,capital_recon_frigate_r06,Дозор,6,capital,Империя,frigate,Frigate,recon,Recon,recon_frigate,hull_and_machine_parts,frigate_yard,60.00,40.00,,0,sensor;gyroscope;cowling;plating;bulkhead;beam;calculator;deck_section;engine;actuator;transmission;hatch,5;2;19;19;19;23;1;17;2;2;1;10,201587.44,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_recon_frigate_r07,capital_recon_frigate_r07,Лоцман,7,capital,Империя,frigate,Frigate,recon,Recon,recon_frigate,hull_and_machine_parts,frigate_yard,135.00,90.00,,0,sensor;gyroscope;cowling;plating;bulkhead;calculator;beam;deck_section;engine;actuator;hatch;transmission,11;7;49;48;49;4;58;44;5;6;27;4,526210.08,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_recon_frigate_r08,capital_recon_frigate_r08,Следопыт,8,capital,Империя,frigate,Frigate,recon,Recon,recon_frigate,ship_blocks,frigate_yard,270.00,180.00,,0,instrument_block;propulsion_block;power_block;defense_block;cargo_block;sensor;weapon_block;gyroscope;cowling;hangar_block;bulkhead;calculator;plating;beam,2;2;1;2;1;8;1;4;34;1;34;3;33;39,1325869.02,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_recon_frigate_r09,capital_recon_frigate_r09,Горизонт,9,capital,Империя,frigate,Frigate,recon,Recon,recon_frigate,ship_blocks,frigate_yard,495.00,330.00,,0,instrument_block;propulsion_block;power_block;defense_block;cargo_block;sensor;weapon_block;hangar_block;gyroscope;cowling;calculator;bulkhead;plating;beam,5;5;4;4;3;24;1;1;14;102;9;101;95;115,3371039.67,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_recon_frigate_r10,capital_recon_frigate_r10,Аргус,10,capital,Империя,frigate,Frigate,recon,Recon,recon_frigate,faction_flagship_license,frigate_yard,900.00,600.00,capital_flagship_license,1,instrument_block;propulsion_block;power_block;defense_block;cargo_block;sensor;gyroscope;weapon_block;cowling;hangar_block;calculator;bulkhead;plating;steel;deck_section;beam,11;10;7;8;5;63;37;3;266;1;23;262;246;4549;239;296,7681336.38,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_cargo_frigate_r02,capital_cargo_frigate_r02,Возчик,2,capital,Империя,frigate,Frigate,cargo,Cargo,cargo_frigate,raw_resources,frigate_yard,1.60,1.07,,0,iron;magnesium;calcite;charcoal;copper;claudium;quartz;aerosil,81;25;14;44;13;2;8;12,4748.70,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_cargo_frigate_r03,capital_cargo_frigate_r03,Тягун,3,capital,Империя,frigate,Frigate,cargo,Cargo,cargo_frigate,raw_resources,frigate_yard,3.75,2.50,,0,iron;magnesium;calcite;charcoal;copper;claudium;quartz;aerosil,197;60;36;106;30;5;20;28,11538.64,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_cargo_frigate_r04,capital_cargo_frigate_r04,Купец,4,capital,Империя,frigate,Frigate,cargo,Cargo,cargo_frigate,prepared_materials,frigate_yard,9.00,6.00,,0,steel;elektron;resin;brass;rubber;siloxane;iron;bulat;orkit;invar,169;62;24;38;12;19;90;7;9;8,30061.87,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_cargo_frigate_r05,capital_cargo_frigate_r05,Подкова,5,capital,Империя,frigate,Frigate,cargo,Cargo,cargo_frigate,prepared_materials,frigate_yard,22.50,15.00,,0,steel;elektron;resin;brass;rubber;siloxane;bulat;orkit;invar;bakelite,406;149;58;91;32;46;16;23;20;46,72197.39,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_cargo_frigate_r06,capital_cargo_frigate_r06,Артель,6,capital,Империя,frigate,Frigate,cargo,Cargo,cargo_frigate,hull_and_machine_parts,frigate_yard,60.00,40.00,,0,bulkhead;deck_section;beam;actuator;hatch;plating;airlock;pump;engine;cowling;steel;gyroscope,32;25;29;3;17;18;10;2;2;10;209;1,202257.66,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_cargo_frigate_r07,capital_cargo_frigate_r07,Снабженец,7,capital,Империя,frigate,Frigate,cargo,Cargo,cargo_frigate,hull_and_machine_parts,frigate_yard,135.00,90.00,,0,bulkhead;deck_section;beam;actuator;hatch;plating;pump;airlock;engine;cowling;gyroscope;sensor,80;63;70;9;42;44;7;25;4;26;3;4,504737.75,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_cargo_frigate_r08,capital_cargo_frigate_r08,Пристав,8,capital,Империя,frigate,Frigate,cargo,Cargo,cargo_frigate,ship_blocks,frigate_yard,270.00,180.00,,0,propulsion_block;cargo_block;power_block;defense_block;instrument_block;industry_block;bulkhead;deck_section;actuator;beam;hatch;hangar_block;plating;weapon_block,1;2;1;2;1;1;34;27;3;30;17;1;18;1,1176072.93,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_cargo_frigate_r09,capital_cargo_frigate_r09,Кладовщик,9,capital,Империя,frigate,Frigate,cargo,Cargo,cargo_frigate,ship_blocks,frigate_yard,495.00,330.00,,0,propulsion_block;cargo_block;power_block;defense_block;instrument_block;industry_block;bulkhead;hangar_block;deck_section;actuator;weapon_block;beam;hatch;plating,3;6;3;5;2;2;154;1;120;17;1;133;80;82,3054923.63,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_cargo_frigate_r10,capital_cargo_frigate_r10,Опора,10,capital,Империя,frigate,Frigate,cargo,Cargo,cargo_frigate,faction_flagship_license,frigate_yard,900.00,600.00,capital_flagship_license,1,propulsion_block;cargo_block;power_block;defense_block;instrument_block;industry_block;bulkhead;steel;deck_section;actuator;beam;hangar_block;hatch;pump;plating;weapon_block,8;13;8;11;5;4;460;6521;355;52;393;1;239;43;240;2,8066368.21,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_artillery_cruiser_r02,capital_artillery_cruiser_r02,Барбет,2,capital,Империя,cruiser,Cruiser,artillery,Artillery,artillery_cruiser,raw_resources,cruiser_yard,1.60,1.07,,0,iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel,119;102;33;22;19;6;9;3,6884.16,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_artillery_cruiser_r03,capital_artillery_cruiser_r03,Калибр,3,capital,Империя,cruiser,Cruiser,artillery,Artillery,artillery_cruiser,raw_resources,cruiser_yard,3.75,2.50,,0,iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel,294;260;83;56;46;16;24;8,17183.06,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_artillery_cruiser_r04,capital_artillery_cruiser_r04,Бастион,4,capital,Империя,cruiser,Cruiser,artillery,Artillery,artillery_cruiser,prepared_materials,cruiser_yard,9.00,6.00,,0,steel;bulat;brass;elektron;bakelite;iron;aramid;resin;glass_ceramic;rubber,292;25;60;40;40;126;14;21;27;11,43821.74,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_artillery_cruiser_r05,capital_artillery_cruiser_r05,Громобой,5,capital,Империя,cruiser,Cruiser,artillery,Artillery,artillery_cruiser,prepared_materials,cruiser_yard,22.50,15.00,,0,steel;bulat;brass;elektron;bakelite;glass_ceramic;aramid;resin;rubber;bronze,684;61;141;88;93;73;33;46;27;66,101691.69,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_artillery_cruiser_r06,capital_artillery_cruiser_r06,Держава,6,capital,Империя,cruiser,Cruiser,artillery,Artillery,artillery_cruiser,hull_and_machine_parts,cruiser_yard,60.00,40.00,,0,bulkhead;deck_section;armor_plate;hatch;beam;actuator;plating;gyroscope;steel;calculator;sensor;munition_bundle,42;38;15;26;36;4;23;2;347;1;2;12,280315.68,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_artillery_cruiser_r07,capital_artillery_cruiser_r07,Редут,7,capital,Империя,cruiser,Cruiser,artillery,Artillery,artillery_cruiser,hull_and_machine_parts,cruiser_yard,135.00,90.00,,0,bulkhead;deck_section;armor_plate;hatch;beam;actuator;plating;gyroscope;steel;calculator;sensor;munition_bundle,100;90;37;61;83;9;52;5;616;3;4;29,654425.23,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_artillery_cruiser_r08,capital_artillery_cruiser_r08,Форпост,8,capital,Империя,cruiser,Cruiser,artillery,Artillery,artillery_cruiser,ship_blocks,cruiser_yard,270.00,180.00,,0,defense_block;power_block;weapon_block;propulsion_block;instrument_block;cargo_block;bulkhead;armor_plate;deck_section;hatch;beam;actuator;steel;plating,4;2;2;1;1;2;106;41;96;66;86;10;1041;54,1796062.87,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_artillery_cruiser_r09,capital_artillery_cruiser_r09,Триумф,9,capital,Империя,cruiser,Cruiser,artillery,Artillery,artillery_cruiser,ship_blocks,cruiser_yard,495.00,330.00,,0,defense_block;weapon_block;power_block;propulsion_block;instrument_block;cargo_block;bulkhead;armor_plate;deck_section;hatch;steel;actuator;beam;plating,10;5;5;4;3;4;210;82;195;133;2606;21;168;107,4276272.02,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_artillery_cruiser_r10,capital_artillery_cruiser_r10,Аврора,10,capital,Империя,cruiser,Cruiser,artillery,Artillery,artillery_cruiser,faction_flagship_license,cruiser_yard,900.00,600.00,capital_flagship_license,1,defense_block;weapon_block;power_block;instrument_block;propulsion_block;cargo_block;bulkhead;steel;deck_section;armor_plate;hatch;actuator;beam;plating;gyroscope;bulat,23;12;11;8;8;9;628;11413;587;245;401;65;496;321;37;1080,11503611.61,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_light_recon_cruiser_r02,capital_light_recon_cruiser_r02,Дозорный,2,capital,Империя,cruiser,Cruiser,light_recon,LightRecon,light_recon_cruiser,raw_resources,cruiser_yard,1.60,1.07,,0,iron;magnesium;copper;quartz;calcite;charcoal;ionide;nickel,90;23;28;25;15;59;2;4,6214.60,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_light_recon_cruiser_r03,capital_light_recon_cruiser_r03,Радиант,3,capital,Империя,cruiser,Cruiser,light_recon,LightRecon,light_recon_cruiser,raw_resources,cruiser_yard,3.75,2.50,,0,iron;magnesium;copper;quartz;calcite;charcoal;ionide;nickel,254;69;84;74;43;173;5;11,18144.96,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_light_recon_cruiser_r04,capital_light_recon_cruiser_r04,Просвет,4,capital,Империя,cruiser,Cruiser,light_recon,LightRecon,light_recon_cruiser,prepared_materials,cruiser_yard,9.00,6.00,,0,steel;invar;elektron;glass_ceramic;melchior;textolite;bulat;brass;siloxane;resin,201;24;57;47;25;14;11;39;23;22,41318.28,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_light_recon_cruiser_r05,capital_light_recon_cruiser_r05,Сигнал,5,capital,Империя,cruiser,Cruiser,light_recon,LightRecon,light_recon_cruiser,prepared_materials,cruiser_yard,22.50,15.00,,0,steel;invar;elektron;glass_ceramic;melchior;textolite;bulat;brass;siloxane;resin,525;66;157;130;68;37;31;104;61;55,111600.69,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_light_recon_cruiser_r06,capital_light_recon_cruiser_r06,Вектор,6,capital,Империя,cruiser,Cruiser,light_recon,LightRecon,light_recon_cruiser,hull_and_machine_parts,cruiser_yard,60.00,40.00,,0,sensor;bulkhead;gyroscope;deck_section;calculator;beam;plating;cowling;hatch;actuator;armor_plate;engine,5;30;3;25;2;30;22;19;16;3;7;2,259217.87,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_light_recon_cruiser_r07,capital_light_recon_cruiser_r07,Навигатор,7,capital,Империя,cruiser,Cruiser,light_recon,LightRecon,light_recon_cruiser,hull_and_machine_parts,cruiser_yard,135.00,90.00,,0,sensor;bulkhead;gyroscope;deck_section;calculator;beam;plating;cowling;hatch;armor_plate;actuator;engine,14;79;8;66;5;77;58;52;44;20;7;4,690318.82,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_light_recon_cruiser_r08,capital_light_recon_cruiser_r08,Обсерватор,8,capital,Империя,cruiser,Cruiser,light_recon,LightRecon,light_recon_cruiser,ship_blocks,cruiser_yard,270.00,180.00,,0,instrument_block;propulsion_block;defense_block;power_block;cargo_block;weapon_block;sensor;bulkhead;gyroscope;hangar_block;calculator;deck_section;cowling;plating,2;2;2;2;1;1;13;74;7;1;5;63;49;54,1658883.50,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_light_recon_cruiser_r09,capital_light_recon_cruiser_r09,Меридиан,9,capital,Империя,cruiser,Cruiser,light_recon,LightRecon,light_recon_cruiser,ship_blocks,cruiser_yard,495.00,330.00,,0,instrument_block;propulsion_block;defense_block;power_block;cargo_block;weapon_block;sensor;hangar_block;bulkhead;gyroscope;calculator;deck_section;cowling;plating,7;6;7;5;4;2;32;1;172;18;12;146;117;124,4634163.47,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_light_recon_cruiser_r10,capital_light_recon_cruiser_r10,Фарватер,10,capital,Империя,cruiser,Cruiser,light_recon,LightRecon,light_recon_cruiser,faction_flagship_license,cruiser_yard,900.00,600.00,capital_flagship_license,1,instrument_block;propulsion_block;defense_block;power_block;cargo_block;weapon_block;sensor;bulkhead;steel;gyroscope;calculator;hangar_block;deck_section;cowling;plating;beam,16;13;16;10;9;5;92;483;8084;50;35;2;412;333;344;439,11514788.72,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_bomb_artillery_cruiser_r02,capital_bomb_artillery_cruiser_r02,Гренадер,2,capital,Империя,cruiser,Cruiser,bomb_artillery,BombArtillery,bomb_artillery_cruiser,raw_resources,cruiser_yard,1.60,1.07,,0,iron;charcoal;copper;calcite;magnesium;sylvine;acid;bone_grit,100;109;35;18;17;7;2;9,6439.85,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_bomb_artillery_cruiser_r03,capital_bomb_artillery_cruiser_r03,Фугас,3,capital,Империя,cruiser,Cruiser,bomb_artillery,BombArtillery,bomb_artillery_cruiser,raw_resources,cruiser_yard,3.75,2.50,,0,iron;charcoal;copper;calcite;magnesium;sylvine;acid;bone_grit,251;276;89;47;45;18;4;22,16381.72,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_bomb_artillery_cruiser_r04,capital_bomb_artillery_cruiser_r04,Каскад,4,capital,Империя,cruiser,Cruiser,bomb_artillery,BombArtillery,bomb_artillery_cruiser,prepared_materials,cruiser_yard,9.00,6.00,,0,steel;bulat;brass;aramid;elektron;bakelite;resin;glass_ceramic;iron;rubber,280;28;64;18;37;34;21;28;111;11,43953.87,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_bomb_artillery_cruiser_r05,capital_bomb_artillery_cruiser_r05,Залп,5,capital,Империя,cruiser,Cruiser,bomb_artillery,BombArtillery,bomb_artillery_cruiser,prepared_materials,cruiser_yard,22.50,15.00,,0,steel;bulat;brass;aramid;elektron;resin;bakelite;glass_ceramic;rubber;munition_bundle,721;71;164;47;99;54;87;70;30;5,112419.00,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_bomb_artillery_cruiser_r06,capital_bomb_artillery_cruiser_r06,Обвал,6,capital,Империя,cruiser,Cruiser,bomb_artillery,BombArtillery,bomb_artillery_cruiser,hull_and_machine_parts,cruiser_yard,60.00,40.00,,0,bulkhead;deck_section;armor_plate;actuator;hatch;beam;plating;gyroscope;steel;munition_bundle;calculator;weapon,38;39;16;5;26;35;22;2;342;15;1;10,289522.64,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_bomb_artillery_cruiser_r07,capital_bomb_artillery_cruiser_r07,Шрапнель,7,capital,Империя,cruiser,Cruiser,bomb_artillery,BombArtillery,bomb_artillery_cruiser,hull_and_machine_parts,cruiser_yard,135.00,90.00,,0,bulkhead;deck_section;armor_plate;actuator;hatch;beam;plating;gyroscope;munition_bundle;steel;calculator;weapon,89;91;37;12;59;80;48;6;34;593;3;23,654720.57,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_bomb_artillery_cruiser_r08,capital_bomb_artillery_cruiser_r08,Мортира,8,capital,Империя,cruiser,Cruiser,bomb_artillery,BombArtillery,bomb_artillery_cruiser,ship_blocks,cruiser_yard,270.00,180.00,,0,defense_block;weapon_block;power_block;propulsion_block;instrument_block;cargo_block;bulkhead;deck_section;armor_plate;actuator;hatch;beam;industry_block;steel,3;2;2;1;1;2;90;92;37;12;60;80;1;952,1701219.91,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_bomb_artillery_cruiser_r09,capital_bomb_artillery_cruiser_r09,Бомбард,9,capital,Империя,cruiser,Cruiser,bomb_artillery,BombArtillery,bomb_artillery_cruiser,ship_blocks,cruiser_yard,495.00,330.00,,0,defense_block;weapon_block;power_block;propulsion_block;instrument_block;cargo_block;bulkhead;deck_section;armor_plate;actuator;industry_block;hatch;steel;beam,9;6;5;4;3;4;198;203;83;27;1;132;2620;173,4455845.80,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_bomb_artillery_cruiser_r10,capital_bomb_artillery_cruiser_r10,Вулкан,10,capital,Империя,cruiser,Cruiser,bomb_artillery,BombArtillery,bomb_artillery_cruiser,faction_flagship_license,cruiser_yard,900.00,600.00,capital_flagship_license,1,weapon_block;defense_block;power_block;propulsion_block;instrument_block;cargo_block;steel;bulkhead;deck_section;armor_plate;actuator;hatch;beam;industry_block;gyroscope;bulat,13;20;11;7;6;9;10457;539;553;225;75;361;466;2;35;1084,10821753.22,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_long_range_heavy_cruiser_r02,capital_long_range_heavy_cruiser_r02,Рейнджер,2,capital,Империя,cruiser,Cruiser,long_range_heavy,LongRangeHeavy,long_range_heavy_cruiser,raw_resources,cruiser_yard,1.60,1.07,,0,iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel,119;105;34;22;18;6;10;3,6907.85,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_long_range_heavy_cruiser_r03,capital_long_range_heavy_cruiser_r03,Пеленг,3,capital,Империя,cruiser,Cruiser,long_range_heavy,LongRangeHeavy,long_range_heavy_cruiser,raw_resources,cruiser_yard,3.75,2.50,,0,iron;charcoal;copper;calcite;magnesium;sylvine;bone_grit;nickel,308;277;89;58;47;17;26;9,18087.66,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_long_range_heavy_cruiser_r04,capital_long_range_heavy_cruiser_r04,Рубикон,4,capital,Империя,cruiser,Cruiser,long_range_heavy,LongRangeHeavy,long_range_heavy_cruiser,prepared_materials,cruiser_yard,9.00,6.00,,0,steel;bulat;brass;bakelite;elektron;glass_ceramic;iron;aramid;resin;rubber,328;29;68;45;39;35;141;15;22;12,49122.63,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_long_range_heavy_cruiser_r05,capital_long_range_heavy_cruiser_r05,Дальник,5,capital,Империя,cruiser,Cruiser,long_range_heavy,LongRangeHeavy,long_range_heavy_cruiser,prepared_materials,cruiser_yard,22.50,15.00,,0,steel;bulat;brass;bakelite;glass_ceramic;elektron;aramid;resin;rubber;bronze,772;71;161;104;86;91;37;52;30;74,114624.05,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_long_range_heavy_cruiser_r06,capital_long_range_heavy_cruiser_r06,Зенит,6,capital,Империя,cruiser,Cruiser,long_range_heavy,LongRangeHeavy,long_range_heavy_cruiser,hull_and_machine_parts,cruiser_yard,60.00,40.00,,0,bulkhead;armor_plate;deck_section;hatch;beam;actuator;plating;gyroscope;steel;calculator;munition_bundle;sensor,46;18;42;29;39;4;24;2;385;1;15;2,312153.20,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_long_range_heavy_cruiser_r07,capital_long_range_heavy_cruiser_r07,Канонир,7,capital,Империя,cruiser,Cruiser,long_range_heavy,LongRangeHeavy,long_range_heavy_cruiser,hull_and_machine_parts,cruiser_yard,135.00,90.00,,0,bulkhead;armor_plate;deck_section;hatch;beam;actuator;plating;gyroscope;calculator;steel;sensor;munition_bundle,109;42;100;68;90;10;55;6;3;681;5;34,725146.75,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_long_range_heavy_cruiser_r08,capital_long_range_heavy_cruiser_r08,Магистраль,8,capital,Империя,cruiser,Cruiser,long_range_heavy,LongRangeHeavy,long_range_heavy_cruiser,ship_blocks,cruiser_yard,270.00,180.00,,0,defense_block;power_block;weapon_block;instrument_block;propulsion_block;cargo_block;bulkhead;armor_plate;deck_section;hatch;beam;actuator;steel;plating,5;2;2;1;1;2;114;43;102;70;92;10;1113;57,1894804.38,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
craft_capital_long_range_heavy_cruiser_r09,capital_long_range_heavy_cruiser_r09,Баллиста,9,capital,Империя,cruiser,Cruiser,long_range_heavy,LongRangeHeavy,long_range_heavy_cruiser,ship_blocks,cruiser_yard,495.00,330.00,,0,defense_block;power_block;weapon_block;instrument_block;propulsion_block;cargo_block;bulkhead;armor_plate;deck_section;hatch;steel;beam;actuator;plating,11;5;5;4;4;4;228;88;206;142;2781;178;22;112,4532281.10,"Автосборка по рангу, классу, фракции, роли и характеристикам корабля."
