mission_profile,rank,faction_id,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
danger,5,factory_ark,8,2202154.52,1188779.77,562026.31,820064.10,820064.10,2202154.52,110352.00,441408.00,242774.40,0.11,0.24,0.06,0.12,0.01,0.02,0.11,0.26,0.05,0.11
danger,5,mist_synod,8,2519609.63,1465213.57,588584.81,965512.41,965512.41,2519609.63,116033.50,461574.00,255273.70,0.09,0.20,0.05,0.10,0.01,0.02,0.09,0.20,0.04,0.10
danger,5,stone_vault,7,2341475.46,1757168.32,931796.04,704839.71,704839.71,2341475.46,113707.57,443338.86,250156.66,0.07,0.14,0.05,0.11,0.01,0.01,0.06,0.13,0.05,0.10
danger,5,wind_houses,9,2471865.36,1372790.71,387025.95,1042419.71,1042419.71,2471865.36,112237.56,446052.44,246922.62,0.09,0.21,0.05,0.11,0.01,0.02,0.08,0.17,0.04,0.10
danger,6,capital,11,2827647.49,1533679.91,436350.79,1195648.35,1195648.35,2827647.49,280220.64,1761238.91,728573.65,0.20,0.51,0.10,0.26,0.02,0.04,0.20,0.51,0.09,0.24
danger,6,devourers,8,2680927.72,1823067.77,710427.95,985249.89,985249.89,2680927.72,285080.12,1790690.50,741208.32,0.16,0.41,0.11,0.28,0.01,0.04,0.15,0.38,0.10,0.26
danger,6,factory_ark,8,2538733.42,1358085.88,637650.26,950541.58,950541.58,2538733.42,284801.38,1718101.00,740483.58,0.24,0.62,0.12,0.30,0.02,0.05,0.23,0.59,0.11,0.29
danger,6,mist_synod,8,2682562.01,1529330.05,610651.36,1035955.32,1035955.32,2682562.01,290792.25,1840627.00,756059.85,0.20,0.53,0.11,0.29,0.02,0.04,0.22,0.56,0.11,0.28
danger,6,stone_vault,7,2550784.65,1892974.28,963285.37,793749.64,793749.64,2550784.65,290628.57,1860501.71,755634.29,0.15,0.40,0.12,0.30,0.01,0.03,0.15,0.38,0.12,0.30
danger,6,wind_houses,9,2552263.29,1605404.40,553812.98,999225.16,999225.16,2552263.29,291848.33,1795562.22,758805.67,0.22,0.57,0.12,0.32,0.02,0.05,0.17,0.44,0.12,0.31
danger,7,capital,11,3017215.18,1662874.79,473486.37,1271864.40,1271864.40,3017215.18,714154.45,4495130.91,2285294.25,0.45,1.44,0.24,0.77,0.04,0.12,0.43,1.37,0.22,0.71
danger,7,devourers,8,2887502.62,1963036.76,769127.67,1059187.48,1059187.48,2887502.62,718398.25,4539596.00,2298874.40,0.37,1.18,0.25,0.79,0.03,0.10,0.34,1.10,0.23,0.74
danger,7,factory_ark,8,2746051.29,1463448.22,685215.95,1030417.67,1030417.67,2746051.29,721529.50,4344585.00,2308894.40,0.55,1.75,0.27,0.84,0.05,0.15,0.53,1.71,0.26,0.83
danger,7,mist_synod,8,2890549.82,1723568.01,767374.45,1061587.68,1061587.68,2890549.82,756216.62,4821209.00,2419893.20,0.46,1.46,0.27,0.85,0.04,0.12,0.46,1.47,0.26,0.81
danger,7,stone_vault,7,2537586.76,1791257.85,828448.59,854569.08,854569.08,2537586.76,709531.29,4594896.57,2270500.11,0.43,1.38,0.28,0.91,0.04,0.12,0.36,1.15,0.29,0.92
danger,7,wind_houses,9,2819330.47,1800848.60,607198.28,1106066.09,1106066.09,2819330.47,712999.78,4428031.11,2281599.29,0.41,1.31,0.25,0.81,0.03,0.11,0.38,1.21,0.23,0.72
danger,8,capital,11,3138191.12,1734425.98,499112.28,1319539.42,1319539.42,3138191.12,1869585.73,16222173.09,7104425.76,1.13,4.28,0.60,2.27,0.07,0.28,1.09,4.13,0.56,2.14
danger,8,devourers,8,2939635.03,1986902.31,776389.84,1081622.60,1081622.60,2939635.03,1833741.25,15860469.00,6968216.75,0.92,3.51,0.62,2.37,0.06,0.23,0.85,3.24,0.59,2.25
danger,8,factory_ark,8,2929717.06,1581515.75,743118.09,1093299.49,1093299.49,2929717.06,1884563.62,16047650.00,7161341.78,1.35,5.12,0.65,2.46,0.09,0.34,1.36,5.19,0.66,2.49
danger,8,mist_synod,8,2893330.04,1820669.95,799248.12,1047040.96,1047040.96,2893330.04,1883293.00,16381906.00,7156513.40,1.08,4.09,0.66,2.51,0.07,0.28,0.98,3.70,0.63,2.39
danger,8,stone_vault,7,2769997.11,2051327.78,1035530.25,867233.42,867233.42,2769997.11,1934344.86,16871904.00,7350510.46,0.93,3.52,0.70,2.66,0.06,0.23,0.88,3.34,0.74,2.80
danger,8,wind_houses,9,2918948.51,1671933.30,601728.07,1158610.22,1158610.22,2918948.51,1894379.11,16244475.56,7198640.62,1.24,4.73,0.66,2.51,0.08,0.32,1.00,3.80,0.65,2.46
danger,9,capital,11,3325299.97,1836518.66,522536.48,1401381.74,1401381.74,3325299.97,4673490.55,40767622.55,20563358.40,2.64,11.62,1.41,6.19,0.17,0.78,2.61,11.49,1.31,5.79
danger,9,devourers,8,2983209.70,2141289.90,932498.31,1025355.69,1025355.69,2983209.70,4551410.88,39875218.00,20026207.85,2.09,9.19,1.53,6.75,0.14,0.61,2.03,8.93,1.46,6.45
danger,9,factory_ark,8,3014317.65,1616692.37,755392.00,1129462.82,1129462.82,3014317.65,4577891.12,39297473.00,20142720.95,3.15,13.85,1.52,6.69,0.21,0.92,3.11,13.66,1.44,6.33
danger,9,mist_synod,8,3084778.04,1937494.52,846984.98,1118896.53,1118896.53,3084778.04,4771183.25,41960103.00,20993206.30,2.54,11.19,1.57,6.90,0.17,0.75,2.36,10.39,1.47,6.46
danger,9,stone_vault,7,2800430.16,1951448.74,881293.80,959568.18,959568.18,2800430.16,4634637.57,40780510.86,20392405.31,2.48,10.92,1.68,7.36,0.17,0.73,2.12,9.32,1.73,7.59
danger,9,wind_houses,9,3135966.08,1849939.85,651439.73,1242263.17,1242263.17,3135966.08,4661233.22,40510119.11,20509426.18,2.66,11.73,1.49,6.57,0.18,0.78,2.32,10.19,1.33,5.85
danger,10,capital,11,3353221.12,1924278.54,548125.37,1402547.88,1402547.88,3353221.12,17121702.09,101423322.55,85608510.45,9.39,46.93,5.13,25.66,0.63,3.13,8.78,43.88,4.88,24.38
danger,10,devourers,8,3057834.78,2189482.77,943231.02,1057301.88,1057301.88,3057834.78,17186036.00,102401109.50,85930180.00,7.81,39.05,5.75,28.76,0.52,2.60,7.58,37.92,5.63,28.19
danger,10,factory_ark,8,3080325.01,1667123.99,787402.36,1146461.32,1146461.32,3080325.01,17196839.88,100763130.00,85984199.38,11.79,58.93,5.61,28.06,0.79,3.93,11.10,55.47,5.51,27.55
danger,10,mist_synod,8,3079655.38,1917693.21,831887.61,1123883.89,1123883.89,3079655.38,17241690.00,103289485.50,86208450.00,9.35,46.73,5.75,28.73,0.62,3.12,8.34,41.73,5.23,26.14
danger,10,stone_vault,7,2868168.98,1995814.89,912353.68,977907.65,977907.65,2868168.98,17173140.29,102940647.43,85865701.43,9.02,45.11,6.08,30.38,0.60,3.01,8.03,40.16,6.08,30.41
danger,10,wind_houses,9,3240342.60,1921708.41,685437.36,1277452.62,1277452.62,3240342.60,17180143.33,101288044.89,85900716.67,9.54,47.72,5.33,26.67,0.64,3.18,8.29,41.43,5.02,25.09
elite,2,capital,11,690858.80,345336.42,70230.56,310314.12,310314.12,690858.80,6987.27,13974.55,9083.45,0.06,0.08,0.03,0.04,0.00,0.01,0.02,0.03,0.01,0.01
elite,2,devourers,8,354762.40,200042.14,58175.96,148293.22,148293.22,354762.40,6951.25,13902.50,9036.62,0.10,0.13,0.04,0.06,0.01,0.01,0.06,0.08,0.03,0.04
elite,2,factory_ark,8,467428.05,272402.71,74838.78,196294.64,196294.64,467428.05,6735.00,13470.00,8755.50,0.07,0.10,0.03,0.04,0.01,0.01,0.04,0.06,0.03,0.03
elite,2,mist_synod,8,578006.85,294557.94,60349.43,258828.71,258828.71,578006.85,6982.50,13965.00,9077.25,0.06,0.09,0.03,0.04,0.01,0.01,0.04,0.04,0.01,0.02
elite,2,stone_vault,7,367284.98,246975.44,98098.85,134593.06,134593.06,367284.98,7038.57,14077.14,9150.14,0.11,0.15,0.05,0.07,0.01,0.01,0.10,0.12,0.04,0.05
elite,2,wind_houses,9,601985.56,288998.75,57830.73,272077.42,272077.42,601985.56,7088.89,14177.78,9215.56,0.08,0.10,0.04,0.04,0.01,0.01,0.03,0.04,0.01,0.02
elite,3,capital,11,1145427.33,606223.76,125950.26,509738.54,509738.54,1145427.33,17528.18,35056.36,26292.27,0.13,0.20,0.06,0.09,0.01,0.02,0.03,0.05,0.01,0.02
elite,3,devourers,8,946374.54,592594.74,231751.78,357311.38,357311.38,946374.54,17876.25,35752.50,26814.38,0.04,0.06,0.02,0.03,0.00,0.01,0.04,0.07,0.02,0.03
elite,3,factory_ark,8,940419.34,569443.94,187190.45,376614.45,376614.45,940419.34,18193.75,36387.50,27290.62,0.10,0.15,0.05,0.07,0.01,0.02,0.05,0.07,0.02,0.04
elite,3,mist_synod,8,1062487.22,605101.21,198731.80,431877.71,431877.71,1062487.22,18485.00,36970.00,27727.50,0.09,0.14,0.04,0.06,0.01,0.02,0.04,0.07,0.02,0.03
elite,3,stone_vault,7,818319.35,575293.83,260975.44,278671.96,278671.96,818319.35,18297.14,36594.29,27445.71,0.16,0.24,0.07,0.11,0.01,0.02,0.03,0.05,0.02,0.03
elite,3,wind_houses,9,947297.80,453342.93,90599.22,428349.29,428349.29,947297.80,18258.89,36517.78,27388.33,0.13,0.20,0.05,0.08,0.01,0.02,0.03,0.05,0.01,0.02
elite,4,capital,11,1810332.61,1040822.83,312418.73,748956.94,748956.94,1810332.61,45248.64,175761.82,81447.55,0.05,0.09,0.03,0.05,0.01,0.01,0.05,0.10,0.02,0.04
elite,4,devourers,8,1429318.86,949872.13,376621.78,526348.54,526348.54,1429318.86,45330.88,175363.50,81595.57,0.08,0.15,0.04,0.08,0.01,0.02,0.04,0.08,0.03,0.06
elite,4,factory_ark,8,1527733.09,895649.04,423245.19,552243.95,552243.95,1527733.09,45784.00,182226.00,82411.20,0.17,0.32,0.12,0.21,0.02,0.03,0.05,0.10,0.03,0.06
elite,4,mist_synod,8,1782748.53,1121525.93,470598.66,656074.93,656074.93,1782748.53,45976.62,180761.50,82757.93,0.06,0.10,0.03,0.05,0.01,0.01,0.05,0.10,0.03,0.05
elite,4,stone_vault,7,1628872.80,1197594.54,613252.05,507810.38,507810.38,1628872.80,45820.14,175160.57,82476.26,0.06,0.11,0.04,0.07,0.00,0.01,0.04,0.06,0.03,0.05
elite,4,wind_houses,9,1515282.57,849061.79,244027.58,635627.49,635627.49,1515282.57,45040.00,177155.56,81072.00,0.29,0.52,0.13,0.23,0.03,0.05,0.06,0.11,0.03,0.05
elite,5,capital,11,2384525.07,1341431.42,413549.39,985487.84,985487.84,2384525.07,112289.73,443937.09,247037.40,0.10,0.23,0.05,0.11,0.01,0.02,0.10,0.21,0.04,0.10
elite,5,devourers,8,2054759.04,1432013.28,597054.80,728852.12,728852.12,2054759.04,111834.62,437468.50,246036.17,0.09,0.21,0.06,0.13,0.01,0.02,0.08,0.17,0.06,0.12
elite,5,factory_ark,8,1969838.81,1067963.07,538612.76,715613.03,715613.03,1969838.81,110352.00,441408.00,242774.40,0.16,0.36,0.09,0.19,0.01,0.03,0.15,0.34,0.06,0.13
elite,5,mist_synod,8,2425045.37,1476384.01,630144.90,897450.24,897450.24,2425045.37,116033.50,461574.00,255273.70,0.10,0.23,0.05,0.11,0.01,0.02,0.10,0.22,0.05,0.11
elite,5,stone_vault,7,2243312.36,1698064.68,928200.91,657555.73,657555.73,2243312.36,113707.57,443338.86,250156.66,0.07,0.16,0.05,0.12,0.01,0.01,0.07,0.15,0.05,0.10
elite,5,wind_houses,9,1999965.56,1144839.22,332842.48,833561.54,833561.54,1999965.56,112237.56,446052.44,246922.62,0.39,0.87,0.18,0.39,0.03,0.07,0.09,0.21,0.05,0.12
elite,6,capital,11,2771496.63,1549394.76,462606.35,1154445.14,1154445.14,2771496.63,280220.64,1761238.91,728573.65,0.22,0.57,0.11,0.28,0.02,0.05,0.21,0.54,0.09,0.25
elite,6,devourers,8,2697487.02,1863986.74,748223.68,974631.67,974631.67,2697487.02,285080.12,1790690.50,741208.32,0.17,0.44,0.11,0.29,0.01,0.04,0.16,0.41,0.11,0.27
elite,6,factory_ark,8,2470263.99,1336082.67,652202.27,909030.86,909030.86,2470263.99,284801.38,1718101.00,740483.58,0.28,0.72,0.14,0.35,0.02,0.06,0.29,0.73,0.12,0.31
elite,6,mist_synod,8,2708668.10,1596680.19,683018.47,1012824.82,1012824.82,2708668.10,290792.25,1840627.00,756059.85,0.22,0.57,0.11,0.29,0.02,0.05,0.20,0.53,0.12,0.31
elite,6,stone_vault,7,2607944.69,1960566.97,1046182.01,780881.34,780881.34,2607944.69,290628.57,1860501.71,755634.29,0.15,0.40,0.11,0.29,0.01,0.03,0.14,0.36,0.11,0.28
elite,6,wind_houses,9,2448739.57,1589615.08,577773.22,935483.17,935483.17,2448739.57,291848.33,1795562.22,758805.67,0.96,2.50,0.44,1.14,0.08,0.21,0.17,0.44,0.11,0.28
elite,7,capital,11,3172038.08,1777616.43,523166.38,1324435.85,1324435.85,3172038.08,714154.45,4495130.91,2285294.25,0.44,1.42,0.23,0.74,0.04,0.12,0.40,1.27,0.22,0.71
elite,7,devourers,8,3055485.98,2101170.71,830760.38,1112362.80,1112362.80,3055485.98,718398.25,4539596.00,2298874.40,0.37,1.18,0.24,0.78,0.03,0.10,0.34,1.10,0.23,0.74
elite,7,factory_ark,8,2883634.03,1544498.55,727659.49,1077987.27,1077987.27,2883634.03,721529.50,4344585.00,2308894.40,0.57,1.82,0.28,0.90,0.05,0.15,0.61,1.94,0.23,0.76
elite,7,mist_synod,8,3113697.55,1881661.26,848219.81,1132738.87,1132738.87,3113697.55,756216.62,4821209.00,2419893.20,0.45,1.43,0.26,0.82,0.04,0.12,0.41,1.30,0.26,0.81
elite,7,stone_vault,7,2636476.03,1912265.75,943593.17,846441.43,846441.43,2636476.03,709531.29,4594896.57,2270500.11,0.48,1.55,0.30,0.96,0.04,0.13,0.38,1.22,0.26,0.83
elite,7,wind_houses,9,2931595.91,1905591.28,674498.47,1128548.71,1128548.71,2931595.91,712999.78,4428031.11,2281599.29,0.41,1.30,0.24,0.79,0.03,0.11,0.38,1.21,0.24,0.78
elite,8,capital,11,3425762.39,1919257.06,566704.19,1429529.10,1429529.10,3425762.39,1869585.73,16222173.09,7104425.76,1.07,4.06,0.56,2.12,0.07,0.27,1.00,3.80,0.51,1.95
elite,8,devourers,8,3222699.98,2209388.50,873729.39,1174485.30,1174485.30,3222699.98,1833741.25,15860469.00,6968216.75,0.88,3.35,0.58,2.20,0.06,0.22,0.79,3.00,0.56,2.13
elite,8,factory_ark,8,3157521.23,1705730.06,800909.81,1178305.71,1178305.71,3157521.23,1884563.62,16047650.00,7161341.78,1.36,5.18,0.66,2.51,0.09,0.35,1.27,4.82,0.57,2.18
elite,8,mist_synod,8,3219790.29,2032894.00,895778.27,1162006.01,1162006.01,3219790.29,1883293.00,16381906.00,7156513.40,1.01,3.83,0.61,2.32,0.07,0.25,0.91,3.44,0.58,2.23
elite,8,stone_vault,7,3097863.13,2312013.92,1201656.54,948103.29,948103.29,3097863.13,1934344.86,16871904.00,7350510.46,0.83,3.15,0.62,2.37,0.06,0.21,0.75,2.86,0.61,2.34
elite,8,wind_houses,9,3162482.43,1835699.49,687513.19,1237484.62,1237484.62,3162482.43,1894379.11,16244475.56,7198640.62,1.20,4.57,0.63,2.38,0.08,0.30,1.00,3.80,0.62,2.35
elite,9,capital,11,3680291.14,2056660.40,597835.14,1541228.00,1541228.00,3680291.14,4673490.55,40767622.55,20563358.40,2.45,10.79,1.29,5.67,0.16,0.72,2.39,10.51,1.15,5.05
elite,9,devourers,8,3504222.75,2508608.36,1079264.17,1212479.29,1212479.29,3504222.75,4551410.88,39875218.00,20026207.85,1.78,7.86,1.32,5.79,0.12,0.53,1.69,7.44,1.35,5.92
elite,9,factory_ark,8,3278487.87,1764321.13,826557.04,1225965.41,1225965.41,3278487.87,4577891.12,39297473.00,20142720.95,3.05,13.43,1.48,6.49,0.20,0.90,2.87,12.62,1.36,5.98
elite,9,mist_synod,8,3486017.87,2200115.73,965091.84,1260463.01,1260463.01,3486017.87,4771183.25,41960103.00,20993206.30,2.30,10.13,1.41,6.18,0.15,0.68,2.06,9.04,1.39,6.09
elite,9,stone_vault,7,3108986.21,2209713.29,1030530.53,1039227.84,1039227.84,3108986.21,4634637.57,40780510.86,20392405.31,2.45,10.80,1.57,6.92,0.16,0.72,1.86,8.19,1.48,6.51
elite,9,wind_houses,9,3515986.38,2090257.35,755059.65,1380463.36,1380463.36,3515986.38,4661233.22,40510119.11,20509426.18,2.42,10.66,1.34,5.91,0.16,0.71,2.02,8.87,1.24,5.46
elite,10,capital,11,3883510.26,2280143.09,693789.98,1594860.14,1594860.14,3883510.26,17121702.09,101423322.55,85608510.45,8.41,42.08,4.48,22.41,0.56,2.81,6.68,33.42,4.19,20.93
elite,10,devourers,8,3840348.38,2767053.08,1225036.53,1307655.93,1307655.93,3840348.38,17186036.00,102401109.50,85930180.00,6.18,30.91,4.53,22.63,0.41,2.06,6.13,30.66,4.73,23.68
elite,10,factory_ark,8,3533686.47,1942092.07,943606.07,1295040.20,1295040.20,3533686.47,17196839.88,100763130.00,85984199.38,10.86,54.27,5.12,25.62,0.72,3.62,10.38,51.88,4.81,24.06
elite,10,mist_synod,8,3775136.46,2418707.09,1119489.03,1327823.71,1327823.71,3775136.46,17241690.00,103289485.50,86208450.00,7.84,39.19,4.64,23.21,0.53,2.61,6.40,32.03,4.79,23.95
elite,10,stone_vault,7,3462438.53,2485044.33,1218810.61,1121813.96,1121813.96,3462438.53,17173140.29,102940647.43,85865701.43,8.18,40.91,5.20,25.98,0.55,2.73,6.03,30.14,5.00,25.00
elite,10,wind_houses,9,3818598.07,2309411.03,876547.18,1471025.45,1471025.45,3818598.07,17180143.33,101288044.89,85900716.67,8.37,41.86,4.57,22.84,0.56,2.79,6.47,32.36,4.64,23.20
normal,2,capital,11,1494494.44,710716.11,141662.96,676415.74,676415.74,1494494.44,6987.27,13974.55,9083.45,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.01
normal,2,devourers,8,1210102.47,620371.83,171851.45,519125.51,519125.51,1210102.47,6951.25,13902.50,9036.62,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
normal,2,factory_ark,8,1270950.43,694138.09,196377.02,537286.70,537286.70,1270950.43,6735.00,13470.00,8755.50,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
normal,2,mist_synod,8,1450888.56,673286.35,132814.11,659037.22,659037.22,1450888.56,6982.50,13965.00,9077.25,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
normal,2,stone_vault,7,1029033.71,611126.09,206661.73,411185.99,411185.99,1029033.71,7038.57,14077.14,9150.14,0.02,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
normal,2,wind_houses,9,1398325.84,642630.29,126232.96,636046.44,636046.44,1398325.84,7088.89,14177.78,9215.56,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
normal,3,capital,11,1604874.52,793994.79,160822.70,722025.91,722025.91,1604874.52,17528.18,35056.36,26292.27,0.03,0.04,0.01,0.02,0.00,0.00,0.02,0.03,0.01,0.01
normal,3,devourers,8,1499846.45,881924.95,313466.30,593190.07,593190.07,1499846.45,17876.25,35752.50,26814.38,0.02,0.03,0.01,0.02,0.00,0.00,0.02,0.03,0.01,0.02
normal,3,factory_ark,8,1504989.05,814460.68,234745.75,635121.65,635121.65,1504989.05,18193.75,36387.50,27290.62,0.02,0.04,0.01,0.02,0.00,0.00,0.02,0.04,0.01,0.02
normal,3,mist_synod,8,1631378.28,822858.07,238891.81,696243.23,696243.23,1631378.28,18485.00,36970.00,27727.50,0.02,0.03,0.01,0.01,0.00,0.00,0.02,0.03,0.01,0.01
normal,3,stone_vault,7,1298055.01,826099.22,336611.49,480721.76,480721.76,1298055.01,18297.14,36594.29,27445.71,0.03,0.04,0.01,0.02,0.00,0.00,0.02,0.03,0.01,0.02
normal,3,wind_houses,9,1599719.54,731987.37,143510.35,728104.59,728104.59,1599719.54,18258.89,36517.78,27388.33,0.03,0.04,0.01,0.02,0.00,0.00,0.03,0.04,0.01,0.02
normal,4,capital,11,1753218.98,954726.78,256601.77,748308.60,748308.60,1753218.98,45248.64,175761.82,81447.55,0.05,0.09,0.02,0.05,0.01,0.01,0.05,0.09,0.02,0.04
normal,4,devourers,8,1599521.52,976855.13,336832.42,631344.55,631344.55,1599521.52,45330.88,175363.50,81595.57,0.05,0.09,0.03,0.05,0.00,0.01,0.04,0.08,0.03,0.05
normal,4,factory_ark,8,1542899.67,915321.07,385022.24,578938.71,578938.71,1542899.67,45784.00,182226.00,82411.20,0.05,0.10,0.03,0.05,0.01,0.01,0.05,0.09,0.03,0.05
normal,4,mist_synod,8,1631984.91,941125.68,346084.02,642950.45,642950.45,1631984.91,45976.62,180761.50,82757.93,0.05,0.09,0.03,0.05,0.01,0.01,0.05,0.10,0.03,0.04
normal,4,stone_vault,7,1534882.07,1067049.61,480693.80,527094.14,527094.14,1534882.07,45820.14,175160.57,82476.26,0.04,0.08,0.03,0.05,0.00,0.01,0.04,0.07,0.03,0.05
normal,4,wind_houses,9,1635800.82,858505.29,236334.57,699733.12,699733.12,1635800.82,45040.00,177155.56,81072.00,0.06,0.10,0.03,0.05,0.01,0.01,0.05,0.10,0.02,0.04
normal,5,capital,11,1852446.06,983750.22,275555.05,788445.50,788445.50,1852446.06,112289.73,443937.09,247037.40,0.12,0.26,0.06,0.13,0.01,0.02,0.11,0.25,0.06,0.12
normal,5,devourers,8,1706626.65,1147288.56,446604.63,630011.01,630011.01,1706626.65,111834.62,437468.50,246036.17,0.09,0.21,0.07,0.14,0.01,0.02,0.09,0.21,0.06,0.14
normal,5,factory_ark,8,1651622.42,875421.19,407580.92,622020.75,622020.75,1651622.42,110352.00,441408.00,242774.40,0.14,0.30,0.07,0.15,0.01,0.03,0.12,0.27,0.07,0.14
normal,5,mist_synod,8,1768959.89,993542.18,380879.22,694040.34,694040.34,1768959.89,116033.50,461574.00,255273.70,0.12,0.27,0.07,0.15,0.01,0.02,0.11,0.26,0.06,0.13
normal,5,stone_vault,7,1592870.15,1179551.43,595348.17,498760.99,498760.99,1592870.15,113707.57,443338.86,250156.66,0.10,0.21,0.07,0.16,0.01,0.02,0.09,0.20,0.07,0.16
normal,5,wind_houses,9,1744977.98,956421.01,260887.50,742045.24,742045.24,1744977.98,112237.56,446052.44,246922.62,0.12,0.27,0.06,0.14,0.01,0.02,0.13,0.28,0.06,0.13
