mission_profile,rank,ship_class_id,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
danger,8,frigate,16,2392172.85,1312639.38,482134.98,955018.94,955018.94,2392172.85,1351909.56,11603125.50,5137256.34,1.12,4.27,0.58,2.20,0.07,0.29,1.02,3.89,0.61,2.33
danger,9,battleship,12,3430910.16,2353657.72,1093718.50,1168595.83,1168595.83,3430910.16,6677385.92,59267370.67,29380498.03,2.94,12.96,2.00,8.80,0.20,0.86,2.79,12.30,1.98,8.70
danger,9,cruiser,23,3241518.30,1935506.89,714669.91,1263424.19,1263424.19,3241518.30,4569424.13,39586411.13,20105466.17,2.55,11.21,1.44,6.33,0.17,0.75,2.13,9.37,1.32,5.82
danger,9,frigate,16,2583600.36,1457160.52,531055.49,1026272.43,1026272.43,2583600.36,3236278.38,27866559.00,14239624.85,2.42,10.65,1.28,5.64,0.16,0.71,2.09,9.19,1.26,5.55
danger,10,battleship,12,3438107.10,2365489.50,1110937.54,1163584.78,1163584.78,3438107.10,22214759.42,145908960.67,111073797.08,9.74,48.68,6.62,33.09,0.65,3.25,9.12,45.62,6.49,32.46
danger,10,cruiser,23,3288368.53,2003034.19,741107.79,1273630.37,1273630.37,3288368.53,17039285.87,100263884.35,85196429.35,9.21,46.06,5.29,26.46,0.61,3.07,7.77,38.86,4.88,24.38
danger,10,frigate,16,2686153.65,1510742.70,544264.32,1070944.67,1070944.67,2686153.65,13605489.62,71405401.00,68027448.12,9.70,48.48,5.17,25.85,0.65,3.23,8.76,43.76,4.95,24.71
elite,2,battleship,12,902102.88,582946.07,175378.83,363362.03,363362.03,902102.88,10007.50,20015.00,13009.75,0.04,0.06,0.02,0.03,0.00,0.01,0.01,0.02,0.01,0.01
elite,2,cruiser,23,552589.64,255616.26,50354.16,251117.74,251117.74,552589.64,6835.22,13670.43,8885.78,0.06,0.08,0.03,0.04,0.00,0.01,0.03,0.04,0.01,0.02
elite,2,frigate,16,203443.36,86875.81,16495.41,93473.97,93473.97,203443.36,4873.75,9747.50,6335.88,0.13,0.17,0.06,0.07,0.01,0.01,0.17,0.23,0.07,0.10
elite,3,battleship,12,1787416.83,1215151.65,449358.57,669029.13,669029.13,1787416.83,26606.67,53213.33,39910.00,0.08,0.13,0.04,0.06,0.01,0.01,0.02,0.03,0.01,0.03
elite,3,cruiser,23,976786.95,501792.92,132481.73,422152.61,422152.61,976786.95,17382.61,34765.22,26073.91,0.06,0.09,0.03,0.04,0.00,0.01,0.03,0.05,0.02,0.03
elite,3,frigate,16,408297.71,174354.16,33105.22,187596.25,187596.25,408297.71,12661.25,25322.50,18991.88,0.20,0.30,0.09,0.13,0.02,0.03,0.09,0.12,0.04,0.05
elite,4,battleship,12,2623135.32,1871661.18,820440.29,901347.52,901347.52,2623135.32,66865.33,258178.00,120357.60,0.04,0.07,0.03,0.05,0.00,0.01,0.04,0.06,0.03,0.04
elite,4,cruiser,23,1744318.86,1024805.61,400508.49,671905.19,671905.19,1744318.86,43961.74,172205.22,79131.13,0.06,0.10,0.03,0.05,0.01,0.01,0.04,0.08,0.03,0.05
elite,4,frigate,16,704672.35,323730.16,64522.80,320074.77,320074.77,704672.35,31691.50,125116.00,57044.70,0.27,0.49,0.14,0.25,0.03,0.05,0.09,0.17,0.04,0.08
elite,5,battleship,12,3245574.74,2333142.94,1058218.59,1093678.07,1093678.07,3245574.74,165125.42,648648.33,363275.92,0.07,0.16,0.05,0.11,0.01,0.01,0.07,0.16,0.06,0.12
elite,5,cruiser,23,2401426.72,1387994.63,547382.11,927022.30,927022.30,2401426.72,109677.48,434323.83,241290.45,0.09,0.20,0.05,0.10,0.01,0.02,0.08,0.18,0.04,0.10
elite,5,frigate,16,1084380.41,552190.16,180007.49,452186.46,452186.46,1084380.41,77684.50,309470.50,170905.90,0.32,0.70,0.15,0.33,0.03,0.06,0.17,0.36,0.07,0.16
elite,6,battleship,12,3624320.09,2606497.44,1185249.27,1219535.41,1219535.41,3624320.09,411117.17,2646739.33,1068904.63,0.16,0.41,0.12,0.30,0.01,0.03,0.16,0.41,0.12,0.31
elite,6,cruiser,23,2939397.29,1755823.96,698284.26,1120556.51,1120556.51,2939397.29,281786.04,1742904.35,732643.71,0.18,0.46,0.10,0.25,0.01,0.04,0.15,0.38,0.09,0.25
elite,6,frigate,16,1418381.63,736620.21,249745.57,584318.03,584318.03,1418381.63,200897.94,1219054.75,522334.64,0.72,1.87,0.33,0.85,0.06,0.15,0.32,0.82,0.14,0.36
elite,7,battleship,12,3852703.08,2767561.79,1252618.50,1300042.29,1300042.29,3852703.08,1042974.08,6771307.00,3337517.07,0.38,1.21,0.28,0.89,0.03,0.10,0.38,1.22,0.28,0.90
elite,7,cruiser,23,3334090.88,1971497.09,767254.92,1283417.98,1283417.98,3334090.88,707006.22,4392302.26,2262419.90,0.39,1.25,0.21,0.69,0.03,0.10,0.32,1.04,0.22,0.70
elite,7,frigate,16,1827382.97,984589.51,312831.30,757275.84,757275.84,1827382.97,501983.69,3051717.50,1606347.80,0.59,1.89,0.30,0.96,0.05,0.16,0.54,1.70,0.28,0.89
elite,8,battleship,12,4035196.73,2778260.94,1310337.64,1362429.54,1362429.54,4035196.73,2736288.50,24009786.67,10397896.30,1.03,3.89,0.70,2.64,0.07,0.26,0.98,3.72,0.72,2.71
elite,8,cruiser,23,3582837.21,2144119.40,810163.30,1386336.96,1386336.96,3582837.21,1804436.39,15447837.57,6856858.29,0.91,3.46,0.51,1.95,0.06,0.23,0.76,2.90,0.49,1.87
elite,8,frigate,16,2112702.85,1171715.23,439905.81,836398.52,836398.52,2112702.85,1351909.56,11603125.50,5137256.34,1.32,5.02,0.68,2.57,0.09,0.33,1.21,4.57,0.66,2.50
elite,9,battleship,12,4105965.67,2817306.87,1311318.70,1397323.48,1397323.48,4105965.67,6677385.92,59267370.67,29380498.03,2.46,10.82,1.67,7.35,0.17,0.72,2.33,10.24,1.66,7.30
elite,9,cruiser,23,3819443.43,2286796.79,850489.79,1484476.82,1484476.82,3819443.43,4569424.13,39586411.13,20105466.17,2.17,9.54,1.22,5.38,0.14,0.64,1.77,7.81,1.11,4.90
elite,9,frigate,16,2432564.02,1392745.42,515978.24,958292.89,958292.89,2432564.02,3236278.38,27866559.00,14239624.85,2.73,12.02,1.42,6.24,0.18,0.80,2.19,9.64,1.36,5.99
elite,10,battleship,12,4598350.78,3226312.69,1607784.97,1495282.91,1495282.91,4598350.78,22214759.42,145908960.67,111073797.08,7.29,36.44,4.84,24.19,0.49,2.43,6.63,33.17,5.00,25.00
elite,10,cruiser,23,3993126.19,2453944.72,936008.28,1528558.96,1528558.96,3993126.19,17039285.87,100263884.35,85196429.35,7.58,37.91,4.31,21.55,0.51,2.53,6.25,31.23,4.06,20.31
elite,10,frigate,16,2718395.25,1570495.05,595983.23,1061206.01,1061206.01,2718395.25,13605489.62,71405401.00,68027448.12,10.15,50.73,5.24,26.22,0.68,3.38,8.41,42.03,5.00,25.00
normal,2,battleship,12,1573736.11,993743.56,325414.88,624160.62,624160.62,1573736.11,10007.50,20015.00,13009.75,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01
normal,2,cruiser,23,1458209.74,666985.60,130744.70,663732.52,663732.52,1458209.74,6835.22,13670.43,8885.78,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.01
normal,2,frigate,16,953717.60,407263.19,77328.45,438194.57,438194.57,953717.60,4873.75,9747.50,6335.88,0.01,0.02,0.01,0.01,0.00,0.00,0.01,0.02,0.01,0.01
normal,3,battleship,12,1783665.34,1179074.94,445805.36,668929.99,668929.99,1783665.34,26606.67,53213.33,39910.00,0.02,0.04,0.01,0.02,0.00,0.00,0.02,0.03,0.01,0.02
normal,3,cruiser,23,1641562.86,824666.88,209482.42,716040.22,716040.22,1641562.86,17382.61,34765.22,26073.91,0.02,0.03,0.01,0.02,0.00,0.00,0.02,0.03,0.01,0.01
normal,3,frigate,16,1191703.82,508889.74,96624.63,547539.59,547539.59,1191703.82,12661.25,25322.50,18991.88,0.02,0.04,0.01,0.02,0.00,0.00,0.02,0.04,0.01,0.02
normal,4,battleship,12,1851993.84,1324160.39,586507.45,632743.20,632743.20,1851993.84,66865.33,258178.00,120357.60,0.05,0.09,0.04,0.07,0.01,0.01,0.05,0.09,0.04,0.07
normal,4,cruiser,23,1700387.15,965692.61,324008.86,688189.15,688189.15,1700387.15,43961.74,172205.22,79131.13,0.05,0.09,0.02,0.05,0.00,0.01,0.04,0.07,0.02,0.04
normal,4,frigate,16,1350888.05,641465.62,147981.47,601453.29,601453.29,1350888.05,31691.50,125116.00,57044.70,0.05,0.10,0.03,0.04,0.01,0.01,0.05,0.10,0.02,0.04
normal,5,battleship,12,1926512.27,1378994.95,613506.34,656502.97,656502.97,1926512.27,165125.42,648648.33,363275.92,0.12,0.26,0.09,0.19,0.01,0.02,0.12,0.27,0.09,0.20
normal,5,cruiser,23,1794680.92,1007909.11,356512.59,719084.16,719084.16,1794680.92,109677.48,434323.83,241290.45,0.12,0.26,0.06,0.14,0.01,0.02,0.09,0.21,0.06,0.13
normal,5,frigate,16,1490853.93,755379.25,241573.92,624640.00,624640.00,1490853.93,77684.50,309470.50,170905.90,0.11,0.24,0.05,0.12,0.01,0.02,0.11,0.23,0.05,0.11
normal,6,battleship,12,1936396.43,1388413.22,622937.44,656729.49,656729.49,1936396.43,411117.17,2646739.33,1068904.63,0.30,0.77,0.22,0.57,0.03,0.07,0.30,0.79,0.22,0.57
normal,6,cruiser,23,1827305.39,1076860.65,400975.36,713165.02,713165.02,1827305.39,281786.04,1742904.35,732643.71,0.28,0.74,0.16,0.41,0.02,0.06,0.24,0.61,0.14,0.38
normal,6,frigate,16,1582333.44,797957.21,253710.94,664311.25,664311.25,1582333.44,200897.94,1219054.75,522334.64,0.27,0.70,0.13,0.34,0.02,0.06,0.26,0.67,0.12,0.32
normal,7,battleship,12,2006392.85,1439052.10,646746.70,679823.08,679823.08,2006392.85,1042974.08,6771307.00,3337517.07,0.73,2.32,0.54,1.71,0.06,0.19,0.74,2.37,0.53,1.71
normal,7,cruiser,23,1872315.67,1098100.47,412490.48,729912.60,729912.60,1872315.67,707006.22,4392302.26,2262419.90,0.69,2.22,0.39,1.23,0.06,0.18,0.57,1.82,0.36,1.14
normal,7,frigate,16,1666336.94,884382.46,277368.74,694484.10,694484.10,1666336.94,501983.69,3051717.50,1606347.80,0.59,1.90,0.31,0.98,0.05,0.16,0.61,1.98,0.29,0.94
normal,8,battleship,12,2089405.60,1437711.24,674835.72,707284.94,707284.94,2089405.60,2736288.50,24009786.67,10397896.30,1.98,7.52,1.34,5.10,0.13,0.50,1.87,7.09,1.35,5.13
normal,8,cruiser,23,1913725.88,1143233.23,424788.28,744468.80,744468.80,1913725.88,1804436.39,15447837.57,6856858.29,1.71,6.49,0.96,3.66,0.11,0.43,1.42,5.39,0.89,3.39
normal,8,frigate,16,1677804.46,899284.74,316602.01,680601.22,680601.22,1677804.46,1351909.56,11603125.50,5137256.34,1.56,5.92,0.83,3.13,0.10,0.39,1.62,6.17,0.78,2.93
normal,9,battleship,12,2119568.68,1453777.41,674463.31,722552.68,722552.68,2119568.68,6677385.92,59267370.67,29380498.03,4.77,20.99,3.24,14.25,0.32,1.40,4.54,19.97,3.21,14.12
normal,9,cruiser,23,1996008.81,1191814.59,440067.68,777970.56,777970.56,1996008.81,4569424.13,39586411.13,20105466.17,4.14,18.20,2.34,10.29,0.28,1.21,3.46,15.22,2.15,9.45
normal,9,frigate,16,1721802.48,954648.30,338036.76,691882.86,691882.86,1721802.48,3236278.38,27866559.00,14239624.85,3.55,15.61,1.92,8.43,0.24,1.04,3.39,14.92,1.79,7.90
normal,10,battleship,12,2123555.80,1460775.97,685002.67,719276.57,719276.57,2123555.80,22214759.42,145908960.67,111073797.08,15.77,78.85,10.72,53.61,1.05,5.26,14.82,74.09,10.41,52.02
normal,10,cruiser,23,2024857.47,1233395.44,456347.16,784255.15,784255.15,2024857.47,17039285.87,100263884.35,85196429.35,14.96,74.80,8.59,42.97,1.00,4.99,12.62,63.11,7.92,39.60
normal,10,frigate,16,1742368.08,967980.68,342300.23,700033.93,700033.93,1742368.08,13605489.62,71405401.00,68027448.12,14.73,73.67,7.97,39.83,0.98,4.91,14.21,71.06,7.42,37.08
quick,2,battleship,12,3994.32,2457.59,805.15,1594.59,1594.59,3994.32,10007.50,20015.00,13009.75,4.18,5.42,2.57,3.34,0.42,0.54,3.88,5.03,2.36,3.06
quick,2,cruiser,23,3931.95,1780.50,347.46,1792.24,1792.24,3931.95,6835.22,13670.43,8885.78,3.88,5.04,1.74,2.26,0.39,0.50,4.00,5.20,1.72,2.24
quick,2,frigate,16,3593.55,1534.54,291.37,1651.09,1651.09,3593.55,4873.75,9747.50,6335.88,3.18,4.13,1.36,1.76,0.32,0.41,3.18,4.13,1.35,1.77
quick,3,battleship,12,8314.29,5388.25,1999.70,3157.30,3157.30,8314.29,26606.67,53213.33,39910.00,5.04,7.57,3.30,4.95,0.50,0.76,4.83,7.24,2.88,4.33
quick,3,cruiser,23,7730.75,3845.41,962.90,3383.93,3383.93,7730.75,17382.61,34765.22,26073.91,4.62,6.93,2.27,3.41,0.46,0.69,5.02,7.52,2.17,3.26
quick,3,frigate,16,7390.68,3156.02,599.24,3395.72,3395.72,7390.68,12661.25,25322.50,18991.88,4.01,6.02,1.71,2.57,0.40,0.60,4.00,6.00,1.71,2.56
quick,4,battleship,12,16112.35,11520.19,5102.61,5504.87,5504.87,16112.35,66865.33,258178.00,120357.60,5.83,10.49,4.29,7.72,0.58,1.05,5.88,10.57,4.30,7.75
quick,4,cruiser,23,15034.90,8504.66,2838.46,6098.22,6098.22,15034.90,43961.74,172205.22,79131.13,5.45,9.81,2.98,5.36,0.54,0.98,4.70,8.46,2.79,5.03
quick,4,frigate,16,14469.10,6778.08,1552.62,6458.24,6458.24,14469.10,31691.50,125116.00,57044.70,4.74,8.52,2.21,3.98,0.47,0.85,4.88,8.79,2.15,3.87
quick,5,battleship,12,33521.32,23994.51,10675.01,11423.15,11423.15,33521.32,165125.42,648648.33,363275.92,6.91,15.20,5.08,11.17,0.58,1.27,6.97,15.34,5.11,11.23
quick,5,cruiser,23,31227.45,17537.62,6203.32,12512.07,12512.07,31227.45,109677.48,434323.83,241290.45,6.76,14.86,3.57,7.85,0.56,1.24,5.43,11.94,3.36,7.39
quick,5,frigate,16,28323.33,14193.54,4435.72,11943.80,11943.80,28323.33,77684.50,309470.50,170905.90,5.64,12.40,2.80,6.16,0.47,1.03,5.86,12.88,2.61,5.74
quick,6,battleship,12,67773.87,48594.46,21802.81,22985.53,22985.53,67773.87,411117.17,2646739.33,1068904.63,8.49,22.06,6.24,16.22,0.71,1.84,8.66,22.50,6.28,16.34
quick,6,cruiser,23,63955.69,37690.12,14034.14,24960.78,24960.78,63955.69,281786.04,1742904.35,732643.71,8.08,21.02,4.50,11.71,0.67,1.75,6.75,17.54,4.13,10.75
quick,6,frigate,16,58691.93,29342.07,9148.28,24771.82,24771.82,58691.93,200897.94,1219054.75,522334.64,7.05,18.32,3.50,9.09,0.59,1.53,7.29,18.96,3.21,8.36
quick,7,battleship,12,140447.50,100733.65,45272.27,47587.61,47587.61,140447.50,1042974.08,6771307.00,3337517.07,10.37,33.19,7.62,24.39,0.87,2.77,10.56,33.80,7.62,24.41
quick,7,cruiser,23,131062.10,76867.03,28874.33,51093.88,51093.88,131062.10,707006.22,4392302.26,2262419.90,9.93,31.76,5.50,17.59,0.83,2.65,8.13,26.00,5.11,16.36
quick,7,frigate,16,118562.01,62725.99,19571.36,49495.32,49495.32,118562.01,501983.69,3051717.50,1606347.80,8.30,26.57,4.32,13.82,0.69,2.21,8.84,28.30,4.09,13.10
quick,8,battleship,12,292516.78,201279.57,94477.00,99019.89,99019.89,292516.78,2736288.50,24009786.67,10397896.30,14.14,53.75,9.60,36.48,0.94,3.59,13.33,50.66,9.65,36.67
quick,8,cruiser,23,267921.62,160052.65,59470.36,104225.63,104225.63,267921.62,1804436.39,15447837.57,6856858.29,12.20,46.38,6.88,26.16,0.81,3.09,10.14,38.52,6.37,24.21
quick,8,frigate,16,235574.67,126191.12,44379.58,95597.55,95597.55,235574.67,1351909.56,11603125.50,5137256.34,11.10,42.17,5.88,22.33,0.74,2.81,11.61,44.12,5.51,20.94
quick,9,battleship,12,601957.50,412872.78,191547.58,205204.96,205204.96,601957.50,6677385.92,59267370.67,29380498.03,16.80,73.91,11.41,50.20,1.12,4.93,15.98,70.33,11.30,49.72
quick,9,cruiser,23,566866.50,338475.34,124979.22,220943.64,220943.64,566866.50,4569424.13,39586411.13,20105466.17,14.56,64.08,8.23,36.22,0.97,4.27,12.18,53.59,7.56,33.28
quick,9,frigate,16,492632.72,272674.84,96297.64,198167.54,198167.54,492632.72,3236278.38,27866559.00,14239624.85,12.39,54.51,6.70,29.47,0.83,3.63,11.94,52.55,6.25,27.50
quick,10,battleship,12,1231662.36,847250.07,397301.55,417180.41,417180.41,1231662.36,22214759.42,145908960.67,111073797.08,27.19,135.95,18.49,92.43,1.81,9.06,25.55,127.74,17.94,89.70
quick,10,cruiser,23,1174417.33,715369.36,264681.36,454867.99,454867.99,1174417.33,17039285.87,100263884.35,85196429.35,25.79,128.97,14.82,74.08,1.72,8.60,21.76,108.80,13.65,68.27
quick,10,frigate,16,1014546.99,563125.59,198856.31,407845.34,407845.34,1014546.99,13605489.62,71405401.00,68027448.12,25.31,126.53,13.69,68.46,1.69,8.44,24.51,122.53,12.79,63.94
