building_id,local_name_ru,ship_class_id,yard_level,speed_multiplier,time_multiplier,notes_ru
cruiser_yard,Крейсерская верфь,cruiser,4,1.0517,0.9508,
cruiser_yard,Крейсерская верфь,cruiser,5,1.0690,0.9355,
cruiser_yard,Крейсерская верфь,cruiser,6,1.0862,0.9206,
cruiser_yard,Крейсерская верфь,cruiser,7,1.1034,0.9062,
cruiser_yard,Крейсерская верфь,cruiser,8,1.1207,0.8923,
cruiser_yard,Крейсерская верфь,cruiser,9,1.1379,0.8788,
cruiser_yard,Крейсерская верфь,cruiser,10,1.1552,0.8657,
cruiser_yard,Крейсерская верфь,cruiser,11,1.1724,0.8529,
cruiser_yard,Крейсерская верфь,cruiser,12,1.1897,0.8406,
cruiser_yard,Крейсерская верфь,cruiser,13,1.2069,0.8286,
cruiser_yard,Крейсерская верфь,cruiser,14,1.2241,0.8169,
cruiser_yard,Крейсерская верфь,cruiser,15,1.2414,0.8056,
cruiser_yard,Крейсерская верфь,cruiser,16,1.2586,0.7945,
cruiser_yard,Крейсерская верфь,cruiser,17,1.2759,0.7838,
cruiser_yard,Крейсерская верфь,cruiser,18,1.2931,0.7733,
cruiser_yard,Крейсерская верфь,cruiser,19,1.3103,0.7632,
cruiser_yard,Крейсерская верфь,cruiser,20,1.3276,0.7532,
cruiser_yard,Крейсерская верфь,cruiser,21,1.3448,0.7436,
cruiser_yard,Крейсерская верфь,cruiser,22,1.3621,0.7342,
cruiser_yard,Крейсерская верфь,cruiser,23,1.3793,0.7250,
cruiser_yard,Крейсерская верфь,cruiser,24,1.3966,0.7160,
cruiser_yard,Крейсерская верфь,cruiser,25,1.4138,0.7073,
cruiser_yard,Крейсерская верфь,cruiser,26,1.4310,0.6988,
cruiser_yard,Крейсерская верфь,cruiser,27,1.4483,0.6905,
cruiser_yard,Крейсерская верфь,cruiser,28,1.4655,0.6824,
cruiser_yard,Крейсерская верфь,cruiser,29,1.4828,0.6744,
cruiser_yard,Крейсерская верфь,cruiser,30,1.5000,0.6667,"Классовая верфь ускоряет только свой класс кораблей; кривая ускорения такая же, как у старой общей верфи."
battleship_yard,Линкорная верфь,battleship,1,1.0000,1.0000,
battleship_yard,Линкорная верфь,battleship,2,1.0172,0.9831,
battleship_yard,Линкорная верфь,battleship,3,1.0345,0.9667,
battleship_yard,Линкорная верфь,battleship,4,1.0517,0.9508,
battleship_yard,Линкорная верфь,battleship,5,1.0690,0.9355,
battleship_yard,Линкорная верфь,battleship,6,1.0862,0.9206,
battleship_yard,Линкорная верфь,battleship,7,1.1034,0.9062,
battleship_yard,Линкорная верфь,battleship,8,1.1207,0.8923,
battleship_yard,Линкорная верфь,battleship,9,1.1379,0.8788,
battleship_yard,Линкорная верфь,battleship,10,1.1552,0.8657,
battleship_yard,Линкорная верфь,battleship,11,1.1724,0.8529,
battleship_yard,Линкорная верфь,battleship,12,1.1897,0.8406,
battleship_yard,Линкорная верфь,battleship,13,1.2069,0.8286,
battleship_yard,Линкорная верфь,battleship,14,1.2241,0.8169,
battleship_yard,Линкорная верфь,battleship,15,1.2414,0.8056,
battleship_yard,Линкорная верфь,battleship,16,1.2586,0.7945,
battleship_yard,Линкорная верфь,battleship,17,1.2759,0.7838,
battleship_yard,Линкорная верфь,battleship,18,1.2931,0.7733,
battleship_yard,Линкорная верфь,battleship,19,1.3103,0.7632,
battleship_yard,Линкорная верфь,battleship,20,1.3276,0.7532,
battleship_yard,Линкорная верфь,battleship,21,1.3448,0.7436,
battleship_yard,Линкорная верфь,battleship,22,1.3621,0.7342,
battleship_yard,Линкорная верфь,battleship,23,1.3793,0.7250,
battleship_yard,Линкорная верфь,battleship,24,1.3966,0.7160,
battleship_yard,Линкорная верфь,battleship,25,1.4138,0.7073,
battleship_yard,Линкорная верфь,battleship,26,1.4310,0.6988,
battleship_yard,Линкорная верфь,battleship,27,1.4483,0.6905,
battleship_yard,Линкорная верфь,battleship,28,1.4655,0.6824,
battleship_yard,Линкорная верфь,battleship,29,1.4828,0.6744,
battleship_yard,Линкорная верфь,battleship,30,1.5000,0.6667,"Классовая верфь ускоряет только свой класс кораблей; кривая ускорения такая же, как у старой общей верфи."
