sample_id,seed,mission_profile,mission_archetype,primary_activity,ship_id,local_name_ru,rank,faction_id,ship_class_id,mission_success_factor,outcome,destroyed_chance,damaged_chance,damage_percent,expected_extracted_total_fe,expected_material_fe,expected_intangible_fe,generated_material_fe,generated_intangible_fe,generated_extracted_total_fe,generated_destroyed_total_fe,awarded_material_fe,awarded_intangible_fe,awarded_total_fe,awarded_ship_xp,awarded_mastery_points,cargo_capacity_tons,cargo_used_tons,source_summary,payload_count,sample_hash,expected_ratio,validation_status,validation_errors
S014,sortie-v1:S014:factory_ark_modular_survey_cruiser_r06:quick:quick_adaptive,quick,quick_adaptive,relic,factory_ark_modular_survey_cruiser_r06,Матрица,6,factory_ark,cruiser,1.0000,extracted_clean,0.0050,0.0500,1.9,52277.64,25748.69,13264.48,25272.48,12861.55,50995.58,12861.55,25272.48,25723.10,50995.58,809,37,430,0.045,sealed_tube,1,715c59e8f1da3d6e,0.9755,pass,
S015,sortie-v1:S015:capital_light_recon_cruiser_r07:quick:quick_adaptive,quick,quick_adaptive,courier,capital_light_recon_cruiser_r07,Навигатор,7,capital,cruiser,1.0000,extracted_clean,0.0050,0.0500,0.4,145567.59,11802.78,66882.41,11821.45,61218.22,134257.90,61218.22,11821.45,122436.44,134257.90,633,40,440,0.070,mechanisms x9.205762836666079; munition_bundle x3.407771329142912; weapon x1.3200041289510216; perfcards x0.7486344221584956,4,af5f9dba0f2186eb,0.9223,pass,
S016,sortie-v1:S016:capital_repair_cruiser_r08:quick:quick_adaptive,quick,quick_adaptive,repair,capital_repair_cruiser_r08,Спасатель,8,capital,cruiser,1.0000,extracted_clean,0.0050,0.0500,14.6,301847.08,37306.94,132270.07,41143.02,149174.03,339491.08,149174.03,41143.02,298348.06,339491.08,1672,48,525,0.236,mechanisms x36.17215790946644; munition_bundle x9.85125374027937; perfcards x3.1148124837592963; nobel x2.4806699675149457,4,4dd425fd1c54d21a,1.1247,pass,
S017,sortie-v1:S017:wind_houses_torpedo_recon_cruiser_r09:quick:quick_adaptive,quick,quick_adaptive,combat,wind_houses_torpedo_recon_cruiser_r09,Наводчик,9,wind_houses,cruiser,1.0000,extracted_damaged,0.0050,0.0500,64.8,604217.37,86316.77,258950.30,56650.00,272617.99,601885.98,272617.99,56650.00,545235.98,601885.98,18707,39,470,2.820,automaton_mainspring x15; automaton_command_cylinder x5; automaton_servo_joint x22; automaton_mainspring x18; automaton_contact_comb x60,5,a95311e01fa17f53,0.9961,pass,
S018,sortie-v1:S018:capital_industrial_battleship_r10:quick:quick_adaptive,quick,quick_adaptive,mining,capital_industrial_battleship_r10,Доминион,10,capital,battleship,1.0000,extracted_clean,0.0050,0.0500,14.7,1075608.95,659244.19,208182.38,690269.30,219628.48,1129526.26,219628.48,690269.30,439256.96,1129526.26,11671,49,7100,16.056,light_tuff 50.0t,4,edb91668ee28d04f,1.0501,pass,
S019,sortie-v1:S019:wind_houses_cargo_frigate_r02:quick:quick_adaptive,quick,quick_adaptive,courier,wind_houses_cargo_frigate_r02,Узел,2,wind_houses,frigate,1.0000,extracted_clean,0.0050,0.0500,1.4,3820.80,309.79,1755.50,402.47,1855.16,4112.78,1855.16,402.47,3710.31,4112.78,20,18,46,0.002,mechanisms x0.27361196078528494; munition_bundle x0.07589095115664621; weapon x0.05; perfcards x0.05,4,73f78f224e384a65,1.0764,pass,
S020,sortie-v1:S020:devourers_leviathan_processor_battleship_r03:quick:quick_adaptive,quick,quick_adaptive,hunting,devourers_leviathan_processor_battleship_r03,Раздел,3,devourers,battleship,1.0000,extracted_clean,0.0050,0.0500,4.9,6747.05,3633.03,1557.01,3868.57,1621.78,7112.13,1621.78,3868.57,3243.56,7112.13,130,22,3600,0.021,fat_whale_calf 0.00; armored_whale 0.00,13,3fa5d3f92947d01d,1.0541,pass,
S021,sortie-v1:S021:factory_ark_automaton_tender_frigate_r04:quick:quick_adaptive,quick,quick_adaptive,salvage,factory_ark_automaton_tender_frigate_r04,Сборщик,4,factory_ark,frigate,1.0000,extracted_clean,0.0050,0.0500,4.9,10123.06,5214.91,2454.08,4900.00,2169.06,9238.11,2169.06,4900.00,4338.11,9238.11,205,22,46,0.245,automaton_gyroscope x2; automaton_relay x7; automaton_servo_joint x2,3,3fd7d0716b14b397,0.9126,pass,
S022,sortie-v1:S022:factory_ark_modular_survey_cruiser_r05:quick:quick_adaptive,quick,quick_adaptive,relic,factory_ark_modular_survey_cruiser_r05,Дешифр,5,factory_ark,cruiser,1.0000,extracted_clean,0.0050,0.0500,13.1,26024.12,12817.85,6603.14,11849.66,5875.15,23599.97,5875.15,11849.66,11750.31,23599.97,425,33,410,0.420,pilot_globe,1,22e2402d7475a501,0.9068,pass,
S023,sortie-v1:S023:wind_houses_cargo_frigate_r06:quick:quick_adaptive,quick,quick_adaptive,courier,wind_houses_cargo_frigate_r06,Почтарь,6,wind_houses,frigate,1.0000,extracted_clean,0.0050,0.0500,8.8,68412.58,5546.97,31432.81,5041.68,30092.00,65225.68,30092.00,5041.68,60183.99,65225.68,329,37,66,0.029,mechanisms x3.699826882302035; munition_bundle x1.3260967030434778; weapon x0.7845191750192385; perfcards x0.3122175884636497,4,8783d228abc5ffd3,0.9534,pass,
S024,sortie-v1:S024:capital_repair_cruiser_r07:quick:quick_adaptive,quick,quick_adaptive,repair,capital_repair_cruiser_r07,Скрепа,7,capital,cruiser,1.0000,extracted_clean,0.0050,0.0500,0.0,137765.44,17027.19,60369.12,18642.81,62302.59,143247.98,62302.59,18642.81,124605.17,143247.98,867,46,490,0.111,mechanisms x17.763325574336694; munition_bundle x4.063791030123467; perfcards x1.179597589916317; nobel x1.1548559141085712,4,c0f4e6cb2a9aba24,1.0398,pass,
S025,sortie-v1:S025:stone_vault_heavy_gun_battleship_r08:quick:quick_adaptive,quick,quick_adaptive,combat,stone_vault_heavy_gun_battleship_r08,Сатурн,8,stone_vault,battleship,1.0000,extracted_clean,0.0050,0.0500,13.8,327667.59,46809.66,140428.97,33000.00,134298.03,301596.05,134298.03,33000.00,268596.05,301596.05,8588,34,3980,1.632,automaton_coil x18; automaton_command_cylinder x7; automaton_contact_comb x19; automaton_pressure_gauge x11; automaton_pressure_gauge x11,5,85f17368b97e685d,0.9204,pass,
S026,sortie-v1:S026:mist_synod_heavy_egg_battleship_r02:normal:normal_combat,normal,normal_combat,combat,mist_synod_heavy_egg_battleship_r02,Ядро,2,mist_synod,battleship,1.0000,extracted_clean,0.0250,0.1200,9.8,1965097.36,280728.19,842184.58,166200.00,820261.84,1806723.67,820261.84,166200.00,1640523.67,1806723.67,260,13,2500,8.310,automaton_servo_joint x91; automaton_coil x123; automaton_coil x154; automaton_contact_comb x66,4,1d349d7d4a64a460,0.9194,pass,
S027,sortie-v1:S027:stone_vault_ore_foundry_battleship_r03:normal:normal_ore,normal,normal_ore,mining,stone_vault_ore_foundry_battleship_r03,Печь,3,stone_vault,battleship,1.0000,extracted_clean,0.0250,0.1200,8.8,1407635.54,862744.36,272445.59,824936.61,277949.03,1380834.66,277949.03,824936.61,555898.05,1380834.66,180,20,4200,18.922,medyanka 35.7t; green_vein 26.7t,9,658a94e332810105,0.9810,pass,
S028,sortie-v1:S028:mist_synod_chemical_cruiser_r04:normal:normal_gas,normal,normal_gas,gas,mist_synod_chemical_cruiser_r04,Алхимик,4,mist_synod,cruiser,1.0000,extracted_clean,0.0250,0.1200,0.8,1335419.59,818482.97,258468.31,834449.87,264344.95,1363139.76,264344.95,834449.87,528689.89,1363139.76,394,26,410,3.247,claudic_wisp 2.5t; thermal_breath 0.7t,4,3ea765bd0c92b45c,1.0208,pass,
S029,sortie-v1:S029:devourers_harpoon_cruiser_r05:normal:normal_hunting,normal,normal_hunting,hunting,devourers_harpoon_cruiser_r05,Захлест,5,devourers,cruiser,1.0000,extracted_clean,0.0250,0.1200,4.4,1413664.55,761203.99,326230.28,683236.65,345047.13,1373330.91,345047.13,683236.65,690094.27,1373330.91,953,28,405,3.933,fat_whale_calf 0.03; swiftling 0.09,12,5e9f8af8ee995363,0.9715,pass,
S030,sortie-v1:S030:factory_ark_automaton_factory_battleship_r06:normal:normal_salvage,normal,normal_salvage,salvage,factory_ark_automaton_factory_battleship_r06,Сборка,6,factory_ark,battleship,1.0000,extracted_clean,0.0250,0.1200,2.9,1733154.40,892837.11,420158.64,972750.00,423935.48,1820620.96,423935.48,972750.00,847870.96,1820620.96,1858,36,4700,48.088,automaton_command_cylinder x220; automaton_optic_lens x307; automaton_relay x1430; automaton_gyroscope x131,4,1b8d2c122b5e83bb,1.0505,pass,
S031,sortie-v1:S031:factory_ark_modular_survey_cruiser_r07:normal:normal_relic,normal,normal_relic,relic,factory_ark_modular_survey_cruiser_r07,Лабиринт,7,factory_ark,cruiser,1.0000,extracted_clean,0.0250,0.1200,14.5,1547219.09,762063.13,392577.98,850765.44,455416.98,1761599.39,455416.98,850765.44,910833.95,1761599.39,3933,49,455,3.280,precursor_logbook; stone_codex; sealed_tube; cracked_tablet; cipher_cassette; machine_library,6,6b33e60053887625,1.1386,pass,
S032,sortie-v1:S032:capital_industrial_cruiser_r08:normal:normal_courier,normal,normal_courier,courier,capital_industrial_cruiser_r08,Арсенал,8,capital,cruiser,1.0000,extracted_clean,0.0250,0.1200,5.4,2273515.35,184339.08,1044588.13,170529.13,895351.21,1961231.55,895351.21,170529.13,1790702.42,1961231.55,2330,40,790,0.967,mechanisms x121.28596346880605; munition_bundle x47.16490147908388; weapon x22.375795985741092; perfcards x12.93553956245765,4,f27b43fde167c740,0.8626,pass,
S033,sortie-v1:S033:factory_ark_escort_frigate_r09:normal:normal_repair,normal,normal_repair,repair,factory_ark_escort_frigate_r09,Оберег,9,factory_ark,frigate,1.0000,extracted_clean,0.0250,0.1200,14.4,1864281.26,230416.79,816932.24,206252.61,747322.97,1700898.56,747322.97,206252.61,1494645.95,1700898.56,6011,49,44,1.222,mechanisms x195.2188643521226; munition_bundle x43.77619461153985; perfcards x12.525592785872014; nobel x14.777608050985842,4,f37ff6c05db81cf3,0.9124,pass,
S034,sortie-v1:S034:wind_houses_torpedo_recon_cruiser_r10:normal:normal_combat,normal,normal_combat,combat,wind_houses_torpedo_recon_cruiser_r10,Комета,10,wind_houses,cruiser,1.0000,extracted_clean,0.0250,0.1200,13.9,2227201.68,318171.67,954515.01,153240.00,843441.69,1840123.39,843441.69,153240.00,1686883.39,1840123.39,56710,33,510,7.662,automaton_coil x128; automaton_optic_lens x49; automaton_calibration_gear x45; automaton_logic_drum x38,4,1cf27baebe87dfb4,0.8262,pass,
S035,sortie-v1:S035:stone_vault_ore_foundry_battleship_r02:normal:normal_ore,normal,normal_ore,mining,stone_vault_ore_foundry_battleship_r02,Ванна,2,stone_vault,battleship,1.0000,extracted_clean,0.0250,0.1200,2.0,1258795.85,771520.04,243637.91,762594.14,258806.41,1280206.96,258806.41,762594.14,517612.81,1280206.96,94,17,3800,29.048,moon_salt 23.5t; coal_slag 48.3t,8,e272e2110fb7103e,1.0170,pass,
S036,sortie-v1:S036:mist_synod_gas_combine_battleship_r03:normal:normal_gas,normal,normal_gas,gas,mist_synod_gas_combine_battleship_r03,Баллон,3,mist_synod,battleship,1.0000,extracted_clean,0.0250,0.1200,4.7,1351421.86,828290.82,261565.52,876483.00,273058.14,1422599.28,273058.14,876483.00,546116.28,1422599.28,195,22,3300,6.810,amber_haze 5.7t; azure_veil 1.1t,4,f2efa87f9e6ab72f,1.0527,pass,
S037,sortie-v1:S037:devourers_leviathan_processor_battleship_r04:normal:normal_hunting,normal,normal_hunting,hunting,devourers_leviathan_processor_battleship_r04,Жирник,4,devourers,battleship,1.0000,extracted_clean,0.0250,0.1200,8.4,1517939.54,817352.06,350293.74,745585.34,284749.22,1315083.78,284749.22,745585.34,569498.45,1315083.78,410,20,3950,3.053,armored_whale 0.02; fat_whale_calf 0.00,13,0be7839059b5b2da,0.8664,pass,
S038,sortie-v1:S038:factory_ark_automaton_factory_battleship_r05:normal:normal_salvage,normal,normal_salvage,salvage,factory_ark_automaton_factory_battleship_r05,Автомат,5,factory_ark,battleship,1.0000,extracted_clean,0.0250,0.1200,9.4,1610418.20,829609.38,390404.41,759350.00,378105.81,1515561.63,378105.81,759350.00,756211.63,1515561.63,853,27,4300,33.812,automaton_optic_lens x183; automaton_logic_drum x87; automaton_command_cylinder x108; automaton_relay x772; automaton_pressure_gauge x159; automaton_core x42,6,a5b7802a3ed339f6,0.9411,pass,
S039,sortie-v1:S039:factory_ark_modular_survey_cruiser_r06:normal:normal_relic,normal,normal_relic,relic,factory_ark_modular_survey_cruiser_r06,Матрица,6,factory_ark,cruiser,1.0000,destroyed,0.0250,0.1200,100.0,1493646.96,735676.86,378985.05,815383.54,373617.23,1562618.00,373617.23,0.00,373617.23,373617.23,906,21,430,0.700,captain_protocol,1,837d6a3f54144017,1.0462,pass,
S040,sortie-v1:S040:capital_industrial_cruiser_r07:normal:normal_courier,normal,normal_courier,courier,capital_industrial_cruiser_r07,Прометей,7,capital,cruiser,1.0000,extracted_damaged,0.0250,0.1200,50.3,2240229.26,181640.21,1029294.52,165404.41,883674.48,1932753.37,883674.48,165404.41,1767348.95,1932753.37,1160,36,740,0.979,mechanisms x136.64067938500705; munition_bundle x37.945221380490025; weapon x18.863092900181506; perfcards x12.106180114808916,4,8de338f572428f74,0.8627,pass,
S041,sortie-v1:S041:mist_synod_repair_cruiser_r08:normal:normal_repair,normal,normal_repair,repair,mist_synod_repair_cruiser_r08,Регенер,8,mist_synod,cruiser,1.0000,extracted_clean,0.0250,0.1200,15.2,2141951.23,264735.55,938607.84,268832.06,964219.77,2197271.59,964219.77,268832.06,1928439.54,2197271.59,3572,51,530,1.558,mechanisms x239.4704985932549; munition_bundle x64.86665124802204; perfcards x17.68667184260808; nobel x18.572727904024187,4,1337baf1d37e7d4b,1.0258,pass,
S042,sortie-v1:S042:wind_houses_combat_cruiser_r09:normal:normal_combat,normal,normal_combat,combat,wind_houses_combat_cruiser_r09,Ураган,9,wind_houses,cruiser,1.0000,extracted_damaged,0.0250,0.1200,57.1,2257221.53,322460.22,967380.65,228430.00,913530.62,2055491.25,913530.62,228430.00,1827061.25,2055491.25,34816,36,390,11.422,automaton_optic_lens x42; automaton_optic_lens x78; automaton_contact_comb x282; automaton_gyroscope x37; automaton_servo_joint x22,5,9837a8244963e877,0.9106,pass,
S043,sortie-v1:S043:stone_vault_refinery_cruiser_r10:normal:normal_ore,normal,normal_ore,mining,stone_vault_refinery_cruiser_r10,Рафинад,10,stone_vault,cruiser,1.0000,extracted_clean,0.0250,0.1200,8.4,1633161.44,1000969.91,316095.76,968261.63,330177.21,1628616.05,330177.21,968261.63,660354.42,1628616.05,22322,47,855,44.689,dense_rustwort 124.1t,3,a35a5fabe5e8cbce,0.9972,pass,
S044,sortie-v1:S044:capital_industrial_battleship_r02:normal:normal_courier,normal,normal_courier,courier,capital_industrial_battleship_r02,Баржа,2,capital,battleship,0.4267,extracted_clean,0.1302,0.3780,12.5,909711.57,73760.40,417975.59,75703.37,409886.92,895477.20,409886.92,75703.37,819773.84,895477.20,40,8,4860,0.448,mechanisms x58.418588083765634; munition_bundle x19.543854405840698; weapon x10.652892532544831; perfcards x4.672398000848593,4,467c586534e53529,0.9844,pass,
S045,sortie-v1:S045:devourers_harpoon_cruiser_r03:normal:normal_hunting,normal,normal_hunting,hunting,devourers_harpoon_cruiser_r03,Тянуч,3,devourers,cruiser,1.0000,extracted_clean,0.0250,0.1200,2.9,1311787.14,706346.92,302720.11,726699.69,294595.75,1315891.19,294595.75,726699.69,589191.50,1315891.19,246,20,350,4.104,swiftling 0.97; shellback 0.19,13,344eb03148a237df,1.0031,pass,
S046,sortie-v1:S046:factory_ark_automaton_factory_battleship_r04:normal:normal_salvage,normal,normal_salvage,salvage,factory_ark_automaton_factory_battleship_r04,Конвейер,4,factory_ark,battleship,1.0000,extracted_clean,0.0250,0.1200,15.6,1653783.14,851948.89,400917.12,658300.00,314671.53,1287643.06,314671.53,658300.00,629343.06,1287643.06,370,20,3900,22.655,automaton_mainspring x474; automaton_core x97; automaton_servo_core x103,3,050ce455c2ba19cf,0.7786,pass,
S047,sortie-v1:S047:factory_ark_modular_survey_cruiser_r05:normal:normal_relic,normal,normal_relic,relic,factory_ark_modular_survey_cruiser_r05,Дешифр,5,factory_ark,cruiser,1.0000,extracted_clean,0.0250,0.1200,14.3,1495639.12,736658.07,379490.52,740378.56,396716.67,1533811.90,396716.67,740378.56,793433.34,1533811.90,943,36,410,1.390,stone_codex; brass_catalog; stone_codex; chronograph_cabinet,4,b6cfc46c0bb74955,1.0255,pass,
S048,sortie-v1:S048:mist_synod_toxic_cloud_cruiser_r06:normal:normal_courier,normal,normal_courier,courier,mist_synod_toxic_cloud_cruiser_r06,Кислота,6,mist_synod,cruiser,1.0000,extracted_clean,0.0250,0.1200,8.7,1874166.75,151959.47,861103.64,121190.79,724611.46,1570413.72,724611.46,121190.79,1449222.93,1570413.72,522,29,410,0.737,mechanisms x100.46678289687974; munition_bundle x31.877279774109855; weapon x13.713778292613; perfcards x7.165742429596774,4,39fbf989db38ebef,0.8379,pass,
S049,sortie-v1:S049:capital_repair_cruiser_r07:normal:normal_repair,normal,normal_repair,repair,capital_repair_cruiser_r07,Скрепа,7,capital,cruiser,1.0000,extracted_clean,0.0250,0.1200,0.8,1968077.65,243245.55,862416.05,249124.74,922925.15,2094975.05,922925.15,249124.74,1845850.31,2094975.05,1657,43,490,1.360,mechanisms x203.44878276676957; munition_bundle x60.76108644438494; perfcards x19.81289373762347; nobel x19.18808445292903,4,afa8ad342135ba55,1.0645,pass,
S050,sortie-v1:S050:capital_patrol_frigate_r08:normal:normal_combat,normal,normal_combat,combat,capital_patrol_frigate_r08,Сокол,8,capital,frigate,1.0000,extracted_damaged,0.0250,0.1200,44.2,1663504.32,237643.47,712930.42,153700.00,668209.43,1490118.85,668209.43,153700.00,1336418.85,1490118.85,16184,32,53,7.558,automaton_logic_drum x30; automaton_command_cylinder x51; automaton_servo_joint x41; automaton_contact_comb x90,4,ab8c2d3eddc79db9,0.8958,pass,
S051,sortie-v1:S051:factory_ark_combat_ark_cruiser_r02:danger:danger_combat,danger,danger_combat,combat,factory_ark_combat_ark_cruiser_r02,Блок,2,factory_ark,cruiser,0.4673,extracted_damaged,0.2111,0.4397,21.4,1265377.32,180768.19,542304.56,92600.00,448362.93,989325.86,448362.93,92600.00,896725.86,989325.86,311,5,297,4.630,automaton_relay x117; automaton_optic_lens x45; automaton_calibration_gear x41,3,78f476eddd6c8701,0.7818,pass,
S052,sortie-v1:S052:stone_vault_magnet_hauler_cruiser_r03:danger:danger_ore,danger,danger_ore,mining,stone_vault_magnet_hauler_cruiser_r03,Трос,3,stone_vault,cruiser,0.7424,destroyed,0.0915,0.3159,100.0,1442633.54,884194.75,279219.40,713706.57,231094.86,1175896.29,231094.86,0.00,231094.86,231094.86,103,6,410,15.492,moon_salt 7.4t; light_tuff 15.0t; needle_chalk 12.2t; light_tuff 13.1t,17,088e45f197648b7b,0.8151,pass,
S053,sortie-v1:S053:mist_synod_chemical_cruiser_r04:danger:danger_gas,danger,danger_gas,gas,mist_synod_chemical_cruiser_r04,Алхимик,4,mist_synod,cruiser,1.0000,extracted_clean,0.0550,0.2000,7.6,2168721.41,1329216.35,419752.53,1217195.56,380030.26,1977256.09,380030.26,1217195.56,760060.53,1977256.09,478,22,410,10.208,green_bloom 7.7t; amber_haze 2.5t,4,2e9754563bd7267d,0.9117,pass,
S054,sortie-v1:S054:devourers_harpoon_cruiser_r05:danger:danger_hunting,danger,danger_hunting,hunting,devourers_harpoon_cruiser_r05,Захлест,5,devourers,cruiser,1.0000,extracted_clean,0.0550,0.2000,10.2,2295791.23,1236195.28,529797.98,1420855.78,629835.69,2680527.17,629835.69,1420855.78,1259671.39,2680527.17,1597,32,405,6.591,reef_cutter 0.09; acid_spitter 0.10,14,e8f444eae3cbdf16,1.1676,pass,
S055,sortie-v1:S055:factory_ark_automaton_tender_frigate_r06:danger:danger_salvage,danger,danger_salvage,salvage,factory_ark_automaton_tender_frigate_r06,Манипул,6,factory_ark,frigate,0.6876,extracted_clean,0.1087,0.3406,14.9,1361916.31,701593.25,330161.53,711580.00,360974.63,1433529.27,360974.63,711580.00,721949.27,1433529.27,2874,25,53,34.154,automaton_pressure_gauge x132; automaton_servo_core x114; automaton_brass_valve x371; automaton_optic_lens x206; automaton_optic_lens x130,5,91b587261db30246,1.0526,pass,
S056,sortie-v1:S056:factory_ark_modular_survey_cruiser_r07:danger:danger_relic,danger,danger_relic,relic,factory_ark_modular_survey_cruiser_r07,Лабиринт,7,factory_ark,cruiser,1.0000,extracted_clean,0.0550,0.2000,2.2,2512683.80,1237590.53,637546.63,1066022.47,521880.14,2109782.74,521880.14,1066022.47,1043760.27,2109782.74,4061,35,455,1.900,precursor_logbook; stone_codex; archive_suitcase; archive_suitcase; brass_catalog; captain_protocol,6,c5949a765b221ee9,0.8397,pass,
