mission_profile,rank,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
normal,10,51,1959456.49,1203629.37,474369.03,742543.73,742543.73,1959456.49,17179774.94,101950260.47,85898874.71,15.08,75.40,8.90,44.49,1.01,5.03,13.46,67.28,8.01,40.06
quick,2,51,3840.46,1862.65,437.56,1701.45,1701.45,3840.46,6966.27,13932.55,9056.16,3.73,4.85,1.82,2.36,0.37,0.49,3.83,4.98,1.72,2.24
quick,3,51,7761.37,3992.15,1092.76,3334.30,3334.30,7761.37,18071.76,36143.53,27107.65,4.53,6.79,2.34,3.51,0.45,0.68,4.41,6.62,2.16,3.25
quick,4,51,15110.91,8672.53,2967.80,6071.55,6071.55,15110.91,45501.33,177661.02,81902.40,5.32,9.57,3.04,5.48,0.53,0.96,5.11,9.20,2.77,4.98
quick,5,51,30856.08,18007.76,6700.94,12077.57,12077.57,30856.08,112687.04,445583.45,247911.49,6.44,14.17,3.68,8.10,0.54,1.18,5.99,13.18,3.37,7.41
quick,6,51,63202.71,37636.85,14329.24,24436.73,24436.73,63202.71,286840.24,1791226.43,745784.61,7.85,20.42,4.60,11.95,0.65,1.70,7.37,19.17,4.15,10.79
quick,7,51,129348.83,78046.30,29814.09,49767.37,49767.37,129348.83,721736.69,4531492.47,2309557.40,9.52,30.47,5.63,18.01,0.79,2.54,8.94,28.62,5.12,16.39
quick,8,51,263560.66,159129.88,62972.85,100293.90,100293.90,263560.66,1881726.51,16256229.65,7150560.74,12.31,46.79,7.21,27.38,0.82,3.12,11.65,44.28,6.55,24.88
quick,9,51,551834.18,335337.33,131644.22,210094.98,210094.98,551834.18,4647173.33,40540408.78,20447562.67,14.41,63.39,8.50,37.39,0.96,4.23,13.78,60.62,7.83,34.46
quick,10,51,1137731.35,698637.36,275235.11,431248.12,431248.12,1137731.35,17179774.94,101950260.47,85898874.71,25.97,129.85,15.33,76.63,1.73,8.66,23.20,116.00,13.82,69.08
