sample_id,layer,source_id,item_id,amount,unit,value_fe,cargo_tons
S007,material,courier_contract,perfcards,1.880,crate,4136.66,0.0019
S007,intangible,courier_action,freight_fe,51272.222,fe,51272.22,0.0000
S007,intangible,courier_action,reputation_fe,67294.796,fe,67294.80,0.0000
S008,material,repair_contract,mechanisms,57.522,crate,34512.98,0.2876
S008,material,repair_contract,munition_bundle,17.871,crate,16083.84,0.0894
S008,material,repair_contract,perfcards,5.517,crate,12138.29,0.0055
S008,material,repair_contract,nobel,4.496,crate,6743.39,0.0045
S008,intangible,repair_action,freight_fe,65294.624,fe,65294.62,0.0000
S008,intangible,repair_action,reputation_fe,166864.047,fe,166864.05,0.0000
S009,material,automaton_field,automaton_contact_comb,114.000,pcs,27360.00,1.3680
S009,material,automaton_field,automaton_pressure_gauge,54.000,pcs,35100.00,1.7550
S009,material,automaton_field,automaton_pressure_gauge,43.000,pcs,27950.00,1.3975
S009,material,automaton_field,automaton_gyroscope,29.000,pcs,27550.00,1.3775
S009,intangible,combat_action,freight_fe,311578.365,fe,311578.36,0.0000
S009,intangible,combat_action,reputation_fe,21243.975,fe,21243.98,0.0000
S010,material,salty_chalk,quartz,0.959,kg,28.78,0.0010
S010,material,salty_chalk,calcite,8.633,kg,345.32,0.0086
S010,material,salty_chalk,sylvine,6.714,kg,335.72,0.0067
S010,material,salty_chalk,gems,0.048,kg,86.33,0.0000
S010,material,coal_slag,iron,2.006,kg,40.12,0.0020
S010,material,coal_slag,quartz,2.006,kg,60.17,0.0020
S010,material,coal_slag,charcoal,84.244,kg,842.44,0.0842
S010,intangible,mining_action,freight_fe,316.819,fe,316.82,0.0000
S010,intangible,mining_action,reputation_fe,45.263,fe,45.26,0.0000
S011,material,dry_mist,aerosil,127.371,kg,2547.42,0.1274
S011,material,green_bloom,aerosil,5.213,kg,104.27,0.0052
S011,material,green_bloom,ionide,4.266,kg,1023.73,0.0043
S011,intangible,gas_action,freight_fe,610.555,fe,610.55,0.0000
S011,intangible,gas_action,reputation_fe,93.934,fe,93.93,0.0000
S012,material,acid_spitter,leviathan_meat,10.900,kg,163.51,0.0109
S012,material,acid_spitter,leviathan_fat,3.964,kg,317.10,0.0040
S012,material,acid_spitter,leviathan_hide,3.964,kg,2378.28,0.0040
S012,material,acid_spitter,acid,6.937,kg,1248.60,0.0069
S012,material,acid_spitter,leviathan_ichor,2.477,kg,1114.82,0.0025
S012,material,acid_spitter,amber,0.198,kg,495.48,0.0002
S012,material,grabber,leviathan_meat,0.960,kg,14.39,0.0010
S012,material,grabber,leviathan_fat,0.443,kg,35.43,0.0004
S012,material,grabber,leviathan_hide,0.369,kg,221.45,0.0004
S012,material,grabber,leviathan_sinew,0.664,kg,186.02,0.0007
S012,material,grabber,acid,0.148,kg,26.57,0.0001
S012,material,grabber,leviathan_ichor,0.148,kg,66.44,0.0001
S012,material,grabber,amber,0.018,kg,46.14,0.0000
S012,intangible,hunting_action,freight_fe,1755.868,fe,1755.87,0.0000
S012,intangible,hunting_action,reputation_fe,195.093,fe,195.09,0.0000
S013,material,automaton_field,automaton_relay,18.000,pcs,3600.00,0.1800
S013,material,automaton_field,automaton_optic_lens,4.000,pcs,3600.00,0.1800
S013,material,automaton_field,automaton_calibration_gear,4.000,pcs,2800.00,0.1400
S013,material,automaton_field,automaton_pressure_gauge,7.000,pcs,4550.00,0.2275
S013,intangible,salvage_action,freight_fe,4129.827,fe,4129.83,0.0000
S013,intangible,salvage_action,reputation_fe,458.870,fe,458.87,0.0000
S014,material,sealed_tube,relic_cheap,1.000,pcs,25272.48,0.0450
S014,intangible,relic_action,freight_fe,3404.532,fe,3404.53,0.0000
S014,intangible,relic_action,reputation_fe,1513.127,fe,1513.13,0.0000
S015,material,courier_contract,mechanisms,9.206,crate,5523.46,0.0460
S015,material,courier_contract,munition_bundle,3.408,crate,3066.99,0.0170
S015,material,courier_contract,weapon,1.320,crate,1584.00,0.0066
S015,material,courier_contract,perfcards,0.749,crate,1647.00,0.0007
S015,intangible,courier_action,freight_fe,23046.860,fe,23046.86,0.0000
S015,intangible,courier_action,reputation_fe,30249.005,fe,30249.00,0.0000
S016,material,repair_contract,mechanisms,36.172,crate,21703.29,0.1809
S016,material,repair_contract,munition_bundle,9.851,crate,8866.13,0.0493
S016,material,repair_contract,perfcards,3.115,crate,6852.59,0.0031
S016,material,repair_contract,nobel,2.481,crate,3721.00,0.0025
S016,intangible,repair_action,freight_fe,34424.774,fe,34424.77,0.0000
S016,intangible,repair_action,reputation_fe,87974.433,fe,87974.43,0.0000
S017,material,automaton_field,automaton_mainspring,15.000,pcs,8250.00,0.4125
S017,material,automaton_field,automaton_command_cylinder,5.000,pcs,6500.00,0.3125
S017,material,automaton_field,automaton_servo_joint,22.000,pcs,17600.00,0.8800
S017,material,automaton_field,automaton_mainspring,18.000,pcs,9900.00,0.4950
S017,material,automaton_field,automaton_contact_comb,60.000,pcs,14400.00,0.7200
S017,intangible,combat_action,freight_fe,159935.889,fe,159935.89,0.0000
S017,intangible,combat_action,reputation_fe,10904.718,fe,10904.72,0.0000
S018,material,light_tuff,magnesium,10003.903,kg,400156.11,10.0039
S018,material,light_tuff,quartz,4001.561,kg,120046.83,4.0016
S018,material,light_tuff,calcite,2000.781,kg,80031.22,2.0008
S018,material,light_tuff,gems,50.020,kg,90035.13,0.0500
S018,intangible,mining_action,freight_fe,128116.612,fe,128116.61,0.0000
S018,intangible,mining_action,reputation_fe,18302.372,fe,18302.37,0.0000
S019,material,courier_contract,mechanisms,0.274,crate,164.17,0.0014
S019,material,courier_contract,munition_bundle,0.076,crate,68.30,0.0004
S019,material,courier_contract,weapon,0.050,crate,60.00,0.0003
S019,material,courier_contract,perfcards,0.050,crate,110.00,0.0001
S019,intangible,courier_action,freight_fe,698.418,fe,698.42,0.0000
S019,intangible,courier_action,reputation_fe,916.673,fe,916.67,0.0000
S020,material,fat_whale_calf,leviathan_meat,8.195,kg,122.93,0.0082
S020,material,fat_whale_calf,leviathan_fat,6.658,kg,532.68,0.0067
S020,material,fat_whale_calf,leviathan_hide,2.561,kg,1536.57,0.0026
S020,material,fat_whale_calf,leviathan_sinew,1.280,kg,358.53,0.0013
S020,material,fat_whale_calf,leviathan_ichor,0.512,kg,230.49,0.0005
S020,material,fat_whale_calf,amber,0.256,kg,640.24,0.0003
S020,material,armored_whale,leviathan_meat,0.578,kg,8.67,0.0006
S020,material,armored_whale,leviathan_fat,0.368,kg,29.44,0.0004
S020,material,armored_whale,leviathan_hide,0.368,kg,220.81,0.0004
S020,material,armored_whale,leviathan_sinew,0.210,kg,58.88,0.0002
S020,material,armored_whale,bone_grit,0.105,kg,3.15,0.0001
S020,material,armored_whale,leviathan_ichor,0.105,kg,47.32,0.0001
S020,material,armored_whale,amber,0.032,kg,78.86,0.0000
S020,intangible,hunting_action,freight_fe,973.072,fe,973.07,0.0000
S020,intangible,hunting_action,reputation_fe,108.118,fe,108.12,0.0000
S021,material,automaton_field,automaton_gyroscope,2.000,pcs,1900.00,0.0950
S021,material,automaton_field,automaton_relay,7.000,pcs,1400.00,0.0700
S021,material,automaton_field,automaton_servo_joint,2.000,pcs,1600.00,0.0800
S021,intangible,salvage_action,freight_fe,1220.095,fe,1220.09,0.0000
S021,intangible,salvage_action,reputation_fe,135.566,fe,135.57,0.0000
S022,material,pilot_globe,relic_valuable,1.000,pcs,11849.66,0.4200
S022,intangible,relic_action,freight_fe,1555.187,fe,1555.19,0.0000
S022,intangible,relic_action,reputation_fe,691.194,fe,691.19,0.0000
S023,material,courier_contract,mechanisms,3.700,crate,2219.90,0.0185
S023,material,courier_contract,munition_bundle,1.326,crate,1193.49,0.0066
S023,material,courier_contract,weapon,0.785,crate,941.42,0.0039
S023,material,courier_contract,perfcards,0.312,crate,686.88,0.0003
S023,intangible,courier_action,freight_fe,11328.753,fe,11328.75,0.0000
S023,intangible,courier_action,reputation_fe,14868.981,fe,14868.98,0.0000
S024,material,repair_contract,mechanisms,17.763,crate,10658.00,0.0888
S024,material,repair_contract,munition_bundle,4.064,crate,3657.41,0.0203
S024,material,repair_contract,perfcards,1.180,crate,2595.11,0.0012
S024,material,repair_contract,nobel,1.155,crate,1732.28,0.0012
S024,intangible,repair_action,freight_fe,14377.525,fe,14377.52,0.0000
S024,intangible,repair_action,reputation_fe,36742.550,fe,36742.55,0.0000
S025,material,automaton_field,automaton_coil,18.000,pcs,5040.00,0.2520
S025,material,automaton_field,automaton_command_cylinder,7.000,pcs,9100.00,0.4375
S025,material,automaton_field,automaton_contact_comb,19.000,pcs,4560.00,0.2280
S025,material,automaton_field,automaton_pressure_gauge,11.000,pcs,7150.00,0.3575
S025,material,automaton_field,automaton_pressure_gauge,11.000,pcs,7150.00,0.3575
S025,intangible,combat_action,freight_fe,78788.170,fe,78788.17,0.0000
S025,intangible,combat_action,reputation_fe,5371.922,fe,5371.92,0.0000
S026,material,automaton_field,automaton_servo_joint,91.000,pcs,72800.00,3.6400
S026,material,automaton_field,automaton_coil,123.000,pcs,34440.00,1.7220
S026,material,automaton_field,automaton_coil,154.000,pcs,43120.00,2.1560
S026,material,automaton_field,automaton_contact_comb,66.000,pcs,15840.00,0.7920
S026,intangible,combat_action,freight_fe,481220.277,fe,481220.28,0.0000
S026,intangible,combat_action,reputation_fe,32810.470,fe,32810.47,0.0000
S027,material,medyanka,copper,8574.549,kg,257236.46,8.5745
S027,material,medyanka,magnesium,714.546,kg,28581.83,0.7145
S027,material,medyanka,quartz,1786.364,kg,53590.93,1.7864
S027,material,medyanka,gems,35.727,kg,64309.12,0.0357
S027,material,green_vein,copper,3732.314,kg,111969.41,3.7323
S027,material,green_vein,magnesium,2399.345,kg,95973.78,2.3993
S027,material,green_vein,quartz,533.188,kg,15995.63,0.5332
S027,material,green_vein,sylvine,1066.375,kg,53318.77,1.0664
S027,material,green_vein,gems,79.978,kg,143960.67,0.0800
S027,intangible,mining_action,freight_fe,162136.927,fe,162136.93,0.0000
S027,intangible,mining_action,reputation_fe,23162.420,fe,23162.42,0.0000
S028,material,claudic_wisp,vespar,1516.753,kg,121340.22,1.5168
S028,material,claudic_wisp,nulgas,1011.168,kg,606701.10,1.0112
S028,material,thermal_breath,fulgur,575.181,kg,103532.65,0.5752
S028,material,thermal_breath,aerosil,143.795,kg,2875.91,0.1438
S028,intangible,gas_action,freight_fe,143186.848,fe,143186.85,0.0000
S028,intangible,gas_action,reputation_fe,22028.750,fe,22028.75,0.0000
S029,material,fat_whale_calf,leviathan_meat,1559.024,kg,23385.35,1.5590
S029,material,fat_whale_calf,leviathan_fat,1266.707,kg,101336.53,1.2667
S029,material,fat_whale_calf,leviathan_hide,487.195,kg,292316.91,0.4872
S029,material,fat_whale_calf,leviathan_sinew,243.597,kg,68207.28,0.2436
S029,material,fat_whale_calf,leviathan_ichor,97.439,kg,43847.54,0.0974
S029,material,fat_whale_calf,amber,48.719,kg,121798.71,0.0487
S029,material,swiftling,leviathan_meat,118.353,kg,1775.30,0.1184
S029,material,swiftling,leviathan_fat,60.868,kg,4869.40,0.0609
S029,material,swiftling,leviathan_hide,27.052,kg,16231.34,0.0271
S029,material,swiftling,leviathan_sinew,16.908,kg,4734.14,0.0169
S029,material,swiftling,leviathan_ichor,6.763,kg,3043.38,0.0068
S029,material,swiftling,amber,0.676,kg,1690.76,0.0007
S029,intangible,hunting_action,freight_fe,207028.282,fe,207028.28,0.0000
S029,intangible,hunting_action,reputation_fe,23003.147,fe,23003.15,0.0000
S030,material,automaton_field,automaton_command_cylinder,220.000,pcs,286000.00,13.7500
S030,material,automaton_field,automaton_optic_lens,307.000,pcs,276300.00,13.8150
S030,material,automaton_field,automaton_relay,1430.000,pcs,286000.00,14.3000
S030,material,automaton_field,automaton_gyroscope,131.000,pcs,124450.00,6.2225
S030,intangible,salvage_action,freight_fe,238463.712,fe,238463.71,0.0000
S030,intangible,salvage_action,reputation_fe,26495.973,fe,26495.97,0.0000
S031,material,precursor_logbook,relic_medium,1.000,pcs,193410.97,0.3200
S031,material,stone_codex,relic_medium,1.000,pcs,148609.64,0.2200
S031,material,sealed_tube,relic_cheap,1.000,pcs,52747.31,0.0450
S031,material,cracked_tablet,relic_cheap,1.000,pcs,62660.50,0.0350
S031,material,cipher_cassette,relic_medium,1.000,pcs,167251.97,0.1600
S031,material,machine_library,relic_expensive,1.000,pcs,226085.05,2.5000
S031,intangible,relic_action,freight_fe,120551.552,fe,120551.55,0.0000
S031,intangible,relic_action,reputation_fe,53578.462,fe,53578.46,0.0000
S032,material,courier_contract,mechanisms,121.286,crate,72771.58,0.6064
S032,material,courier_contract,munition_bundle,47.165,crate,42448.41,0.2358
S032,material,courier_contract,weapon,22.376,crate,26850.96,0.1119
S032,material,courier_contract,perfcards,12.936,crate,28458.19,0.0129
S032,intangible,courier_action,freight_fe,337073.398,fe,337073.40,0.0000
S032,intangible,courier_action,reputation_fe,442408.833,fe,442408.83,0.0000
S033,material,repair_contract,mechanisms,195.219,crate,117131.32,0.9761
S033,material,repair_contract,munition_bundle,43.776,crate,39398.58,0.2189
S033,material,repair_contract,perfcards,12.526,crate,27556.30,0.0125
S033,material,repair_contract,nobel,14.778,crate,22166.41,0.0148
S033,intangible,repair_action,freight_fe,172459.143,fe,172459.14,0.0000
S033,intangible,repair_action,reputation_fe,440728.931,fe,440728.93,0.0000
S034,material,automaton_field,automaton_coil,128.000,pcs,35840.00,1.7920
S034,material,automaton_field,automaton_optic_lens,49.000,pcs,44100.00,2.2050
S034,material,automaton_field,automaton_calibration_gear,45.000,pcs,31500.00,1.5750
S034,material,automaton_field,automaton_logic_drum,38.000,pcs,41800.00,2.0900
S034,intangible,combat_action,freight_fe,494819.127,fe,494819.13,0.0000
S034,intangible,combat_action,reputation_fe,33737.667,fe,33737.67,0.0000
S035,material,moon_salt,magnesium,1174.602,kg,46984.07,1.1746
S035,material,moon_salt,calcite,704.761,kg,28190.44,0.7048
S035,material,moon_salt,sylvine,4698.407,kg,234920.35,4.6984
S035,material,moon_salt,claudium,1174.602,kg,140952.21,1.1746
S035,material,moon_salt,gems,46.984,kg,84571.33,0.0470
S035,material,coal_slag,iron,482.927,kg,9658.54,0.4829
S035,material,coal_slag,quartz,482.927,kg,14487.81,0.4829
S035,material,coal_slag,charcoal,20282.938,kg,202829.38,20.2829
S035,intangible,mining_action,freight_fe,150970.400,fe,150970.40,0.0000
S035,intangible,mining_action,reputation_fe,21567.202,fe,21567.20,0.0000
S036,material,amber_haze,vespar,3426.885,kg,274150.79,3.4269
S036,material,amber_haze,fulgur,2284.590,kg,411226.18,2.2846
S036,material,azure_veil,ionide,768.817,kg,184516.17,0.7688
S036,material,azure_veil,aerosil,329.493,kg,6589.86,0.3295
S036,intangible,gas_action,freight_fe,147906.488,fe,147906.49,0.0000
S036,intangible,gas_action,reputation_fe,22754.848,fe,22754.85,0.0000
S037,material,armored_whale,leviathan_meat,884.185,kg,13262.78,0.8842
S037,material,armored_whale,leviathan_fat,562.663,kg,45013.06,0.5627
S037,material,armored_whale,leviathan_hide,562.663,kg,337597.98,0.5627
S037,material,armored_whale,leviathan_sinew,321.522,kg,90026.13,0.3215
S037,material,armored_whale,bone_grit,160.761,kg,4822.83,0.1608
S037,material,armored_whale,leviathan_ichor,160.761,kg,72342.42,0.1608
S037,material,armored_whale,amber,48.228,kg,120570.71,0.0482
S037,material,fat_whale_calf,leviathan_meat,148.382,kg,2225.73,0.1484
S037,material,fat_whale_calf,leviathan_fat,120.560,kg,9644.82,0.1206
S037,material,fat_whale_calf,leviathan_hide,46.369,kg,27821.60,0.0464
S037,material,fat_whale_calf,leviathan_sinew,23.185,kg,6491.71,0.0232
S037,material,fat_whale_calf,leviathan_ichor,9.274,kg,4173.24,0.0093
S037,material,fat_whale_calf,amber,4.637,kg,11592.33,0.0046
S037,intangible,hunting_action,freight_fe,170849.531,fe,170849.53,0.0000
S037,intangible,hunting_action,reputation_fe,18983.285,fe,18983.28,0.0000
S038,material,automaton_field,automaton_optic_lens,183.000,pcs,164700.00,8.2350
S038,material,automaton_field,automaton_logic_drum,87.000,pcs,95700.00,4.7850
S038,material,automaton_field,automaton_command_cylinder,108.000,pcs,140400.00,6.7500
S038,material,automaton_field,automaton_relay,772.000,pcs,154400.00,7.7200
S038,material,automaton_field,automaton_pressure_gauge,159.000,pcs,103350.00,5.1675
S038,material,automaton_field,automaton_core,42.000,pcs,100800.00,1.1550
S038,intangible,salvage_action,freight_fe,212684.519,fe,212684.52,0.0000
S038,intangible,salvage_action,reputation_fe,23631.618,fe,23631.62,0.0000
S039,material,captain_protocol,relic_expensive,1.000,pcs,815383.54,0.7000
S039,intangible,relic_action,freight_fe,98898.676,fe,98898.68,0.0000
S039,intangible,relic_action,reputation_fe,43954.972,fe,43954.97,0.0000
S040,material,courier_contract,mechanisms,136.641,crate,81984.41,0.6832
S040,material,courier_contract,munition_bundle,37.945,crate,34150.70,0.1897
S040,material,courier_contract,weapon,18.863,crate,22635.71,0.0943
S040,material,courier_contract,perfcards,12.106,crate,26633.60,0.0121
S040,intangible,courier_action,freight_fe,332677.447,fe,332677.45,0.0000
S040,intangible,courier_action,reputation_fe,436639.156,fe,436639.16,0.0000
S041,material,repair_contract,mechanisms,239.470,crate,143682.30,1.1974
S041,material,repair_contract,munition_bundle,64.867,crate,58379.99,0.3243
S041,material,repair_contract,perfcards,17.687,crate,38910.68,0.0177
S041,material,repair_contract,nobel,18.573,crate,27859.09,0.0186
S041,intangible,repair_action,freight_fe,222512.255,fe,222512.26,0.0000
S041,intangible,repair_action,reputation_fe,568642.431,fe,568642.43,0.0000
S042,material,automaton_field,automaton_optic_lens,42.000,pcs,37800.00,1.8900
S042,material,automaton_field,automaton_optic_lens,78.000,pcs,70200.00,3.5100
S042,material,automaton_field,automaton_contact_comb,282.000,pcs,67680.00,3.3840
S042,material,automaton_field,automaton_gyroscope,37.000,pcs,35150.00,1.7575
S042,material,automaton_field,automaton_servo_joint,22.000,pcs,17600.00,0.8800
S042,intangible,combat_action,freight_fe,535937.965,fe,535937.96,0.0000
S042,intangible,combat_action,reputation_fe,36541.229,fe,36541.23,0.0000
S043,material,dense_rustwort,iron,37240.832,kg,744816.64,37.2408
S043,material,dense_rustwort,charcoal,2482.722,kg,24827.22,2.4827
S043,material,dense_rustwort,calcite,4965.444,kg,198617.77,4.9654
S043,intangible,mining_action,freight_fe,192603.370,fe,192603.37,0.0000
S043,intangible,mining_action,reputation_fe,27514.764,fe,27514.76,0.0000
S044,material,courier_contract,mechanisms,58.419,crate,35051.15,0.2921
S044,material,courier_contract,munition_bundle,19.544,crate,17589.47,0.0977
S044,material,courier_contract,weapon,10.653,crate,12783.47,0.0533
S044,material,courier_contract,perfcards,4.672,crate,10279.28,0.0047
S044,intangible,courier_action,freight_fe,154310.363,fe,154310.36,0.0000
S044,intangible,courier_action,reputation_fe,202532.354,fe,202532.35,0.0000
S045,material,swiftling,leviathan_meat,1099.551,kg,16493.26,1.0996
S045,material,swiftling,leviathan_fat,565.483,kg,45238.66,0.5655
S045,material,swiftling,leviathan_hide,251.326,kg,150795.52,0.2513
S045,material,swiftling,leviathan_sinew,157.079,kg,43982.03,0.1571
S045,material,swiftling,leviathan_ichor,62.831,kg,28274.16,0.0628
S045,material,swiftling,amber,6.283,kg,15707.87,0.0063
S045,material,shellback,leviathan_meat,751.690,kg,11275.35,0.7517
S045,material,shellback,leviathan_fat,300.676,kg,24054.08,0.3007
S045,material,shellback,leviathan_hide,451.014,kg,270608.38,0.4510
S045,material,shellback,leviathan_sinew,225.507,kg,63141.96,0.2255
S045,material,shellback,bone_grit,150.338,kg,4510.14,0.1503
S045,material,shellback,leviathan_ichor,75.169,kg,33826.05,0.0752
S045,material,shellback,amber,7.517,kg,18792.25,0.0075
S045,intangible,hunting_action,freight_fe,176757.453,fe,176757.45,0.0000
S045,intangible,hunting_action,reputation_fe,19639.716,fe,19639.72,0.0000
S046,material,automaton_field,automaton_mainspring,474.000,pcs,260700.00,13.0350
S046,material,automaton_field,automaton_core,97.000,pcs,232800.00,2.6675
S046,material,automaton_field,automaton_servo_core,103.000,pcs,164800.00,6.9525
S046,intangible,salvage_action,freight_fe,177002.736,fe,177002.74,0.0000
S046,intangible,salvage_action,reputation_fe,19666.971,fe,19666.97,0.0000
S047,material,stone_codex,relic_medium,1.000,pcs,156859.15,0.2200
S047,material,brass_catalog,relic_medium,1.000,pcs,192089.14,0.3000
S047,material,stone_codex,relic_medium,1.000,pcs,148632.25,0.2200
S047,material,chronograph_cabinet,relic_valuable,1.000,pcs,242798.03,0.6500
S047,intangible,relic_action,freight_fe,105013.233,fe,105013.23,0.0000
S047,intangible,relic_action,reputation_fe,46672.546,fe,46672.55,0.0000
S048,material,courier_contract,mechanisms,100.467,crate,60280.07,0.5023
S048,material,courier_contract,munition_bundle,31.877,crate,28689.55,0.1594
S048,material,courier_contract,weapon,13.714,crate,16456.53,0.0686
S048,material,courier_contract,perfcards,7.166,crate,15764.63,0.0072
S048,intangible,courier_action,freight_fe,272794.901,fe,272794.90,0.0000
S048,intangible,courier_action,reputation_fe,358043.308,fe,358043.31,0.0000
S049,material,repair_contract,mechanisms,203.449,crate,122069.27,1.0172
S049,material,repair_contract,munition_bundle,60.761,crate,54684.98,0.3038
S049,material,repair_contract,perfcards,19.813,crate,43588.37,0.0198
S049,material,repair_contract,nobel,19.188,crate,28782.13,0.0192
S049,intangible,repair_action,freight_fe,212982.730,fe,212982.73,0.0000
S049,intangible,repair_action,reputation_fe,544289.197,fe,544289.20,0.0000
S050,material,automaton_field,automaton_logic_drum,30.000,pcs,33000.00,1.6500
S050,material,automaton_field,automaton_command_cylinder,51.000,pcs,66300.00,3.1875
S050,material,automaton_field,automaton_servo_joint,41.000,pcs,32800.00,1.6400
S050,material,automaton_field,automaton_contact_comb,90.000,pcs,21600.00,1.0800
S050,intangible,combat_action,freight_fe,392016.194,fe,392016.19,0.0000
S050,intangible,combat_action,reputation_fe,26728.380,fe,26728.38,0.0000
S051,material,automaton_field,automaton_relay,117.000,pcs,23400.00,1.1700
S051,material,automaton_field,automaton_optic_lens,45.000,pcs,40500.00,2.0250
S051,material,automaton_field,automaton_calibration_gear,41.000,pcs,28700.00,1.4350
S051,intangible,combat_action,freight_fe,263039.588,fe,263039.59,0.0000
S051,intangible,combat_action,reputation_fe,17934.515,fe,17934.52,0.0000
S052,material,moon_salt,magnesium,368.003,kg,14720.13,0.3680
S052,material,moon_salt,calcite,220.802,kg,8832.08,0.2208
S052,material,moon_salt,sylvine,1472.013,kg,73600.64,1.4720
S052,material,moon_salt,claudium,368.003,kg,44160.39,0.3680
S052,material,moon_salt,gems,14.720,kg,26496.23,0.0147
S052,material,light_tuff,magnesium,2994.070,kg,119762.80,2.9941
S052,material,light_tuff,quartz,1197.628,kg,35928.84,1.1976
S052,material,light_tuff,calcite,598.814,kg,23952.56,0.5988
S052,material,light_tuff,gems,14.970,kg,26946.63,0.0150
S052,material,needle_chalk,magnesium,1223.866,kg,48954.64,1.2239
S052,material,needle_chalk,quartz,2447.732,kg,73431.96,2.4477
S052,material,needle_chalk,calcite,367.160,kg,14686.39,0.3672
S052,material,needle_chalk,gems,12.239,kg,22029.59,0.0122
S052,material,light_tuff,magnesium,2611.648,kg,104465.91,2.6116
S052,material,light_tuff,quartz,1044.659,kg,31339.77,1.0447
S052,material,light_tuff,calcite,522.330,kg,20893.18,0.5223
S052,material,light_tuff,gems,13.058,kg,23504.83,0.0131
S052,intangible,mining_action,freight_fe,134805.332,fe,134805.33,0.0000
S052,intangible,mining_action,reputation_fe,19257.902,fe,19257.90,0.0000
S053,material,green_bloom,aerosil,4244.149,kg,84882.98,4.2441
S053,material,green_bloom,ionide,3472.486,kg,833396.54,3.4725
S053,material,amber_haze,vespar,1494.580,kg,119566.42,1.4946
S053,material,amber_haze,fulgur,996.387,kg,179349.62,0.9964
S053,intangible,gas_action,freight_fe,205849.723,fe,205849.72,0.0000
S053,intangible,gas_action,reputation_fe,31669.191,fe,31669.19,0.0000
S054,material,reef_cutter,leviathan_meat,2036.148,kg,30542.22,2.0361
S054,material,reef_cutter,leviathan_fat,848.395,kg,67871.60,0.8484
S054,material,reef_cutter,leviathan_hide,1018.074,kg,610844.36,1.0181
S054,material,reef_cutter,leviathan_sinew,1018.074,kg,285060.70,1.0181
S054,material,reef_cutter,bone_grit,254.518,kg,7635.55,0.2545
S054,material,reef_cutter,acid,339.358,kg,61084.44,0.3394
S054,material,reef_cutter,leviathan_ichor,254.518,kg,114533.32,0.2545
S054,material,reef_cutter,amber,33.936,kg,84839.50,0.0339
S054,material,acid_spitter,leviathan_meat,302.060,kg,4530.90,0.3021
S054,material,acid_spitter,leviathan_fat,109.840,kg,8787.19,0.1098
S054,material,acid_spitter,leviathan_hide,109.840,kg,65903.96,0.1098
S054,material,acid_spitter,acid,192.220,kg,34599.58,0.1922
S054,material,acid_spitter,leviathan_ichor,68.650,kg,30892.48,0.0686
S054,material,acid_spitter,amber,5.492,kg,13729.99,0.0055
S054,intangible,hunting_action,freight_fe,377901.418,fe,377901.42,0.0000
