rank,faction_id,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
3,stone_vault,7,7230.21,4285.54,1604.84,2812.69,2812.69,7230.21,18297.14,36594.29,27445.71,4.26,6.40,2.58,3.86,0.43,0.64,4.24,6.36,2.28,3.42
3,wind_houses,9,8265.29,3744.51,730.89,3767.20,3767.20,8265.29,18258.89,36517.78,27388.33,4.82,7.24,2.17,3.26,0.48,0.72,4.86,7.30,2.12,3.18
4,capital,11,15791.92,8536.25,2276.13,6757.89,6757.89,15791.92,45248.64,175761.82,81447.55,5.34,9.60,2.89,5.20,0.53,0.96,5.10,9.17,2.70,4.87
4,devourers,8,15120.63,9013.12,3028.13,6046.25,6046.25,15120.63,45330.88,175363.50,81595.57,5.04,9.07,3.02,5.45,0.50,0.91,4.96,8.93,2.81,5.06
4,factory_ark,8,14458.08,8479.92,3523.48,5467.30,5467.30,14458.08,45784.00,182226.00,82411.20,5.73,10.32,3.17,5.70,0.57,1.03,5.19,9.34,3.02,5.42
4,mist_synod,8,15021.88,8539.50,3077.71,5972.09,5972.09,15021.88,45976.62,180761.50,82757.93,5.41,9.73,3.12,5.62,0.54,0.97,5.18,9.31,2.75,4.95
4,stone_vault,7,13947.50,9537.00,4230.20,4858.65,4858.65,13947.50,45820.14,175160.57,82476.26,4.76,8.56,3.34,6.01,0.47,0.85,4.79,8.62,3.45,6.20
4,wind_houses,9,15834.22,8153.42,2186.06,6824.08,6824.08,15834.22,45040.00,177155.56,81072.00,5.52,9.94,2.85,5.13,0.55,0.99,5.79,10.42,2.62,4.72
5,capital,11,32864.90,17387.28,4845.93,14009.49,14009.49,32864.90,112289.73,443937.09,247037.40,6.60,14.52,3.44,7.57,0.55,1.21,6.12,13.47,3.25,7.16
5,devourers,8,29695.31,19962.82,7770.92,10962.19,10962.19,29695.31,111834.62,437468.50,246036.17,5.51,12.13,3.76,8.28,0.46,1.01,5.40,11.89,3.60,7.92
5,factory_ark,8,29234.50,15509.37,7210.48,11012.01,11012.01,29234.50,110352.00,441408.00,242774.40,7.76,17.07,3.77,8.30,0.65,1.42,6.96,15.30,3.56,7.83
5,mist_synod,8,31534.43,17609.84,6688.48,12422.98,12422.98,31534.43,116033.50,461574.00,255273.70,6.79,14.94,3.74,8.23,0.57,1.25,6.18,13.57,3.30,7.28
5,stone_vault,7,27715.94,20524.19,10359.06,8678.44,8678.44,27715.94,113707.57,443338.86,250156.66,5.44,11.96,4.13,9.08,0.45,1.00,5.25,11.56,4.07,8.96
5,wind_houses,9,32713.44,17645.59,4730.05,13991.69,13991.69,32713.44,112237.56,446052.44,246922.62,6.36,14.00,3.43,7.55,0.53,1.17,6.11,13.43,3.26,7.16
6,capital,11,66546.75,35501.21,9873.86,28336.44,28336.44,66546.75,280220.64,1761238.91,728573.65,8.12,21.12,4.24,11.03,0.68,1.76,7.50,19.50,4.06,10.57
6,devourers,8,61869.38,41578.12,16053.06,22908.16,22908.16,61869.38,285080.12,1790690.50,741208.32,6.76,17.57,4.62,12.02,0.56,1.46,6.60,17.16,4.44,11.54
6,factory_ark,8,61579.84,32584.27,15114.42,23232.71,23232.71,61579.84,284801.38,1718101.00,740483.58,9.50,24.71,4.63,12.03,0.79,2.06,8.50,22.12,4.35,11.29
6,mist_synod,8,64359.08,35754.69,13691.28,25333.90,25333.90,64359.08,290792.25,1840627.00,756059.85,8.34,21.68,4.61,11.98,0.70,1.81,7.67,19.94,4.02,10.45
6,stone_vault,7,57336.32,42322.37,21097.96,18119.18,18119.18,57336.32,290628.57,1860501.71,755634.29,6.78,17.62,5.15,13.38,0.56,1.47,6.75,17.54,5.04,13.10
6,wind_houses,9,65278.15,39263.65,12847.00,26215.57,26215.57,65278.15,291848.33,1795562.22,758805.67,7.43,19.32,4.54,11.81,0.62,1.61,7.27,18.91,4.12,10.72
7,capital,11,136344.73,74767.77,21033.53,57655.60,57655.60,136344.73,714154.45,4495130.91,2285294.25,9.83,31.47,5.27,16.87,0.82,2.62,9.60,30.72,4.99,15.96
7,devourers,8,127391.03,85879.02,33393.64,46998.70,46998.70,127391.03,718398.25,4539596.00,2298874.40,8.29,26.51,5.65,18.06,0.69,2.21,8.00,25.57,5.40,17.28
7,factory_ark,8,127508.80,67445.23,31215.04,48146.89,48146.89,127508.80,721529.50,4344585.00,2308894.40,11.69,37.41,5.67,18.16,0.97,3.12,10.32,33.03,5.29,16.91
7,mist_synod,8,130352.90,77042.36,33934.59,48209.15,48209.15,130352.90,756216.62,4821209.00,2419893.20,10.03,32.10,5.90,18.89,0.84,2.68,9.38,29.99,5.40,17.28
7,stone_vault,7,120345.35,82388.70,36738.37,41803.49,41803.49,120345.35,709531.29,4594896.57,2270500.11,8.54,27.34,5.98,19.12,0.71,2.28,8.34,26.70,6.30,20.17
7,wind_houses,9,130284.34,82029.12,27070.57,51606.89,51606.89,130284.34,712999.78,4428031.11,2281599.29,8.63,27.60,5.49,17.57,0.72,2.30,8.77,28.08,5.00,15.99
8,capital,11,279564.89,153840.12,43890.27,117837.31,117837.31,279564.89,1869585.73,16222173.09,7104425.76,12.54,47.66,6.69,25.44,0.84,3.18,12.49,47.46,6.15,23.35
8,devourers,8,258504.48,173457.25,67342.67,95580.90,95580.90,258504.48,1833741.25,15860469.00,6968216.75,10.47,39.80,7.12,27.07,0.70,2.65,9.89,37.59,6.88,26.12
8,factory_ark,8,263927.72,141549.16,65675.73,99126.00,99126.00,263927.72,1884563.62,16047650.00,7161341.78,14.80,56.25,7.16,27.18,0.99,3.75,13.44,51.07,6.61,25.11
8,mist_synod,8,255708.11,159637.36,69410.14,93148.98,93148.98,255708.11,1883293.00,16381906.00,7156513.40,12.08,45.91,7.49,28.45,0.81,3.06,11.30,42.95,7.30,27.73
8,stone_vault,7,241163.73,178369.51,89608.55,75777.59,75777.59,241163.73,1934344.86,16871904.00,7350510.46,10.65,40.48,8.07,30.68,0.71,2.70,10.21,38.79,8.22,31.25
8,wind_houses,9,272567.91,153071.74,53570.49,109498.71,109498.71,272567.91,1894379.11,16244475.56,7198640.62,12.95,49.23,7.03,26.71,0.86,3.28,11.61,44.13,6.24,23.70
9,capital,11,592552.71,325876.72,92274.24,250139.24,250139.24,592552.71,4673490.55,40767622.55,20563358.40,14.74,64.84,7.89,34.72,0.98,4.32,14.33,63.04,7.45,32.77
9,devourers,8,521694.30,374462.03,163072.36,179310.97,179310.97,521694.30,4551410.88,39875218.00,20026207.85,11.95,52.56,8.78,38.61,0.80,3.50,11.61,51.05,8.38,36.86
9,factory_ark,8,541024.69,288653.61,133226.81,203898.94,203898.94,541024.69,4577891.12,39297473.00,20142720.95,17.45,76.80,8.46,37.22,1.16,5.12,15.57,68.52,7.96,35.05
9,mist_synod,8,547942.25,342446.68,148806.12,199568.07,199568.07,547942.25,4771183.25,41960103.00,20993206.30,14.29,62.86,8.85,38.96,0.95,4.19,13.20,58.08,8.40,36.97
9,stone_vault,7,522347.06,355930.22,156971.18,182687.94,182687.94,522347.06,4634637.57,40780510.86,20392405.31,12.92,56.85,9.01,39.63,0.86,3.79,12.12,53.31,9.54,41.98
9,wind_houses,9,564860.44,331283.31,115466.44,224697.00,224697.00,564860.44,4661233.22,40510119.11,20509426.18,14.75,64.89,8.32,36.59,0.98,4.33,13.24,58.28,7.56,33.28
10,capital,11,1212045.72,693420.03,196932.04,507556.84,507556.84,1212045.72,17121702.09,101423322.55,85608510.45,25.79,128.97,14.16,70.81,1.72,8.60,24.57,122.87,13.45,67.26
10,devourers,8,1092083.85,781958.14,336868.22,377607.82,377607.82,1092083.85,17186036.00,102401109.50,85930180.00,21.87,109.34,16.10,80.52,1.46,7.29,21.24,106.19,15.78,78.92
10,factory_ark,8,1119626.96,603733.10,282797.09,418414.93,418414.93,1119626.96,17196839.88,100763130.00,85984199.38,32.30,161.52,15.42,77.08,2.15,10.77,28.29,141.41,14.59,72.94
10,mist_synod,8,1107397.88,688102.08,297712.53,404842.67,404842.67,1107397.88,17241690.00,103289485.50,86208450.00,25.96,129.83,16.00,80.00,1.73,8.65,23.36,116.82,14.64,73.19
10,stone_vault,7,1081719.52,738703.25,330891.43,375414.04,375414.04,1081719.52,17173140.29,102940647.43,85865701.43,23.40,116.98,16.19,80.95,1.56,7.80,22.49,112.46,15.80,78.99
10,wind_houses,9,1174098.87,693512.86,246163.95,463967.46,463967.46,1174098.87,17180143.33,101288044.89,85900716.67,26.20,131.01,14.71,73.55,1.75,8.73,23.20,116.00,13.32,66.58
