rank,ship_class_id,producer_building_id,scenario_id,scenario_ru,ship_count,avg_final_assembly_min,min_total_work_min,avg_total_work_min,median_total_work_min,max_total_work_min,min_staged_parallel_min,avg_staged_parallel_min,median_staged_parallel_min,max_staged_parallel_min,avg_total_work_hours,avg_staged_parallel_hours
3,frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",16,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38,0.16,0.16
3,frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",16,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,0.04,0.04
4,battleship,battleship_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",12,22.50,1820.00,2106.04,2137.50,2292.50,1252.50,1529.79,1546.25,1740.00,35.10,25.50
4,battleship,battleship_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",12,6.00,254.75,294.68,302.74,320.74,175.41,212.26,212.43,242.08,4.91,3.54
4,cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",23,22.50,1300.00,1497.93,1500.00,1727.50,707.50,1005.33,1032.50,1310.00,24.97,16.76
4,cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",23,6.00,187.39,215.03,214.07,254.06,105.30,142.89,144.07,186.06,3.58,2.38
4,frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",16,22.50,1017.50,1154.06,1121.25,1307.50,595.00,812.19,825.00,930.00,19.23,13.54
4,frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",16,6.00,148.71,167.44,163.67,193.35,88.64,116.66,118.72,137.39,2.79,1.94
5,battleship,battleship_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",12,56.25,5006.25,5308.33,5281.25,5738.75,3198.75,3801.88,3826.25,4143.75,88.47,63.36
5,battleship,battleship_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",12,15.00,685.90,727.47,726.24,782.50,439.86,520.89,524.59,567.88,12.12,8.68
5,cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",23,56.25,3108.75,3737.55,3743.75,4376.25,1761.25,2511.58,2608.75,2993.75,62.29,41.86
5,cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",23,15.00,435.11,518.52,519.14,607.12,248.92,348.90,361.81,411.81,8.64,5.82
5,frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",16,56.25,2491.25,2752.97,2745.00,3146.25,1423.75,1918.75,1951.25,2203.75,45.88,31.98
5,frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",16,15.00,351.78,387.27,383.70,437.74,207.61,270.08,275.77,307.76,6.45,4.50
6,battleship,battleship_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",12,150.00,34497.50,38975.62,39607.50,41887.50,27432.50,31810.00,32651.25,33800.00,649.59,530.17
6,battleship,battleship_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",12,40.00,3645.91,4117.50,4181.40,4428.03,3036.56,3532.28,3634.71,3779.37,68.63,58.87
6,cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",23,150.00,20522.50,24736.41,25042.50,28195.00,14682.50,19814.35,20050.00,23427.50,412.27,330.24
6,cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",23,40.00,2202.97,2630.28,2674.57,3003.94,1666.33,2209.11,2262.52,2589.96,43.84,36.82
6,frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",16,150.00,13527.50,16875.78,16593.75,19627.50,9410.00,13049.53,12847.50,16292.50,281.26,217.49
6,frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",16,40.00,1452.88,1801.44,1774.64,2089.08,1072.24,1465.37,1428.01,1817.76,30.02,24.42
7,battleship,battleship_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",12,337.50,83980.00,99868.96,99353.75,111105.00,66820.00,81248.75,82027.50,89402.50,1664.48,1354.15
7,battleship,battleship_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",12,90.00,8866.67,10502.64,10444.00,11639.43,7386.63,8991.14,9050.33,9910.48,175.04,149.85
7,cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",23,337.50,51752.50,62079.13,60092.50,76187.50,36785.00,49537.61,49740.00,62100.00,1034.65,825.63
7,cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",23,90.00,5515.41,6559.85,6366.34,8055.55,4161.49,5494.95,5525.20,6936.28,109.33,91.58
7,frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",16,337.50,36277.50,41878.91,42113.75,50707.50,25442.50,32233.75,31998.75,41775.00,697.98,537.23
7,frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",16,90.00,3847.22,4437.29,4456.07,5370.43,2865.97,3595.05,3570.07,4632.47,73.95,59.92
8,battleship,battleship_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",12,675.00,245565.00,258276.04,257340.00,282482.50,168057.50,182292.29,181131.25,199492.50,4304.60,3038.20
8,battleship,battleship_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",12,180.00,17833.37,19018.73,18779.77,20789.34,13528.72,14733.38,14556.35,16160.55,316.98,245.56
8,cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",23,675.00,130977.50,152564.13,153757.50,174967.50,76622.50,104357.50,105990.00,132120.00,2542.74,1739.29
8,cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",23,180.00,9188.81,11114.38,11163.75,13390.72,5815.58,8305.77,8188.19,10962.16,185.24,138.43
8,frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",16,675.00,92867.50,106157.03,107441.25,118942.50,52927.50,68399.38,69303.75,83152.50,1769.28,1139.99
8,frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",16,180.00,6023.17,7454.72,7386.00,8645.83,3713.90,5252.87,5195.70,6657.21,124.25,87.55
9,battleship,battleship_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",12,1237.50,573785.00,628237.50,634223.75,673755.00,383527.50,440800.00,438505.00,484452.50,10470.62,7346.67
9,battleship,battleship_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",12,330.00,40714.16,45065.87,44814.96,48318.01,29904.38,34723.98,34008.10,38731.36,751.10,578.73
9,cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",23,1237.50,296702.50,382090.43,384062.50,425602.50,174257.50,259288.80,269005.00,305450.00,6368.17,4321.48
9,cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",23,330.00,20476.45,26955.55,27590.60,30375.21,12982.00,19925.84,20493.26,24393.97,449.26,332.10
9,frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",16,1237.50,215350.00,259522.34,259997.50,306882.50,122410.00,170565.16,169661.25,219275.00,4325.37,2842.75
9,frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",16,330.00,14525.48,18098.60,18140.77,21960.48,8878.26,12930.78,12842.31,17185.25,301.64,215.51
10,battleship,battleship_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",12,2250.00,1392992.50,1514883.54,1504390.00,1635275.00,953997.50,1080615.00,1096591.25,1166247.50,25248.06,18010.25
10,battleship,battleship_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",12,600.00,103504.92,114485.17,114270.79,123913.41,78000.60,89582.76,91011.07,96933.63,1908.09,1493.05
10,cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",23,2250.00,755997.50,939098.37,938775.00,1084637.50,449087.50,652315.87,661425.00,790060.00,15651.64,10871.93
10,cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",23,600.00,54165.90,70110.89,69665.38,82924.21,34668.79,53205.15,54282.45,66219.95,1168.51,886.75
10,frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",16,2250.00,509532.50,628805.16,640802.50,746625.00,295590.00,421635.00,441795.00,544505.00,10480.09,7027.25
10,frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",16,600.00,35846.58,46354.93,46861.68,56819.35,22282.40,33867.53,35508.65,45332.19,772.58,564.46
