rank,primary_activity,ship_count,avg_total_value_fe,avg_liquid_fe,avg_material_value_fe,avg_intangible_value_fe,avg_destroyed_total_value_fe,avg_extracted_total_value_fe,avg_craft_full_eff_fe,avg_craft_raw_fe,avg_buy_estimate_fe,avg_craft_payback_sorties,avg_buy_payback_sorties,avg_craft_total_value_payback_sorties,avg_buy_total_value_payback_sorties,avg_craft_lifetimes_to_payback,avg_buy_lifetimes_to_payback,median_craft_payback_sorties,median_buy_payback_sorties,median_craft_total_value_payback_sorties,median_buy_total_value_payback_sorties
7,gas,3,101360.41,83377.11,62124.12,19618.14,19618.14,101360.41,771407.67,4941461.33,2468504.53,9.00,28.80,7.40,23.69,0.75,2.40,8.38,26.83,6.90,22.07
7,hunting,3,108699.95,88632.26,58530.74,25084.60,25084.60,108699.95,769451.00,4862453.33,2462243.20,8.52,27.27,6.95,22.23,0.71,2.27,8.01,25.62,6.53,20.89
7,mining,5,104324.00,87497.55,63940.51,20191.74,20191.74,104324.00,824068.80,5344020.00,2637020.16,9.33,29.84,7.82,25.03,0.78,2.49,8.77,28.08,7.36,23.55
7,relic,1,108305.34,35562.95,53344.42,27480.46,27480.46,108305.34,705210.00,4068280.00,2256672.00,19.83,63.46,6.51,20.84,1.65,5.29,19.83,63.46,6.51,20.84
7,repair,4,140462.42,45768.65,17360.52,61550.94,61550.94,140462.42,683172.00,4207706.00,2186150.40,14.87,47.59,4.84,15.51,1.24,3.97,15.36,49.16,5.00,16.02
7,salvage,3,112023.91,88261.26,57709.29,27157.31,27157.31,112023.91,867999.67,5475944.00,2777598.93,9.54,30.55,7.52,24.07,0.80,2.55,10.72,34.31,8.45,27.04
8,combat,20,290633.98,187666.51,41519.14,124557.42,124557.42,290633.98,1933551.90,16699566.00,7347497.22,10.19,38.74,6.58,25.02,0.68,2.58,9.86,37.45,6.36,24.18
8,courier,10,268386.52,114608.30,21761.07,123312.73,123312.73,268386.52,1449011.50,12434928.80,5506243.70,12.62,47.95,5.39,20.47,0.84,3.20,12.37,46.98,5.28,20.06
8,gas,3,201626.80,165854.30,123577.71,39024.54,39024.54,201626.80,1917399.00,16629528.00,7286116.20,11.28,42.86,9.28,35.26,0.75,2.86,9.89,37.57,8.13,30.90
8,hunting,3,219107.27,178656.70,117980.84,50563.22,50563.22,219107.27,1950598.67,16912493.33,7412274.93,10.70,40.64,8.72,33.14,0.71,2.71,9.92,37.68,8.08,30.72
8,mining,6,212199.17,177973.50,130057.55,41070.81,41070.81,212199.17,2082979.67,18177673.33,7915322.73,11.48,43.62,9.63,36.58,0.77,2.91,11.05,42.00,9.27,35.22
8,relic,1,221908.79,72865.57,109298.36,56305.22,56305.22,221908.79,1889969.00,15449864.00,7181882.20,25.94,98.56,8.52,32.36,1.73,6.57,25.94,98.56,8.52,32.36
8,repair,5,295087.39,96152.07,36471.48,129307.96,129307.96,295087.39,1953762.00,16938979.20,7424295.60,20.08,76.29,6.54,24.86,1.34,5.09,18.52,70.37,6.03,22.93
8,salvage,3,237435.25,187070.20,122315.13,57560.06,57560.06,237435.25,2348749.67,20296746.67,8925248.73,12.27,46.62,9.67,36.73,0.82,3.11,13.73,52.17,10.82,41.10
9,combat,21,612351.10,395403.85,87478.73,262436.19,262436.19,612351.10,4830001.10,42081738.29,21252004.82,12.06,53.06,7.79,34.26,0.80,3.54,11.64,51.23,7.52,33.08
9,courier,9,559252.29,238815.84,45344.78,256953.75,256953.75,559252.29,3543036.33,30437872.89,15589359.87,14.74,64.88,6.30,27.70,0.98,4.32,14.09,62.00,6.02,26.48
9,gas,3,431944.91,355309.52,264740.43,83602.24,83602.24,431944.91,4816589.00,42488829.33,21192991.60,13.34,58.71,10.98,48.30,0.89,3.91,12.18,53.59,10.02,44.09
9,hunting,3,457170.23,372769.57,246168.59,105500.82,105500.82,457170.23,4892805.00,42969333.33,21528342.00,12.89,56.73,10.51,46.26,0.86,3.78,12.37,54.43,10.09,44.38
9,mining,6,432100.84,362407.16,264836.00,83632.42,83632.42,432100.84,4950802.67,43634753.33,21783531.73,13.38,58.88,11.22,49.38,0.89,3.93,12.98,57.10,10.88,47.89
9,relic,1,455319.79,149507.99,224261.98,115528.90,115528.90,455319.79,4289543.00,35255760.00,18873989.20,28.69,126.24,9.42,41.45,1.91,8.42,28.69,126.24,9.42,41.45
9,repair,5,620009.53,202025.58,76630.39,271689.57,271689.57,620009.53,4859258.60,42736576.00,21380737.84,23.79,104.66,7.75,34.11,1.59,6.98,23.16,101.91,7.55,33.21
9,salvage,3,478527.15,377021.39,246513.99,116006.58,116006.58,478527.15,5423218.67,47593946.67,23862162.13,14.07,61.90,11.08,48.77,0.94,4.12,15.94,70.11,12.55,55.24
10,combat,22,1259556.50,813313.62,179936.64,539809.93,539809.93,1259556.50,17519093.55,104359970.18,87595467.73,21.45,107.22,13.85,69.24,1.43,7.15,21.05,105.21,13.59,67.94
10,courier,8,1128850.64,482049.73,91528.43,518661.10,518661.10,1128850.64,13941727.75,74243599.00,69708638.75,28.92,144.60,12.35,61.75,1.93,9.64,28.75,143.72,12.28,61.37
10,gas,3,858138.01,705887.72,525955.56,166091.23,166091.23,858138.01,17310113.67,103836409.33,86550568.33,24.27,121.35,19.96,99.82,1.62,8.09,22.90,114.48,18.83,94.17
10,hunting,3,930610.92,758805.83,501098.19,214756.37,214756.37,930610.92,17600960.33,106403450.67,88004801.67,23.03,115.13,18.78,93.88,1.53,7.67,22.18,110.91,18.09,90.43
10,mining,6,916878.30,768994.71,561957.67,177460.32,177460.32,916878.30,18205162.67,111954233.33,91025813.33,23.51,117.55,19.72,98.59,1.57,7.84,22.84,114.23,19.16,95.81
10,relic,1,960429.13,315364.79,473047.18,243690.97,243690.97,960429.13,16851352.00,94220848.00,84256760.00,53.43,267.17,17.55,87.73,3.56,17.81,53.43,267.17,17.55,87.73
10,repair,5,1251781.08,407883.72,154714.52,548533.28,548533.28,1251781.08,17422828.40,104983273.60,87114142.00,42.55,212.76,13.87,69.33,2.84,14.18,41.28,206.41,13.45,67.26
10,salvage,3,1065466.53,839458.48,548876.70,258294.91,258294.91,1065466.53,20428316.67,129337650.67,102141583.33,24.05,120.23,18.95,94.73,1.60,8.01,25.39,126.95,20.00,100.02
