recipe_id,ship_id,local_name_ru,rank,faction_id,ship_class_id,role_id,branch_id,producer_building_id,scenario_id,scenario_ru,economy_level,time_level,building_level,final_assembly_min,item_work_min,total_work_min,staged_parallel_min,total_work_hours,staged_parallel_hours,metallurgy_min,chemical_reactor_min,construction_min,mechanical_min,instrumentation_min,assembly_min
craft_capital_patrol_frigate_r07,capital_patrol_frigate_r07,Ястреб,7,capital,frigate,patrol,patrol_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,337.50,50370.00,50707.50,41775.00,845.12,696.25,15817.50,7047.50,25620.00,1335.00,550.00,0.00
craft_capital_patrol_frigate_r07,capital_patrol_frigate_r07,Ястреб,7,capital,frigate,patrol,patrol_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,90.00,5280.43,5370.43,4632.47,89.51,77.21,1126.30,486.59,3416.17,178.02,73.35,0.00
craft_capital_patrol_frigate_r08,capital_patrol_frigate_r08,Сокол,8,capital,frigate,patrol,patrol_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,675.00,109220.00,109895.00,79455.00,1831.58,1324.25,32245.00,15520.00,42010.00,9040.00,5880.00,4525.00
craft_capital_patrol_frigate_r08,capital_patrol_frigate_r08,Сокол,8,capital,frigate,patrol,patrol_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,180.00,8258.52,8438.52,6617.89,140.64,110.30,1570.45,733.90,4264.10,650.71,436.02,603.34
craft_capital_patrol_frigate_r09,capital_patrol_frigate_r09,Кречет,9,capital,frigate,patrol,patrol_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,1237.50,289767.50,291005.00,211295.00,4850.08,3521.58,87757.50,40980.00,108500.00,25250.00,13480.00,13800.00
craft_capital_patrol_frigate_r09,capital_patrol_frigate_r09,Кречет,9,capital,frigate,patrol,patrol_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,330.00,21006.00,21336.00,16828.14,355.60,280.47,4366.00,1824.43,10292.11,1784.77,898.66,1840.03
craft_capital_patrol_frigate_r10,capital_patrol_frigate_r10,Орлан,10,capital,frigate,patrol,patrol_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,2250.00,656272.50,658522.50,481122.50,10975.38,8018.71,205612.50,90010.00,245210.00,54910.00,32480.00,28050.00
craft_capital_patrol_frigate_r10,capital_patrol_frigate_r10,Орлан,10,capital,frigate,patrol,patrol_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,600.00,49836.38,50436.38,39857.93,840.61,664.30,11134.83,4122.79,24383.04,4070.24,2385.42,3740.06
craft_capital_recon_frigate_r02,capital_recon_frigate_r02,Фонарщик,2,capital,frigate,recon,recon_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,4.00,0.00,4.00,4.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_recon_frigate_r02,capital_recon_frigate_r02,Фонарщик,2,capital,frigate,recon,recon_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,1.07,0.00,1.07,1.07,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_recon_frigate_r03,capital_recon_frigate_r03,Лучник,3,capital,frigate,recon,recon_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,9.38,0.00,9.38,9.38,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_recon_frigate_r03,capital_recon_frigate_r03,Лучник,3,capital,frigate,recon,recon_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,2.50,0.00,2.50,2.50,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_recon_frigate_r04,capital_recon_frigate_r04,Искатель,4,capital,frigate,recon,recon_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,22.50,1260.00,1282.50,897.50,21.38,14.96,875.00,385.00,0.00,0.00,0.00,0.00
craft_capital_recon_frigate_r04,capital_recon_frigate_r04,Искатель,4,capital,frigate,recon,recon_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,6.00,176.70,182.70,128.04,3.05,2.13,122.04,54.66,0.00,0.00,0.00,0.00
craft_capital_recon_frigate_r05,capital_recon_frigate_r05,Визир,5,capital,frigate,recon,recon_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,56.25,3090.00,3146.25,2203.75,52.44,36.73,2147.50,942.50,0.00,0.00,0.00,0.00
craft_capital_recon_frigate_r05,capital_recon_frigate_r05,Визир,5,capital,frigate,recon,recon_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,15.00,422.74,437.74,307.76,7.30,5.13,292.76,129.98,0.00,0.00,0.00,0.00
craft_capital_recon_frigate_r06,capital_recon_frigate_r06,Дозор,6,capital,frigate,recon,recon_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,150.00,15992.50,16142.50,11960.00,269.04,199.33,4040.00,2917.50,7770.00,425.00,840.00,0.00
craft_capital_recon_frigate_r06,capital_recon_frigate_r06,Дозор,6,capital,frigate,recon,recon_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,40.00,1686.28,1726.28,1349.65,28.77,22.49,273.55,207.97,1036.10,56.67,111.99,0.00
craft_capital_recon_frigate_r07,capital_recon_frigate_r07,Лоцман,7,capital,frigate,recon,recon_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,337.50,41782.50,42120.00,30947.50,702.00,515.79,10600.00,7552.50,20010.00,1270.00,2350.00,0.00
craft_capital_recon_frigate_r07,capital_recon_frigate_r07,Лоцман,7,capital,frigate,recon,recon_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,90.00,4386.72,4476.72,3476.80,74.61,57.95,718.55,517.26,2668.25,169.34,313.32,0.00
craft_capital_recon_frigate_r08,capital_recon_frigate_r08,Следопыт,8,capital,frigate,recon,recon_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,675.00,108412.50,109087.50,69017.50,1818.12,1150.29,27062.50,18990.00,35630.00,9880.00,11200.00,5650.00
craft_capital_recon_frigate_r08,capital_recon_frigate_r08,Следопыт,8,capital,frigate,recon,recon_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,180.00,7262.04,7442.04,5102.14,124.03,85.04,1123.32,827.90,3045.48,658.70,853.30,753.34
craft_capital_recon_frigate_r09,capital_recon_frigate_r09,Горизонт,9,capital,frigate,recon,recon_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,1237.50,257615.00,258852.50,166035.00,4314.21,2767.25,66157.50,44157.50,85840.00,24060.00,24600.00,12800.00
craft_capital_recon_frigate_r09,capital_recon_frigate_r09,Горизонт,9,capital,frigate,recon,recon_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,330.00,17780.57,18110.57,12550.86,301.84,209.18,2808.32,1981.09,7705.86,1604.02,1974.60,1706.68
craft_capital_recon_frigate_r10,capital_recon_frigate_r10,Аргус,10,capital,frigate,recon,recon_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,2250.00,574295.00,576545.00,381812.50,9609.08,6363.54,154162.50,96162.50,200400.00,44500.00,54070.00,25000.00
craft_capital_recon_frigate_r10,capital_recon_frigate_r10,Аргус,10,capital,frigate,recon,recon_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,600.00,42958.09,43558.09,31534.74,725.97,525.58,7820.58,4576.79,19780.79,2966.70,4479.86,3333.37
craft_capital_cargo_frigate_r02,capital_cargo_frigate_r02,Возчик,2,capital,frigate,cargo,cargo_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,4.00,0.00,4.00,4.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_cargo_frigate_r02,capital_cargo_frigate_r02,Возчик,2,capital,frigate,cargo,cargo_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,1.07,0.00,1.07,1.07,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_cargo_frigate_r03,capital_cargo_frigate_r03,Тягун,3,capital,frigate,cargo,cargo_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,9.38,0.00,9.38,9.38,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_cargo_frigate_r03,capital_cargo_frigate_r03,Тягун,3,capital,frigate,cargo,cargo_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,2.50,0.00,2.50,2.50,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_cargo_frigate_r04,capital_cargo_frigate_r04,Купец,4,capital,frigate,cargo,cargo_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,22.50,1032.50,1055.00,867.50,17.58,14.46,845.00,187.50,0.00,0.00,0.00,0.00
craft_capital_cargo_frigate_r04,capital_cargo_frigate_r04,Купец,4,capital,frigate,cargo,cargo_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,6.00,143.36,149.36,120.71,2.49,2.01,114.71,28.65,0.00,0.00,0.00,0.00
craft_capital_cargo_frigate_r05,capital_cargo_frigate_r05,Подкова,5,capital,frigate,cargo,cargo_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,56.25,2572.50,2628.75,2023.75,43.81,33.73,1967.50,605.00,0.00,0.00,0.00,0.00
craft_capital_cargo_frigate_r05,capital_cargo_frigate_r05,Подкова,5,capital,frigate,cargo,cargo_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,15.00,352.07,367.07,284.44,6.12,4.74,269.44,82.63,0.00,0.00,0.00,0.00
craft_capital_cargo_frigate_r06,capital_cargo_frigate_r06,Артель,6,capital,frigate,cargo,cargo_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,150.00,19477.50,19627.50,15880.00,327.12,264.67,5770.00,3067.50,9960.00,570.00,110.00,0.00
craft_capital_cargo_frigate_r06,capital_cargo_frigate_r06,Артель,6,capital,frigate,cargo,cargo_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,40.00,2049.08,2089.08,1786.43,34.82,29.77,418.38,211.97,1328.05,76.01,14.67,0.00
craft_capital_cargo_frigate_r07,capital_cargo_frigate_r07,Снабженец,7,capital,frigate,cargo,cargo_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,337.50,48307.50,48645.00,38337.50,810.75,638.96,13170.00,7972.50,24830.00,1605.00,730.00,0.00
craft_capital_cargo_frigate_r07,capital_cargo_frigate_r07,Снабженец,7,capital,frigate,cargo,cargo_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,90.00,5051.52,5141.52,4284.89,85.69,71.41,884.10,545.27,3310.79,214.03,97.33,0.00
craft_capital_cargo_frigate_r08,capital_cargo_frigate_r08,Пристав,8,capital,frigate,cargo,cargo_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,675.00,109887.50,110562.50,71337.50,1842.71,1188.96,26742.50,19755.00,38170.00,11410.00,8060.00,5750.00
craft_capital_cargo_frigate_r08,capital_cargo_frigate_r08,Пристав,8,capital,frigate,cargo,cargo_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,180.00,7065.33,7245.33,5144.07,120.76,85.73,1098.76,787.24,3098.64,776.72,537.30,766.67
craft_capital_cargo_frigate_r09,capital_cargo_frigate_r09,Кладовщик,9,capital,frigate,cargo,cargo_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,1237.50,283357.50,284595.00,194335.00,4743.25,3238.92,73067.50,48350.00,107030.00,27630.00,14280.00,13000.00
craft_capital_cargo_frigate_r09,capital_cargo_frigate_r09,Кладовщик,9,capital,frigate,cargo,cargo_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,330.00,19538.91,19868.91,14931.78,331.15,248.86,3229.80,2052.40,9638.64,1932.79,951.94,1733.34
craft_capital_cargo_frigate_r10,capital_cargo_frigate_r10,Опора,10,capital,frigate,cargo,cargo_frigate,frigate_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,2250.00,696960.00,699210.00,487310.00,11653.50,8121.83,193225.00,113845.00,262560.00,67355.00,30700.00,29275.00
craft_capital_cargo_frigate_r10,capital_cargo_frigate_r10,Опора,10,capital,frigate,cargo,cargo_frigate,frigate_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,600.00,50913.65,51513.65,39426.80,858.56,657.11,9994.02,5057.35,24929.43,4982.94,2046.56,3903.35
craft_capital_artillery_cruiser_r02,capital_artillery_cruiser_r02,Барбет,2,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,4.00,0.00,4.00,4.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_artillery_cruiser_r02,capital_artillery_cruiser_r02,Барбет,2,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,1.07,0.00,1.07,1.07,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_artillery_cruiser_r03,capital_artillery_cruiser_r03,Калибр,3,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,9.38,0.00,9.38,9.38,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_artillery_cruiser_r03,capital_artillery_cruiser_r03,Калибр,3,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,2.50,0.00,2.50,2.50,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_artillery_cruiser_r04,capital_artillery_cruiser_r04,Бастион,4,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,22.50,1477.50,1500.00,1032.50,25.00,17.21,1010.00,467.50,0.00,0.00,0.00,0.00
craft_capital_artillery_cruiser_r04,capital_artillery_cruiser_r04,Бастион,4,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,6.00,210.08,216.08,146.08,3.60,2.43,140.08,70.00,0.00,0.00,0.00,0.00
craft_capital_artillery_cruiser_r05,capital_artillery_cruiser_r05,Громобой,5,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,56.25,3652.50,3708.75,2623.75,61.81,43.73,2567.50,1085.00,0.00,0.00,0.00,0.00
craft_capital_artillery_cruiser_r05,capital_artillery_cruiser_r05,Громобой,5,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,15.00,503.50,518.50,364.49,8.64,6.07,349.49,154.01,0.00,0.00,0.00,0.00
craft_capital_artillery_cruiser_r06,capital_artillery_cruiser_r06,Держава,6,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,150.00,24892.50,25042.50,21105.00,417.38,351.75,8175.00,3077.50,12780.00,320.00,540.00,0.00
craft_capital_artillery_cruiser_r06,capital_artillery_cruiser_r06,Держава,6,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,40.00,2634.57,2674.57,2342.59,44.58,39.04,598.57,217.30,1704.02,42.68,72.00,0.00
craft_capital_artillery_cruiser_r07,capital_artillery_cruiser_r07,Редут,7,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,337.50,58320.00,58657.50,49492.50,977.62,824.88,18975.00,7135.00,30180.00,720.00,1310.00,0.00
craft_capital_artillery_cruiser_r07,capital_artillery_cruiser_r07,Редут,7,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,90.00,6141.28,6231.28,5474.65,103.85,91.24,1360.61,485.93,4024.04,96.03,174.67,0.00
craft_capital_artillery_cruiser_r08,capital_artillery_cruiser_r08,Форпост,8,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,675.00,161760.00,162435.00,121982.50,2707.25,2033.04,48967.50,22632.50,65440.00,11320.00,6500.00,6900.00
craft_capital_artillery_cruiser_r08,capital_artillery_cruiser_r08,Форпост,8,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,180.00,12297.27,12477.27,10177.36,207.95,169.62,2569.40,1058.53,6507.94,808.06,433.32,920.02
craft_capital_artillery_cruiser_r09,capital_artillery_cruiser_r09,Триумф,9,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,1237.50,382350.00,383587.50,281607.50,6393.12,4693.46,115905.00,53660.00,146590.00,30100.00,18220.00,17875.00
craft_capital_artillery_cruiser_r09,capital_artillery_cruiser_r09,Триумф,9,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,330.00,28043.70,28373.70,22649.89,472.90,377.50,5879.24,2390.38,14057.27,2118.79,1214.64,2383.38
craft_capital_artillery_cruiser_r10,capital_artillery_cruiser_r10,Аврора,10,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,2250.00,978507.50,980757.50,731272.50,16345.96,12187.88,308592.50,133325.00,379530.00,67370.00,48790.00,40900.00
craft_capital_artillery_cruiser_r10,capital_artillery_cruiser_r10,Аврора,10,capital,cruiser,artillery,artillery_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,600.00,75714.72,76314.72,61780.41,1271.91,1029.67,17595.12,6171.91,38131.84,4838.35,3524.05,5453.45
craft_capital_light_recon_cruiser_r02,capital_light_recon_cruiser_r02,Дозорный,2,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,4.00,0.00,4.00,4.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_light_recon_cruiser_r02,capital_light_recon_cruiser_r02,Дозорный,2,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,1.07,0.00,1.07,1.07,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_light_recon_cruiser_r03,capital_light_recon_cruiser_r03,Радиант,3,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,9.38,0.00,9.38,9.38,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_light_recon_cruiser_r03,capital_light_recon_cruiser_r03,Радиант,3,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,2.50,0.00,2.50,2.50,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00
craft_capital_light_recon_cruiser_r04,capital_light_recon_cruiser_r04,Просвет,4,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,22.50,1552.50,1575.00,1102.50,26.25,18.38,1080.00,472.50,0.00,0.00,0.00,0.00
craft_capital_light_recon_cruiser_r04,capital_light_recon_cruiser_r04,Просвет,4,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,6.00,227.38,233.38,163.39,3.89,2.72,157.39,69.99,0.00,0.00,0.00,0.00
craft_capital_light_recon_cruiser_r05,capital_light_recon_cruiser_r05,Сигнал,5,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,56.25,4050.00,4106.25,2898.75,68.44,48.31,2842.50,1207.50,0.00,0.00,0.00,0.00
craft_capital_light_recon_cruiser_r05,capital_light_recon_cruiser_r05,Сигнал,5,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,15.00,551.46,566.46,401.14,9.44,6.69,386.14,165.32,0.00,0.00,0.00,0.00
craft_capital_light_recon_cruiser_r06,capital_light_recon_cruiser_r06,Вектор,6,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,150.00,22110.00,22260.00,17135.00,371.00,285.58,6015.00,3635.00,10970.00,420.00,1070.00,0.00
craft_capital_light_recon_cruiser_r06,capital_light_recon_cruiser_r06,Вектор,6,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,40.00,2324.39,2364.39,1918.42,39.41,31.97,415.66,247.30,1462.76,56.01,142.66,0.00
craft_capital_light_recon_cruiser_r07,capital_light_recon_cruiser_r07,Навигатор,7,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,337.50,58590.00,58927.50,45565.00,982.12,759.42,15887.50,9562.50,29340.00,920.00,2880.00,0.00
craft_capital_light_recon_cruiser_r07,capital_light_recon_cruiser_r07,Навигатор,7,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,90.00,6138.35,6228.35,5063.10,103.81,84.39,1060.86,658.58,3912.24,122.69,383.98,0.00
craft_capital_light_recon_cruiser_r08,capital_light_recon_cruiser_r08,Обсерватор,8,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,max_untrained_chain,"Максимум: все рецепты новые, все здания первого уровня",0,0,1,675.00,133927.50,134602.50,86997.50,2243.38,1449.96,33622.50,23695.00,46450.00,11640.00,12270.00,6250.00
craft_capital_light_recon_cruiser_r08,capital_light_recon_cruiser_r08,Обсерватор,8,capital,cruiser,light_recon,light_recon_cruiser,cruiser_yard,min_mastered_chain,"Минимум: все рецепты выучены, все здания тридцатого уровня",5,5,30,180.00,9543.64,9723.64,6846.46,162.06,114.11,1479.62,1105.20,4353.50,776.02,995.96,833.34
