recipe_id,economy_level,input_multiplier,input_ids,input_amounts,total_input_units
make_resin,2,1.60,vespar;leviathan_fat;acid,10;7;4,21
make_resin,3,1.40,vespar;leviathan_fat;acid,9;6;3,18
make_resin,4,1.20,vespar;leviathan_fat;acid,8;5;3,16
make_resin,5,1.00,vespar;leviathan_fat;acid,6;4;2,12
make_rubber,0,2.00,vespar;leviathan_hide;sylvine,10;4;6,20
make_rubber,1,1.80,vespar;leviathan_hide;sylvine,9;4;6,19
make_rubber,2,1.60,vespar;leviathan_hide;sylvine,8;4;5,17
make_rubber,3,1.40,vespar;leviathan_hide;sylvine,7;3;5,15
make_rubber,4,1.20,vespar;leviathan_hide;sylvine,6;3;4,13
make_rubber,5,1.00,vespar;leviathan_hide;sylvine,5;2;3,10
make_bakelite,0,2.00,aerosil;calcite;acid,16;10;4,30
make_bakelite,1,1.80,aerosil;calcite;acid,15;9;4,28
make_bakelite,2,1.60,aerosil;calcite;acid,13;8;4,25
make_bakelite,3,1.40,aerosil;calcite;acid,12;7;3,22
make_bakelite,4,1.20,aerosil;calcite;acid,10;6;3,19
make_bakelite,5,1.00,aerosil;calcite;acid,8;5;2,15
make_textolite,0,2.00,leviathan_hide;quartz;ionide,6;16;4,26
make_textolite,1,1.80,leviathan_hide;quartz;ionide,6;15;4,25
make_textolite,2,1.60,leviathan_hide;quartz;ionide,5;13;4,22
make_textolite,3,1.40,leviathan_hide;quartz;ionide,5;12;3,20
make_textolite,4,1.20,leviathan_hide;quartz;ionide,4;10;3,17
make_textolite,5,1.00,leviathan_hide;quartz;ionide,3;8;2,13
make_fluoroplastic,0,2.00,nulgas;acid;sylvine,6;10;10,26
make_fluoroplastic,1,1.80,nulgas;acid;sylvine,6;9;9,24
make_fluoroplastic,2,1.60,nulgas;acid;sylvine,5;8;8,21
make_fluoroplastic,3,1.40,nulgas;acid;sylvine,5;7;7,19
make_fluoroplastic,4,1.20,nulgas;acid;sylvine,4;6;6,16
make_fluoroplastic,5,1.00,nulgas;acid;sylvine,3;5;5,13
make_aramid,0,2.00,leviathan_sinew;fulgur;calcite,8;6;8,22
make_aramid,1,1.80,leviathan_sinew;fulgur;calcite,8;6;8,22
make_aramid,2,1.60,leviathan_sinew;fulgur;calcite,7;5;7,19
make_aramid,3,1.40,leviathan_sinew;fulgur;calcite,6;5;6,17
make_aramid,4,1.20,leviathan_sinew;fulgur;calcite,5;4;5,14
make_aramid,5,1.00,leviathan_sinew;fulgur;calcite,4;3;4,11
make_siloxane,0,2.00,quartz;vespar;acid,16;8;6,30
make_siloxane,1,1.80,quartz;vespar;acid,15;8;6,29
make_siloxane,2,1.60,quartz;vespar;acid,13;7;5,25
make_siloxane,3,1.40,quartz;vespar;acid,12;6;5,23
make_siloxane,4,1.20,quartz;vespar;acid,10;5;4,19
make_siloxane,5,1.00,quartz;vespar;acid,8;4;3,15
make_glass_ceramic,0,2.00,quartz;bone_grit;fulgur,20;12;4,36
make_glass_ceramic,1,1.80,quartz;bone_grit;fulgur,18;11;4,33
make_glass_ceramic,2,1.60,quartz;bone_grit;fulgur,16;10;4,30
make_glass_ceramic,3,1.40,quartz;bone_grit;fulgur,14;9;3,26
make_glass_ceramic,4,1.20,quartz;bone_grit;fulgur,12;8;3,23
make_glass_ceramic,5,1.00,quartz;bone_grit;fulgur,10;6;2,18
make_beam,0,2.00,steel;iron,16;32,48
make_beam,1,1.80,steel;iron,15;29,44
make_beam,2,1.60,steel;iron,13;26,39
make_beam,3,1.40,steel;iron,12;23,35
make_beam,4,1.20,steel;iron,10;20,30
make_beam,5,1.00,steel;iron,8;16,24
make_plating,0,2.00,steel;resin;magnesium,12;8;10,30
make_plating,1,1.80,steel;resin;magnesium,11;8;9,28
make_plating,2,1.60,steel;resin;magnesium,10;7;8,25
make_plating,3,1.40,steel;resin;magnesium,9;6;7,22
make_plating,4,1.20,steel;resin;magnesium,8;5;6,19
make_plating,5,1.00,steel;resin;magnesium,6;4;5,15
make_armor_plate,0,2.00,steel;bulat;bone_grit,24;10;16,50
make_armor_plate,1,1.80,steel;bulat;bone_grit,22;9;15,46
make_armor_plate,2,1.60,steel;bulat;bone_grit,20;8;13,41
make_armor_plate,3,1.40,steel;bulat;bone_grit,17;7;12,36
make_armor_plate,4,1.20,steel;bulat;bone_grit,15;6;10,31
make_armor_plate,5,1.00,steel;bulat;bone_grit,12;5;8,25
make_bulkhead,0,2.00,steel;bakelite;sylvine,16;8;10,34
make_bulkhead,1,1.80,steel;bakelite;sylvine,15;8;9,32
make_bulkhead,2,1.60,steel;bakelite;sylvine,13;7;8,28
make_bulkhead,3,1.40,steel;bakelite;sylvine,12;6;7,25
make_bulkhead,4,1.20,steel;bakelite;sylvine,10;5;6,21
make_bulkhead,5,1.00,steel;bakelite;sylvine,8;4;5,17
make_deck_section,0,2.00,steel;bakelite;quartz,20;6;12,38
make_deck_section,1,1.80,steel;bakelite;quartz,18;6;11,35
make_deck_section,2,1.60,steel;bakelite;quartz,16;5;10,31
make_deck_section,3,1.40,steel;bakelite;quartz,14;5;9,28
make_deck_section,4,1.20,steel;bakelite;quartz,12;4;8,24
make_deck_section,5,1.00,steel;bakelite;quartz,10;3;6,19
make_airlock,0,2.00,steel;brass;rubber,16;8;8,32
make_airlock,1,1.80,steel;brass;rubber,15;8;8,31
make_airlock,2,1.60,steel;brass;rubber,13;7;7,27
make_airlock,3,1.40,steel;brass;rubber,12;6;6,24
make_airlock,4,1.20,steel;brass;rubber,10;5;5,20
make_airlock,5,1.00,steel;brass;rubber,8;4;4,16
make_cowling,0,2.00,elektron;siloxane;glass_ceramic,10;8;6,24
make_cowling,1,1.80,elektron;siloxane;glass_ceramic,9;8;6,23
make_cowling,2,1.60,elektron;siloxane;glass_ceramic,8;7;5,20
make_cowling,3,1.40,elektron;siloxane;glass_ceramic,7;6;5,18
make_cowling,4,1.20,elektron;siloxane;glass_ceramic,6;5;4,15
make_cowling,5,1.00,elektron;siloxane;glass_ceramic,5;4;3,12
make_hatch,0,2.00,steel;bronze;rubber,12;8;6,26
make_hatch,1,1.80,steel;bronze;rubber,11;8;6,25
make_hatch,2,1.60,steel;bronze;rubber,10;7;5,22
make_hatch,3,1.40,steel;bronze;rubber,9;6;5,20
make_hatch,4,1.20,steel;bronze;rubber,8;5;4,17
make_hatch,5,1.00,steel;bronze;rubber,6;4;3,13
make_engine,0,2.00,orkit;charcoal;automaton_mainspring;automaton_servo_core,20;100;10;4,134
make_engine,1,1.80,orkit;charcoal;automaton_mainspring;automaton_servo_core,18;90;9;4,121
make_engine,2,1.60,orkit;charcoal;automaton_mainspring;automaton_servo_core,16;80;8;4,108
make_engine,3,1.40,orkit;charcoal;automaton_mainspring;automaton_servo_core,14;70;7;3,94
make_engine,4,1.20,orkit;charcoal;automaton_mainspring;automaton_servo_core,12;60;6;3,81
make_engine,5,1.00,orkit;charcoal;automaton_mainspring;automaton_servo_core,10;50;5;2,67
make_actuator,0,2.00,aramid;copper;automaton_servo_joint;automaton_coil,12;16;8;10,46
make_actuator,1,1.80,aramid;copper;automaton_servo_joint;automaton_coil,11;15;8;9,43
make_actuator,2,1.60,aramid;copper;automaton_servo_joint;automaton_coil,10;13;7;8,38
make_actuator,3,1.40,aramid;copper;automaton_servo_joint;automaton_coil,9;12;6;7,34
make_actuator,4,1.20,aramid;copper;automaton_servo_joint;automaton_coil,8;10;5;6,29
make_actuator,5,1.00,aramid;copper;automaton_servo_joint;automaton_coil,6;8;4;5,23
make_transmission,0,2.00,bulat;automaton_calibration_gear;automaton_mainspring;leviathan_fat,12;10;8;12,42
make_transmission,1,1.80,bulat;automaton_calibration_gear;automaton_mainspring;leviathan_fat,11;9;8;11,39
make_transmission,2,1.60,bulat;automaton_calibration_gear;automaton_mainspring;leviathan_fat,10;8;7;10,35
make_transmission,3,1.40,bulat;automaton_calibration_gear;automaton_mainspring;leviathan_fat,9;7;6;9,31
make_transmission,4,1.20,bulat;automaton_calibration_gear;automaton_mainspring;leviathan_fat,8;6;5;8,27
make_transmission,5,1.00,bulat;automaton_calibration_gear;automaton_mainspring;leviathan_fat,6;5;4;6,21
make_pump,0,2.00,rubber;acid;automaton_brass_valve;automaton_pressure_gauge,10;12;8;6,36
make_pump,1,1.80,rubber;acid;automaton_brass_valve;automaton_pressure_gauge,9;11;8;6,34
make_pump,2,1.60,rubber;acid;automaton_brass_valve;automaton_pressure_gauge,8;10;7;5,30
make_pump,3,1.40,rubber;acid;automaton_brass_valve;automaton_pressure_gauge,7;9;6;5,27
make_pump,4,1.20,rubber;acid;automaton_brass_valve;automaton_pressure_gauge,6;8;5;4,23
make_pump,5,1.00,rubber;acid;automaton_brass_valve;automaton_pressure_gauge,5;6;4;3,18
make_compressor,0,2.00,fluoroplastic;vespar;automaton_brass_valve;automaton_pressure_gauge,10;20;10;8,48
make_compressor,1,1.80,fluoroplastic;vespar;automaton_brass_valve;automaton_pressure_gauge,9;18;9;8,44
make_compressor,2,1.60,fluoroplastic;vespar;automaton_brass_valve;automaton_pressure_gauge,8;16;8;7,39
make_compressor,3,1.40,fluoroplastic;vespar;automaton_brass_valve;automaton_pressure_gauge,7;14;7;6,34
make_compressor,4,1.20,fluoroplastic;vespar;automaton_brass_valve;automaton_pressure_gauge,6;12;6;5,29
make_compressor,5,1.00,fluoroplastic;vespar;automaton_brass_valve;automaton_pressure_gauge,5;10;5;4,24
make_gyroscope,0,2.00,invar;ionide;automaton_gyroscope;automaton_calibration_gear,10;12;8;6,36
make_gyroscope,1,1.80,invar;ionide;automaton_gyroscope;automaton_calibration_gear,9;11;8;6,34
make_gyroscope,2,1.60,invar;ionide;automaton_gyroscope;automaton_calibration_gear,8;10;7;5,30
make_gyroscope,3,1.40,invar;ionide;automaton_gyroscope;automaton_calibration_gear,7;9;6;5,27
make_gyroscope,4,1.20,invar;ionide;automaton_gyroscope;automaton_calibration_gear,6;8;5;4,23
make_gyroscope,5,1.00,invar;ionide;automaton_gyroscope;automaton_calibration_gear,5;6;4;3,18
make_sensor,0,2.00,glass_ceramic;ionide;automaton_optic_lens;automaton_relay,8;12;8;10,38
make_sensor,1,1.80,glass_ceramic;ionide;automaton_optic_lens;automaton_relay,8;11;8;9,36
make_sensor,2,1.60,glass_ceramic;ionide;automaton_optic_lens;automaton_relay,7;10;7;8,32
make_sensor,3,1.40,glass_ceramic;ionide;automaton_optic_lens;automaton_relay,6;9;6;7,28
make_sensor,4,1.20,glass_ceramic;ionide;automaton_optic_lens;automaton_relay,5;8;5;6,24
make_sensor,5,1.00,glass_ceramic;ionide;automaton_optic_lens;automaton_relay,4;6;4;5,19
make_calculator,0,2.00,textolite;ionide;automaton_logic_drum;automaton_command_cylinder;automaton_contact_comb,10;16;6;6;10,48
make_calculator,1,1.80,textolite;ionide;automaton_logic_drum;automaton_command_cylinder;automaton_contact_comb,9;15;6;6;9,45
make_calculator,2,1.60,textolite;ionide;automaton_logic_drum;automaton_command_cylinder;automaton_contact_comb,8;13;5;5;8,39
make_calculator,3,1.40,textolite;ionide;automaton_logic_drum;automaton_command_cylinder;automaton_contact_comb,7;12;5;5;7,36
make_calculator,4,1.20,textolite;ionide;automaton_logic_drum;automaton_command_cylinder;automaton_contact_comb,6;10;4;4;6,30
make_calculator,5,1.00,textolite;ionide;automaton_logic_drum;automaton_command_cylinder;automaton_contact_comb,5;8;3;3;5,24
make_power_block,0,2.00,orkit;engine;transmission;pump;compressor;beam;bulkhead;cowling;claudium;fulgur;nulgas;automaton_core;automaton_servo_core;automaton_coil,40;8;4;4;4;16;8;6;60;24;10;6;6;16,212
make_power_block,1,1.80,orkit;engine;transmission;pump;compressor;beam;bulkhead;cowling;claudium;fulgur;nulgas;automaton_core;automaton_servo_core;automaton_coil,36;8;4;4;4;15;8;6;54;22;9;6;6;15,197
make_power_block,2,1.60,orkit;engine;transmission;pump;compressor;beam;bulkhead;cowling;claudium;fulgur;nulgas;automaton_core;automaton_servo_core;automaton_coil,32;7;4;4;4;13;7;5;48;20;8;5;5;13,175
make_power_block,3,1.40,orkit;engine;transmission;pump;compressor;beam;bulkhead;cowling;claudium;fulgur;nulgas;automaton_core;automaton_servo_core;automaton_coil,28;6;3;3;3;12;6;5;42;17;7;5;5;12,154
make_power_block,4,1.20,orkit;engine;transmission;pump;compressor;beam;bulkhead;cowling;claudium;fulgur;nulgas;automaton_core;automaton_servo_core;automaton_coil,24;5;3;3;3;10;5;4;36;15;6;4;4;10,132
make_power_block,5,1.00,orkit;engine;transmission;pump;compressor;beam;bulkhead;cowling;claudium;fulgur;nulgas;automaton_core;automaton_servo_core;automaton_coil,20;4;2;2;2;8;4;3;30;12;5;3;3;8,106
make_propulsion_block,0,2.00,engine;transmission;gyroscope;actuator;beam;deck_section;cowling;invar;aramid;leviathan_fat;magnesium;ionide;automaton_calibration_gear,8;8;4;8;12;6;8;16;24;20;40;20;16,190
make_propulsion_block,1,1.80,engine;transmission;gyroscope;actuator;beam;deck_section;cowling;invar;aramid;leviathan_fat;magnesium;ionide;automaton_calibration_gear,8;8;4;8;11;6;8;15;22;18;36;18;15,177
make_propulsion_block,2,1.60,engine;transmission;gyroscope;actuator;beam;deck_section;cowling;invar;aramid;leviathan_fat;magnesium;ionide;automaton_calibration_gear,7;7;4;7;10;5;7;13;20;16;32;16;13,157
make_propulsion_block,3,1.40,engine;transmission;gyroscope;actuator;beam;deck_section;cowling;invar;aramid;leviathan_fat;magnesium;ionide;automaton_calibration_gear,6;6;3;6;9;5;6;12;17;14;28;14;12,138
make_propulsion_block,4,1.20,engine;transmission;gyroscope;actuator;beam;deck_section;cowling;invar;aramid;leviathan_fat;magnesium;ionide;automaton_calibration_gear,5;5;3;5;8;4;5;10;15;12;24;12;10,118
make_propulsion_block,5,1.00,engine;transmission;gyroscope;actuator;beam;deck_section;cowling;invar;aramid;leviathan_fat;magnesium;ionide;automaton_calibration_gear,4;4;2;4;6;3;4;8;12;10;20;10;8,95
make_instrument_block,0,2.00,sensor;calculator;gyroscope;cowling;deck_section;glass_ceramic;textolite;melchior;invar;ionide;quartz;automaton_optic_lens;automaton_relay;automaton_command_cylinder;automaton_contact_comb,10;8;6;6;4;24;24;20;12;40;50;16;20;10;20,270
make_instrument_block,1,1.80,sensor;calculator;gyroscope;cowling;deck_section;glass_ceramic;textolite;melchior;invar;ionide;quartz;automaton_optic_lens;automaton_relay;automaton_command_cylinder;automaton_contact_comb,9;8;6;6;4;22;22;18;11;36;45;15;18;9;18,247
make_instrument_block,2,1.60,sensor;calculator;gyroscope;cowling;deck_section;glass_ceramic;textolite;melchior;invar;ionide;quartz;automaton_optic_lens;automaton_relay;automaton_command_cylinder;automaton_contact_comb,8;7;5;5;4;20;20;16;10;32;40;13;16;8;16,220
make_instrument_block,3,1.40,sensor;calculator;gyroscope;cowling;deck_section;glass_ceramic;textolite;melchior;invar;ionide;quartz;automaton_optic_lens;automaton_relay;automaton_command_cylinder;automaton_contact_comb,7;6;5;5;3;17;17;14;9;28;35;12;14;7;14,193
make_instrument_block,4,1.20,sensor;calculator;gyroscope;cowling;deck_section;glass_ceramic;textolite;melchior;invar;ionide;quartz;automaton_optic_lens;automaton_relay;automaton_command_cylinder;automaton_contact_comb,6;5;4;4;3;15;15;12;8;24;30;10;12;6;12,166
make_instrument_block,5,1.00,sensor;calculator;gyroscope;cowling;deck_section;glass_ceramic;textolite;melchior;invar;ionide;quartz;automaton_optic_lens;automaton_relay;automaton_command_cylinder;automaton_contact_comb,5;4;3;3;2;12;12;10;6;20;25;8;10;5;10,135
make_weapon_block,0,2.00,actuator;calculator;gyroscope;armor_plate;deck_section;hatch;bulat;steel;brass;aramid;weapon;munition_bundle;automaton_servo_joint;automaton_calibration_gear,8;4;4;6;6;8;30;50;20;20;12;16;16;16,216
make_weapon_block,1,1.80,actuator;calculator;gyroscope;armor_plate;deck_section;hatch;bulat;steel;brass;aramid;weapon;munition_bundle;automaton_servo_joint;automaton_calibration_gear,8;4;4;6;6;8;27;45;18;18;11;15;15;15,200
make_weapon_block,2,1.60,actuator;calculator;gyroscope;armor_plate;deck_section;hatch;bulat;steel;brass;aramid;weapon;munition_bundle;automaton_servo_joint;automaton_calibration_gear,7;4;4;5;5;7;24;40;16;16;10;13;13;13,177
make_weapon_block,3,1.40,actuator;calculator;gyroscope;armor_plate;deck_section;hatch;bulat;steel;brass;aramid;weapon;munition_bundle;automaton_servo_joint;automaton_calibration_gear,6;3;3;5;5;6;21;35;14;14;9;12;12;12,157
make_weapon_block,4,1.20,actuator;calculator;gyroscope;armor_plate;deck_section;hatch;bulat;steel;brass;aramid;weapon;munition_bundle;automaton_servo_joint;automaton_calibration_gear,5;3;3;4;4;5;18;30;12;12;8;10;10;10,134
make_weapon_block,5,1.00,actuator;calculator;gyroscope;armor_plate;deck_section;hatch;bulat;steel;brass;aramid;weapon;munition_bundle;automaton_servo_joint;automaton_calibration_gear,4;2;2;3;3;4;15;25;10;10;6;8;8;8,108
make_defense_block,0,2.00,armor_plate;bulkhead;plating;hatch;pump;sensor;steel;bulat;bakelite;rubber;bone_grit;acid;leviathan_hide;automaton_pressure_gauge,12;12;12;8;6;4;60;24;20;16;40;16;12;10,252
make_defense_block,1,1.80,armor_plate;bulkhead;plating;hatch;pump;sensor;steel;bulat;bakelite;rubber;bone_grit;acid;leviathan_hide;automaton_pressure_gauge,11;11;11;8;6;4;54;22;18;15;36;15;11;9,231
make_defense_block,2,1.60,armor_plate;bulkhead;plating;hatch;pump;sensor;steel;bulat;bakelite;rubber;bone_grit;acid;leviathan_hide;automaton_pressure_gauge,10;10;10;7;5;4;48;20;16;13;32;13;10;8,206
make_defense_block,3,1.40,armor_plate;bulkhead;plating;hatch;pump;sensor;steel;bulat;bakelite;rubber;bone_grit;acid;leviathan_hide;automaton_pressure_gauge,9;9;9;6;5;3;42;17;14;12;28;12;9;7,182
make_defense_block,4,1.20,armor_plate;bulkhead;plating;hatch;pump;sensor;steel;bulat;bakelite;rubber;bone_grit;acid;leviathan_hide;automaton_pressure_gauge,8;8;8;5;4;3;36;15;12;10;24;10;8;6,157
make_defense_block,5,1.00,armor_plate;bulkhead;plating;hatch;pump;sensor;steel;bulat;bakelite;rubber;bone_grit;acid;leviathan_hide;automaton_pressure_gauge,6;6;6;4;3;2;30;12;10;8;20;8;6;5,126
make_cargo_block,0,2.00,bulkhead;deck_section;airlock;hatch;actuator;pump;plating;elektron;rubber;brass;magnesium;leviathan_hide;automaton_servo_joint;automaton_relay,16;10;6;12;8;4;16;20;20;16;40;12;12;12,204
make_cargo_block,1,1.80,bulkhead;deck_section;airlock;hatch;actuator;pump;plating;elektron;rubber;brass;magnesium;leviathan_hide;automaton_servo_joint;automaton_relay,15;9;6;11;8;4;15;18;18;15;36;11;11;11,188
make_cargo_block,2,1.60,bulkhead;deck_section;airlock;hatch;actuator;pump;plating;elektron;rubber;brass;magnesium;leviathan_hide;automaton_servo_joint;automaton_relay,13;8;5;10;7;4;13;16;16;13;32;10;10;10,167
make_cargo_block,3,1.40,bulkhead;deck_section;airlock;hatch;actuator;pump;plating;elektron;rubber;brass;magnesium;leviathan_hide;automaton_servo_joint;automaton_relay,12;7;5;9;6;3;12;14;14;12;28;9;9;9,149
make_cargo_block,4,1.20,bulkhead;deck_section;airlock;hatch;actuator;pump;plating;elektron;rubber;brass;magnesium;leviathan_hide;automaton_servo_joint;automaton_relay,10;6;4;8;5;3;10;12;12;10;24;8;8;8,128
make_cargo_block,5,1.00,bulkhead;deck_section;airlock;hatch;actuator;pump;plating;elektron;rubber;brass;magnesium;leviathan_hide;automaton_servo_joint;automaton_relay,8;5;3;6;4;2;8;10;10;8;20;6;6;6,102
make_industry_block,0,2.00,compressor;pump;actuator;sensor;calculator;airlock;cowling;deck_section;armor_plate;fluoroplastic;aramid;leviathan_sinew;acid;automaton_command_cylinder;automaton_pressure_gauge;automaton_servo_core,10;10;8;8;6;8;8;8;6;30;24;20;30;12;16;8,212
make_industry_block,1,1.80,compressor;pump;actuator;sensor;calculator;airlock;cowling;deck_section;armor_plate;fluoroplastic;aramid;leviathan_sinew;acid;automaton_command_cylinder;automaton_pressure_gauge;automaton_servo_core,9;9;8;8;6;8;8;8;6;27;22;18;27;11;15;8,198
make_industry_block,2,1.60,compressor;pump;actuator;sensor;calculator;airlock;cowling;deck_section;armor_plate;fluoroplastic;aramid;leviathan_sinew;acid;automaton_command_cylinder;automaton_pressure_gauge;automaton_servo_core,8;8;7;7;5;7;7;7;5;24;20;16;24;10;13;7,175
make_industry_block,3,1.40,compressor;pump;actuator;sensor;calculator;airlock;cowling;deck_section;armor_plate;fluoroplastic;aramid;leviathan_sinew;acid;automaton_command_cylinder;automaton_pressure_gauge;automaton_servo_core,7;7;6;6;5;6;6;6;5;21;17;14;21;9;12;6,154
make_industry_block,4,1.20,compressor;pump;actuator;sensor;calculator;airlock;cowling;deck_section;armor_plate;fluoroplastic;aramid;leviathan_sinew;acid;automaton_command_cylinder;automaton_pressure_gauge;automaton_servo_core,6;6;5;5;4;5;5;5;4;18;15;12;18;8;10;5,131
make_industry_block,5,1.00,compressor;pump;actuator;sensor;calculator;airlock;cowling;deck_section;armor_plate;fluoroplastic;aramid;leviathan_sinew;acid;automaton_command_cylinder;automaton_pressure_gauge;automaton_servo_core,5;5;4;4;3;4;4;4;3;15;12;10;15;6;8;4,106
make_hangar_block,0,2.00,deck_section;bulkhead;airlock;hatch;actuator;sensor;calculator;pump;plating;rubber;textolite;mechanisms;automaton_core;automaton_relay;automaton_contact_comb;automaton_servo_joint,12;12;10;16;12;8;8;8;12;24;24;40;8;20;20;16,250
make_hangar_block,1,1.80,deck_section;bulkhead;airlock;hatch;actuator;sensor;calculator;pump;plating;rubber;textolite;mechanisms;automaton_core;automaton_relay;automaton_contact_comb;automaton_servo_joint,11;11;9;15;11;8;8;8;11;22;22;36;8;18;18;15,231
make_hangar_block,2,1.60,deck_section;bulkhead;airlock;hatch;actuator;sensor;calculator;pump;plating;rubber;textolite;mechanisms;automaton_core;automaton_relay;automaton_contact_comb;automaton_servo_joint,10;10;8;13;10;7;7;7;10;20;20;32;7;16;16;13,206
make_hangar_block,3,1.40,deck_section;bulkhead;airlock;hatch;actuator;sensor;calculator;pump;plating;rubber;textolite;mechanisms;automaton_core;automaton_relay;automaton_contact_comb;automaton_servo_joint,9;9;7;12;9;6;6;6;9;17;17;28;6;14;14;12,181
make_hangar_block,4,1.20,deck_section;bulkhead;airlock;hatch;actuator;sensor;calculator;pump;plating;rubber;textolite;mechanisms;automaton_core;automaton_relay;automaton_contact_comb;automaton_servo_joint,8;8;6;10;8;5;5;5;8;15;15;24;5;12;12;10,156
make_hangar_block,5,1.00,deck_section;bulkhead;airlock;hatch;actuator;sensor;calculator;pump;plating;rubber;textolite;mechanisms;automaton_core;automaton_relay;automaton_contact_comb;automaton_servo_joint,6;6;5;8;6;4;4;4;6;12;12;20;4;10;10;8,125
